GAT Training History
================================================================================

VALIDATION METRICS (used for model selection)
--------------------------------------------------------------------------------
Best Validation AUC: 0.7250
Total Epochs Trained: 17

TEST METRICS (final unbiased estimate)
--------------------------------------------------------------------------------
Test AUC:    0.7160
Test Hits@1: 0.1670
Test Hits@5: 0.3387
Test Hits@10: 0.4279

TRAINING HISTORY
--------------------------------------------------------------------------------
Epoch    Train Loss   Val AUC      H@1          H@5          H@10        
--------------------------------------------------------------------------------
1        155.1240     0.6180       0.0683       0.1746       0.2647      
2        60.6458      0.6643       0.1101       0.2353       0.3321      
3        22.7362      0.7083       0.1300       0.2875       0.3700      
4        16.9740      0.7084       0.1471       0.3102       0.3975      
5        13.2807      0.7199       0.1565       0.3188       0.4156      
6        11.3373      0.7138       0.1660       0.3321       0.4279      
7        10.5343      0.7250       0.1698       0.3226       0.4345      
8        9.8565       0.7119       0.1689       0.3435       0.4364      
9        9.2769       0.7209       0.1613       0.3416       0.4298      
10       8.8677       0.7114       0.1708       0.3340       0.4194      
11       8.5351       0.7080       0.1774       0.3406       0.4165      
12       8.3392       0.7055       0.1812       0.3254       0.4070      
13       8.1345       0.7011       0.1755       0.3349       0.4137      
14       7.9374       0.7061       0.1651       0.3197       0.4165      
15       7.7009       0.6998       0.1660       0.3226       0.4070      
16       7.6338       0.7108       0.1755       0.3140       0.4089      
17       7.4336       0.7040       0.1641       0.3340       0.4127      
