
================================================================================
ENCODER ABLATION: Attention-per-Relation vs Embed-Relation
================================================================================

BEST VALIDATION METRICS (used for model selection)
--------------------------------------------------------------------------------
Attention-per-Relation + DistMult | AUC=0.8209 | H@1=0.2922 | H@5=0.5323 | H@10=0.6252 (epoch 7)
Embed-Relation + DistMult      | AUC=0.8167 | H@1=0.2808 | H@5=0.5408 | H@10=0.6205 (epoch 17)

FINAL TEST SET PERFORMANCE (unbiased estimate)
--------------------------------------------------------------------------------
Attention-per-Relation + DistMult | AUC=0.8087 | H@1=0.2903 | H@5=0.5380 | H@10=0.6044
Embed-Relation + DistMult      | AUC=0.7879 | H@1=0.3245 | H@5=0.5541 | H@10=0.6063


Attention-per-Relation + DistMult - Training History
------------------------------------------------------------------------------------------
Epoch    Train Loss     Val AUC      H@1          H@5          H@10        
------------------------------------------------------------------------------------------
1        1.8951         0.5226       0.0209       0.0958       0.1774      
2        1.2778         0.6387       0.0816       0.2249       0.3083      
3        0.9980         0.7200       0.1708       0.3691       0.4639      
4        0.5937         0.7912       0.2419       0.4573       0.5484      
5        0.3278         0.8041       0.2818       0.5019       0.5759      
6        0.2256         0.8169       0.2989       0.5218       0.6110      
7        0.1748         0.8209       0.2922       0.5323       0.6252      
8        0.1392         0.8151       0.2856       0.5408       0.6224      
9        0.1161         0.8178       0.2941       0.5389       0.6357      
10       0.1093         0.8187       0.3083       0.5503       0.6376      
11       0.0953         0.8137       0.3273       0.5655       0.6385      
12       0.0880         0.8182       0.3159       0.5588       0.6376      
13       0.0823         0.8118       0.3359       0.5607       0.6319      
14       0.0742         0.8147       0.3245       0.5560       0.6224      
15       0.0758         0.8174       0.3112       0.5484       0.6233      
16       0.0722         0.8098       0.3178       0.5579       0.6309      
17       0.0715         0.8163       0.3131       0.5560       0.6309      


Embed-Relation + DistMult - Training History
------------------------------------------------------------------------------------------
Epoch    Train Loss     Val AUC      H@1          H@5          H@10        
------------------------------------------------------------------------------------------
1        1.4852         0.5373       0.0256       0.0882       0.1546      
2        1.2671         0.5780       0.0636       0.1651       0.2381      
3        1.1511         0.6499       0.1034       0.2638       0.3558      
4        0.9825         0.6932       0.1233       0.3273       0.4526      
5        0.7355         0.7478       0.1812       0.3994       0.5038      
6        0.4917         0.7742       0.2334       0.4450       0.5522      
7        0.3174         0.7975       0.2571       0.4791       0.5825      
8        0.2303         0.8121       0.2694       0.5085       0.5996      
9        0.1849         0.8097       0.2694       0.5256       0.6044      
10       0.1389         0.8062       0.2884       0.5199       0.6139      
11       0.1155         0.8149       0.2846       0.5332       0.6233      
12       0.1009         0.8062       0.2913       0.5247       0.6148      
13       0.0905         0.8149       0.2941       0.5285       0.6243      
14       0.0803         0.8105       0.2894       0.5294       0.6072      
15       0.0727         0.8111       0.3112       0.5503       0.6233      
16       0.0678         0.8092       0.3121       0.5256       0.6101      
17       0.0623         0.8167       0.2808       0.5408       0.6205      
18       0.0588         0.8068       0.3055       0.5370       0.6281      
19       0.0584         0.8113       0.3008       0.5436       0.6205      
20       0.0565         0.8104       0.2998       0.5446       0.6195      
21       0.0558         0.8057       0.3065       0.5446       0.6233      
22       0.0527         0.8084       0.2989       0.5417       0.6186      
23       0.0507         0.8024       0.3321       0.5436       0.6271      
24       0.0520         0.7966       0.3027       0.5408       0.6167      
25       0.0492         0.8028       0.2970       0.5408       0.6233      
26       0.0502         0.7990       0.3008       0.5408       0.6214      
27       0.0491         0.8054       0.3093       0.5389       0.6252      
