LoRA R-GAT — Cora
======================================================================
Best (valid) @ epoch 9: AUC=0.8698 | H@1=0.3008 | H@5=0.5750 | H@10=0.6546
Test: AUC=0.8508 | H@1=0.2884 | H@5=0.5617 | H@10=0.6376

History
----------------------------------------------------------------------
epoch  loss       AUC        H@1        H@5        H@10      
1      1.6587     0.6449     0.0778     0.2068     0.2903    
2      1.0796     0.7575     0.1793     0.3814     0.4772    
3      0.6928     0.8005     0.2514     0.4696     0.5920    
4      0.4458     0.8333     0.2723     0.5266     0.6404    
5      0.3102     0.8474     0.2932     0.5560     0.6632    
6      0.2422     0.8506     0.2894     0.5664     0.6613    
7      0.1895     0.8513     0.2913     0.5664     0.6490    
8      0.1497     0.8690     0.2979     0.5664     0.6528    
9      0.1284     0.8698     0.3008     0.5750     0.6546    
10     0.1153     0.8560     0.2951     0.5436     0.6357    
11     0.0994     0.8587     0.3027     0.5484     0.6404    
12     0.0883     0.8551     0.2827     0.5446     0.6357    
13     0.0830     0.8616     0.2884     0.5503     0.6385    
14     0.0825     0.8544     0.2875     0.5484     0.6395    
15     0.0773     0.8490     0.2761     0.5493     0.6300    
16     0.0744     0.8546     0.2922     0.5446     0.6224    
17     0.0689     0.8549     0.2732     0.5484     0.6281    
18     0.0670     0.8531     0.2751     0.5266     0.6252    
19     0.0666     0.8455     0.2676     0.5304     0.6252    
