LoRA R-GAT — FB15K-237
======================================================================
Best (valid) @ epoch 11: AUC=0.9913 | H@1=0.7145 | H@5=0.9436 | H@10=0.9829
Test: AUC=0.9903 | H@1=0.7142 | H@5=0.9405 | H@10=0.9817

History
----------------------------------------------------------------------
epoch  loss       AUC        H@1        H@5        H@10      
1      0.4279     0.9875     0.6602     0.9163     0.9743    
2      0.2202     0.9889     0.6850     0.9289     0.9777    
3      0.1962     0.9897     0.6938     0.9342     0.9799    
4      0.1828     0.9902     0.7019     0.9378     0.9818    
5      0.1758     0.9901     0.7032     0.9373     0.9826    
6      0.1697     0.9900     0.7087     0.9400     0.9835    
7      0.1658     0.9901     0.7129     0.9397     0.9813    
8      0.1631     0.9908     0.7166     0.9403     0.9819    
9      0.1602     0.9904     0.7111     0.9390     0.9810    
10     0.1582     0.9904     0.7155     0.9437     0.9832    
11     0.1565     0.9913     0.7145     0.9436     0.9829    
12     0.1542     0.9907     0.7181     0.9411     0.9827    
13     0.1538     0.9905     0.7125     0.9404     0.9812    
14     0.1529     0.9906     0.7193     0.9409     0.9835    
15     0.1504     0.9908     0.7224     0.9430     0.9823    
16     0.1505     0.9913     0.7175     0.9413     0.9818    
17     0.1508     0.9904     0.7111     0.9417     0.9823    
18     0.1482     0.9910     0.7183     0.9430     0.9831    
19     0.1480     0.9910     0.7219     0.9409     0.9819    
20     0.1487     0.9911     0.7228     0.9445     0.9829    
21     0.1471     0.9913     0.7179     0.9430     0.9824    
