GAT Training History
================================================================================

VALIDATION METRICS (used for model selection)
--------------------------------------------------------------------------------
Best Validation AUC: 0.8678
Total Epochs Trained: 22

TEST METRICS (final unbiased estimate)
--------------------------------------------------------------------------------
Test AUC:    0.8495
Test Hits@1: 0.2976
Test Hits@5: 0.5930
Test Hits@10: 0.6974

TRAINING HISTORY
--------------------------------------------------------------------------------
Epoch    Train Loss   Val AUC      H@1          H@5          H@10        
--------------------------------------------------------------------------------
1        23.3130      0.7584       0.0882       0.2684       0.3998      
2        6.6402       0.7590       0.0937       0.2793       0.4067      
3        4.7704       0.7482       0.1010       0.2805       0.4011      
4        3.3452       0.7512       0.1035       0.2906       0.4128      
5        2.0758       0.7716       0.1013       0.2937       0.4218      
6        1.0924       0.8260       0.1226       0.3781       0.5311      
7        0.9209       0.8520       0.1693       0.4482       0.6022      
8        0.8889       0.8613       0.1958       0.4828       0.6323      
9        0.8707       0.8652       0.2124       0.5024       0.6468      
10       0.8572       0.8661       0.2285       0.5186       0.6589      
11       0.8465       0.8652       0.2380       0.5300       0.6658      
12       0.8375       0.8678       0.2480       0.5393       0.6734      
13       0.8293       0.8648       0.2476       0.5483       0.6785      
14       0.8229       0.8662       0.2581       0.5565       0.6841      
15       0.8165       0.8655       0.2676       0.5638       0.6912      
16       0.8109       0.8617       0.2711       0.5664       0.6918      
17       0.8061       0.8623       0.2792       0.5689       0.6959      
18       0.8014       0.8609       0.2805       0.5780       0.6969      
19       0.7968       0.8567       0.2817       0.5829       0.6961      
20       0.7931       0.8574       0.2891       0.5878       0.6977      
21       0.7893       0.8547       0.2916       0.5884       0.6981      
22       0.7858       0.8522       0.2918       0.5871       0.6983      
