
================================================================================
COMBINED ABLATION: Embed-Relation + DotProduct vs Baseline
================================================================================

BEST VALIDATION METRICS (used for model selection)
--------------------------------------------------------------------------------
Attention-per-Relation + DistMult (Baseline) | AUC=0.9875 | H@1=0.6728 | H@5=0.9202 | H@10=0.9725 (epoch 15)
Embed-Relation + DotProduct (Variant) | AUC=0.9045 | H@1=0.3089 | H@5=0.6358 | H@10=0.7561 (epoch 20)

FINAL TEST SET PERFORMANCE (unbiased estimate)
--------------------------------------------------------------------------------
Attention-per-Relation + DistMult (Baseline) | AUC=0.9861 | H@1=0.6703 | H@5=0.9181 | H@10=0.9708
Embed-Relation + DotProduct (Variant) | AUC=0.9040 | H@1=0.3060 | H@5=0.6333 | H@10=0.7521


Attention-per-Relation + DistMult (Baseline) - Training History
------------------------------------------------------------------------------------------
Epoch    Train Loss     Val AUC      H@1          H@5          H@10        
------------------------------------------------------------------------------------------
1        0.9579         0.9683       0.5332       0.8061       0.9011      
2        0.3798         0.9751       0.5869       0.8582       0.9411      
3        0.2996         0.9819       0.6169       0.8786       0.9545      
4        0.2680         0.9826       0.6362       0.8902       0.9600      
5        0.2497         0.9831       0.6344       0.8934       0.9629      
6        0.2368         0.9851       0.6450       0.9021       0.9685      
7        0.2294         0.9849       0.6416       0.9060       0.9686      
8        0.2220         0.9861       0.6513       0.9064       0.9698      
9        0.2151         0.9861       0.6574       0.9118       0.9717      
10       0.2103         0.9858       0.6585       0.9165       0.9722      
11       0.2070         0.9859       0.6623       0.9139       0.9718      
12       0.2039         0.9846       0.6546       0.9123       0.9710      
13       0.1996         0.9869       0.6638       0.9160       0.9723      
14       0.1967         0.9858       0.6635       0.9175       0.9732      
15       0.1959         0.9875       0.6728       0.9202       0.9725      
16       0.1900         0.9858       0.6717       0.9203       0.9725      
17       0.1883         0.9855       0.6732       0.9199       0.9729      
18       0.1894         0.9865       0.6643       0.9193       0.9722      
19       0.1881         0.9846       0.6643       0.9186       0.9731      
20       0.1837         0.9867       0.6725       0.9212       0.9733      


Embed-Relation + DotProduct (Variant) - Training History
------------------------------------------------------------------------------------------
Epoch    Train Loss     Val AUC      H@1          H@5          H@10        
------------------------------------------------------------------------------------------
1        30.1097        0.7744       0.1023       0.2928       0.4265      
2        6.7038         0.7856       0.1111       0.3119       0.4497      
3        3.9694         0.7760       0.1092       0.3137       0.4432      
4        2.2472         0.7740       0.1100       0.3058       0.4408      
5        1.1623         0.8714       0.2470       0.5439       0.6778      
6        0.8195         0.8824       0.2825       0.5826       0.7098      
7        0.7954         0.8767       0.2942       0.5975       0.7143      
8        0.7865         0.8705       0.2997       0.6050       0.7190      
9        0.7848         0.8707       0.3122       0.6150       0.7224      
10       0.7868         0.8704       0.3228       0.6195       0.7288      
11       0.7890         0.8697       0.3269       0.6272       0.7315      
12       0.7972         0.8794       0.3341       0.6318       0.7360      
13       0.8023         0.8859       0.3348       0.6439       0.7491      
14       0.8113         0.8722       0.3315       0.6341       0.7346      
15       0.8156         0.8866       0.3253       0.6397       0.7475      
16       0.8181         0.8957       0.3296       0.6480       0.7541      
17       0.8191         0.8901       0.3170       0.6337       0.7463      
18       0.8212         0.8998       0.3241       0.6456       0.7566      
19       0.8229         0.8995       0.3223       0.6484       0.7584      
20       0.8209         0.9045       0.3089       0.6358       0.7561      
