
================================================================================
ENCODER ABLATION: Attention-per-Relation vs Embed-Relation
================================================================================

BEST VALIDATION METRICS (used for model selection)
--------------------------------------------------------------------------------
Attention-per-Relation + DistMult | AUC=0.9875 | H@1=0.6728 | H@5=0.9202 | H@10=0.9725 (epoch 15)
Embed-Relation + DistMult      | AUC=0.9895 | H@1=0.6846 | H@5=0.9261 | H@10=0.9739 (epoch 4)

FINAL TEST SET PERFORMANCE (unbiased estimate)
--------------------------------------------------------------------------------
Attention-per-Relation + DistMult | AUC=0.9861 | H@1=0.6703 | H@5=0.9181 | H@10=0.9708
Embed-Relation + DistMult      | AUC=0.9870 | H@1=0.6824 | H@5=0.9224 | H@10=0.9734


Attention-per-Relation + DistMult - Training History
------------------------------------------------------------------------------------------
Epoch    Train Loss     Val AUC      H@1          H@5          H@10        
------------------------------------------------------------------------------------------
1        0.9579         0.9683       0.5332       0.8061       0.9011      
2        0.3798         0.9751       0.5869       0.8582       0.9411      
3        0.2996         0.9819       0.6169       0.8786       0.9545      
4        0.2680         0.9826       0.6362       0.8902       0.9600      
5        0.2497         0.9831       0.6344       0.8934       0.9629      
6        0.2368         0.9851       0.6450       0.9021       0.9685      
7        0.2294         0.9849       0.6416       0.9060       0.9686      
8        0.2220         0.9861       0.6513       0.9064       0.9698      
9        0.2151         0.9861       0.6574       0.9118       0.9717      
10       0.2103         0.9858       0.6585       0.9165       0.9722      
11       0.2070         0.9859       0.6623       0.9139       0.9718      
12       0.2039         0.9846       0.6546       0.9123       0.9710      
13       0.1996         0.9869       0.6638       0.9160       0.9723      
14       0.1967         0.9858       0.6635       0.9175       0.9732      
15       0.1959         0.9875       0.6728       0.9202       0.9725      
16       0.1900         0.9858       0.6717       0.9203       0.9725      
17       0.1883         0.9855       0.6732       0.9199       0.9729      
18       0.1894         0.9865       0.6643       0.9193       0.9722      
19       0.1881         0.9846       0.6643       0.9186       0.9731      
20       0.1837         0.9867       0.6725       0.9212       0.9733      


Embed-Relation + DistMult - Training History
------------------------------------------------------------------------------------------
Epoch    Train Loss     Val AUC      H@1          H@5          H@10        
------------------------------------------------------------------------------------------
1        0.6032         0.9835       0.6148       0.8666       0.9459      
2        0.2617         0.9866       0.6660       0.9095       0.9698      
3        0.2047         0.9874       0.6812       0.9200       0.9730      
4        0.1758         0.9895       0.6846       0.9261       0.9739      
5        0.1600         0.9885       0.6919       0.9250       0.9744      
6        0.1520         0.9888       0.6947       0.9271       0.9746      
7        0.1465         0.9881       0.6912       0.9251       0.9712      
8        0.1442         0.9877       0.6894       0.9251       0.9728      
9        0.1384         0.9874       0.6911       0.9253       0.9705      
10       0.1287         0.9879       0.6935       0.9278       0.9691      
11       0.1305         0.9885       0.6960       0.9257       0.9721      
12       0.1274         0.9872       0.6914       0.9255       0.9698      
13       0.1219         0.9865       0.6923       0.9216       0.9695      
14       0.1215         0.9870       0.6958       0.9210       0.9688      
