LoRA R-GAT — WN18RR
======================================================================
Best (valid) @ epoch 7: AUC=0.9581 | H@1=0.6552 | H@5=0.8214 | H@10=0.8672
Test: AUC=0.9559 | H@1=0.6656 | H@5=0.8149 | H@10=0.8583

History
----------------------------------------------------------------------
epoch  loss       AUC        H@1        H@5        H@10      
1      0.9672     0.9140     0.4384     0.6681     0.7597    
2      0.3297     0.9463     0.5814     0.7835     0.8438    
3      0.1972     0.9562     0.6249     0.8026     0.8635    
4      0.1481     0.9542     0.6421     0.8141     0.8596    
5      0.1242     0.9541     0.6513     0.8177     0.8665    
6      0.1068     0.9572     0.6519     0.8237     0.8708    
7      0.0949     0.9581     0.6552     0.8214     0.8672    
8      0.0849     0.9551     0.6674     0.8187     0.8632    
9      0.0797     0.9551     0.6694     0.8227     0.8659    
10     0.0724     0.9540     0.6727     0.8214     0.8672    
11     0.0712     0.9573     0.6697     0.8237     0.8685    
12     0.0665     0.9530     0.6750     0.8197     0.8632    
13     0.0653     0.9547     0.6655     0.8161     0.8659    
14     0.0626     0.9516     0.6783     0.8154     0.8662    
15     0.0604     0.9523     0.6711     0.8144     0.8622    
16     0.0578     0.9537     0.6770     0.8214     0.8665    
17     0.0559     0.9558     0.6809     0.8230     0.8626    
