
================================================================================
DECODER ABLATION: DistMult vs DotProduct
================================================================================

BEST VALIDATION METRICS (used for model selection)
--------------------------------------------------------------------------------
Attention-per-Relation + DistMult | AUC=0.8874 | H@1=0.4858 | H@5=0.6767 | H@10=0.7637 (epoch 7)
Attention-per-Relation + DotProduct | AUC=0.7460 | H@1=0.2884 | H@5=0.4143 | H@10=0.4862 (epoch 7)

FINAL TEST SET PERFORMANCE (unbiased estimate)
--------------------------------------------------------------------------------
Attention-per-Relation + DistMult | AUC=0.8797 | H@1=0.4936 | H@5=0.6809 | H@10=0.7668
Attention-per-Relation + DotProduct | AUC=0.7422 | H@1=0.2731 | H@5=0.4052 | H@10=0.4828


Attention-per-Relation + DistMult - Training History
------------------------------------------------------------------------------------------
Epoch    Train Loss     Val AUC      H@1          H@5          H@10        
------------------------------------------------------------------------------------------
1        1.6608         0.7701       0.1061       0.2633       0.3975      
2        0.7778         0.8399       0.1905       0.4407       0.5738      
3        0.4158         0.8780       0.3457       0.5620       0.6730      
4        0.2734         0.8776       0.4047       0.6061       0.7179      
5        0.2060         0.8801       0.4321       0.6401       0.7449      
6        0.1819         0.8859       0.4575       0.6671       0.7548      
7        0.1429         0.8874       0.4858       0.6767       0.7637      
8        0.1357         0.8804       0.4855       0.6780       0.7713      
9        0.1155         0.8782       0.4980       0.6955       0.7746      
10       0.1150         0.8817       0.5297       0.7113       0.7927      
11       0.0952         0.8775       0.5181       0.7004       0.7752      
12       0.0924         0.8755       0.5165       0.7001       0.7811      
13       0.0892         0.8771       0.5405       0.7215       0.7953      
14       0.0819         0.8842       0.5353       0.7106       0.7838      
15       0.0805         0.8778       0.5323       0.7172       0.7874      
16       0.0755         0.8752       0.5471       0.7208       0.7835      
17       0.0761         0.8797       0.5471       0.7221       0.7927      


Attention-per-Relation + DotProduct - Training History
------------------------------------------------------------------------------------------
Epoch    Train Loss     Val AUC      H@1          H@5          H@10        
------------------------------------------------------------------------------------------
1        16.0093        0.6892       0.1549       0.2798       0.3586      
2        7.5231         0.7055       0.2014       0.3177       0.3995      
3        6.4020         0.7199       0.2268       0.3514       0.4291      
4        5.6996         0.7276       0.2495       0.3820       0.4552      
5        5.2005         0.7305       0.2676       0.3899       0.4644      
6        4.8197         0.7424       0.2795       0.4090       0.4753      
7        4.4144         0.7460       0.2884       0.4143       0.4862      
8        4.0721         0.7416       0.2785       0.4216       0.4937      
9        3.7997         0.7458       0.2940       0.4308       0.4974      
10       3.5603         0.7433       0.2956       0.4357       0.5066      
11       3.3615         0.7439       0.3111       0.4433       0.5026      
12       3.2556         0.7416       0.3032       0.4394       0.5036      
13       3.1684         0.7436       0.3138       0.4581       0.5099      
14       3.2206         0.7335       0.2937       0.4466       0.5056      
15       3.3733         0.7157       0.2772       0.4301       0.4951      
16       3.5354         0.7210       0.2498       0.4136       0.4924      
17       3.4548         0.7060       0.2195       0.3866       0.4690      
