
================================================================================
ENCODER ABLATION: Attention-per-Relation vs Embed-Relation
================================================================================

BEST VALIDATION METRICS (used for model selection)
--------------------------------------------------------------------------------
Attention-per-Relation + DistMult | AUC=0.8928 | H@1=0.5590 | H@5=0.7254 | H@10=0.7897 (epoch 15)
Embed-Relation + DistMult      | AUC=0.9225 | H@1=0.5481 | H@5=0.7640 | H@10=0.8279 (epoch 6)

FINAL TEST SET PERFORMANCE (unbiased estimate)
--------------------------------------------------------------------------------
Attention-per-Relation + DistMult | AUC=0.8868 | H@1=0.5590 | H@5=0.7301 | H@10=0.7955
Embed-Relation + DistMult      | AUC=0.9224 | H@1=0.5520 | H@5=0.7610 | H@10=0.8251


Attention-per-Relation + DistMult - Training History
------------------------------------------------------------------------------------------
Epoch    Train Loss     Val AUC      H@1          H@5          H@10        
------------------------------------------------------------------------------------------
1        1.6298         0.7496       0.0926       0.2498       0.3850      
2        0.8031         0.8574       0.2020       0.4618       0.6140      
3        0.4184         0.8709       0.3401       0.5511       0.6651      
4        0.2708         0.8773       0.4130       0.6094       0.7136      
5        0.2085         0.8689       0.4318       0.6246       0.7208      
6        0.1694         0.8722       0.4595       0.6529       0.7399      
7        0.1407         0.8772       0.4782       0.6658       0.7538      
8        0.1274         0.8758       0.4980       0.6819       0.7660      
9        0.1107         0.8844       0.5125       0.7001       0.7779      
10       0.1037         0.8859       0.5260       0.7050       0.7798      
11       0.0980         0.8820       0.5198       0.6981       0.7755      
12       0.0846         0.8857       0.5419       0.7156       0.7861      
13       0.0867         0.8801       0.5425       0.7185       0.7917      
14       0.0828         0.8796       0.5419       0.7152       0.7930      
15       0.0797         0.8928       0.5590       0.7254       0.7897      
16       0.0724         0.8826       0.5491       0.7221       0.7864      
17       0.0741         0.8831       0.5560       0.7238       0.7907      
18       0.0742         0.8813       0.5544       0.7274       0.7920      
19       0.0682         0.8870       0.5610       0.7373       0.7980      
20       0.0703         0.8759       0.5481       0.7139       0.7914      
21       0.0751         0.8869       0.5649       0.7278       0.7970      
22       0.0623         0.8889       0.5686       0.7376       0.8062      
23       0.0585         0.8868       0.5633       0.7396       0.7993      
24       0.0564         0.8844       0.5653       0.7314       0.7927      
25       0.0528         0.8891       0.5745       0.7399       0.8072      


Embed-Relation + DistMult - Training History
------------------------------------------------------------------------------------------
Epoch    Train Loss     Val AUC      H@1          H@5          H@10        
------------------------------------------------------------------------------------------
1        1.1498         0.8326       0.1730       0.3850       0.5237      
2        0.7146         0.8983       0.3062       0.5995       0.7320      
3        0.4416         0.9134       0.4291       0.7070       0.8075      
4        0.3171         0.9200       0.5040       0.7479       0.8191      
5        0.2336         0.9220       0.5280       0.7617       0.8256      
6        0.1956         0.9225       0.5481       0.7640       0.8279      
7        0.1616         0.9220       0.5692       0.7762       0.8293      
8        0.1420         0.9183       0.5751       0.7627       0.8240      
9        0.1235         0.9212       0.5873       0.7722       0.8270      
10       0.1094         0.9221       0.6032       0.7779       0.8276      
11       0.1003         0.9194       0.6045       0.7805       0.8336      
12       0.0919         0.9190       0.6074       0.7811       0.8372      
13       0.0868         0.9174       0.6170       0.7805       0.8359      
14       0.0821         0.9141       0.6200       0.7821       0.8339      
15       0.0760         0.9171       0.6157       0.7802       0.8293      
16       0.0684         0.9131       0.6246       0.7881       0.8365      
