Typed Link Prediction: Decoder Comparison - 2025-10-19 00:11:50
================================================================================

R-GIN + DistMult Training History
============================================================

Best Validation AUC: 0.7254
Total Epochs Trained: 447
Early Stopping Best Score: 0.4753 (Hits@10 at epoch 367)

------------------------------------------------------------------------------------------
Epoch    Train Loss     Val AUC      Val H@1      Val H@5      Val H@10    
------------------------------------------------------------------------------------------
1        0.6931         0.5954       0.0901       0.1945       0.2609      
2        0.6931         0.5901       0.1044       0.1926       0.2676      
3        0.6926         0.5903       0.0987       0.1973       0.2723      
4        0.6892         0.5891       0.0901       0.2021       0.2676      
5        0.6821         0.5917       0.0892       0.1992       0.2694      
6        0.6782         0.5842       0.0778       0.1841       0.2609      
7        0.6704         0.5660       0.0512       0.1195       0.1983      
8        0.6663         0.5826       0.0655       0.1271       0.1973      
9        0.6571         0.5691       0.0247       0.0683       0.1480      
10       0.6395         0.5819       0.0512       0.1271       0.1917      
11       0.6443         0.5621       0.0607       0.1262       0.1898      
12       0.6300         0.5699       0.0417       0.1224       0.1907      
13       0.6297         0.5924       0.0664       0.1546       0.2068      
14       0.6208         0.5789       0.0560       0.1499       0.2021      
15       0.6194         0.5795       0.0664       0.1584       0.2296      
16       0.6105         0.5895       0.0721       0.1584       0.2249      
17       0.6046         0.5861       0.0664       0.1670       0.2296      
18       0.6043         0.6003       0.0721       0.1490       0.2211      
19       0.5915         0.6104       0.0702       0.1518       0.2154      
20       0.5899         0.6057       0.0512       0.1461       0.2144      
21       0.5742         0.6093       0.0465       0.1385       0.2144      
22       0.5734         0.6241       0.0588       0.1499       0.2201      
23       0.5620         0.6247       0.0579       0.1670       0.2343      
24       0.5581         0.6324       0.0674       0.1613       0.2277      
25       0.5490         0.6436       0.0636       0.1632       0.2438      
26       0.5419         0.6371       0.0683       0.1622       0.2543      
27       0.5487         0.6491       0.0797       0.1765       0.2600      
28       0.5554         0.6483       0.0816       0.1850       0.2694      
29       0.5467         0.6566       0.0693       0.1860       0.2723      
30       0.5351         0.6541       0.0693       0.1784       0.2827      
31       0.5390         0.6580       0.0778       0.1907       0.2846      
32       0.5415         0.6597       0.0626       0.1774       0.2808      
33       0.5303         0.6528       0.0721       0.1755       0.2827      
34       0.5224         0.6579       0.0683       0.1755       0.2713      
35       0.5228         0.6756       0.0598       0.1803       0.2761      
36       0.5082         0.6550       0.0740       0.1698       0.2666      
37       0.5168         0.6792       0.0655       0.1888       0.2704      
38       0.5118         0.6578       0.0607       0.1727       0.2761      
39       0.4976         0.6631       0.0721       0.1935       0.2922      
40       0.5122         0.6522       0.0655       0.1774       0.2780      
41       0.5097         0.6607       0.0579       0.1841       0.2742      
42       0.4981         0.6743       0.0712       0.1945       0.2913      
43       0.4880         0.6683       0.0854       0.1992       0.3008      
44       0.4845         0.6748       0.0816       0.2059       0.3008      
45       0.4729         0.6480       0.0655       0.1926       0.2932      
46       0.4797         0.6721       0.0550       0.1831       0.2761      
47       0.4689         0.6675       0.0645       0.1992       0.2913      
48       0.4645         0.6686       0.0645       0.1774       0.2770      
49       0.4547         0.6490       0.0522       0.1765       0.2676      
50       0.4394         0.6598       0.0626       0.1727       0.2476      
51       0.4403         0.6411       0.0503       0.1509       0.2457      
52       0.4446         0.6574       0.0484       0.1499       0.2457      
53       0.4262         0.6465       0.0693       0.1679       0.2552      
54       0.4413         0.6408       0.0598       0.1603       0.2419      
