Typed Link Prediction: Decoder Comparison - 2025-10-17 09:04:23
================================================================================

R-GIN + DistMult Training History
============================================================

Best Validation AUC: 0.9807
Total Epochs Trained: 74
Early Stopping Best Score: 0.9233 (Hits@10 at epoch 64)

------------------------------------------------------------------------------------------
Epoch    Train Loss     Val AUC      Val H@1      Val H@5      Val H@10    
------------------------------------------------------------------------------------------
1        0.3805         0.9592       0.4031       0.7155       0.8427      
2        0.2095         0.9666       0.4571       0.7560       0.8701      
3        0.1877         0.9715       0.4717       0.7684       0.8799      
4        0.1754         0.9716       0.4816       0.7771       0.8863      
5        0.1671         0.9737       0.4849       0.7823       0.8884      
6        0.1619         0.9741       0.4867       0.7845       0.8913      
7        0.1580         0.9758       0.4910       0.7892       0.8930      
8        0.1539         0.9748       0.4930       0.7898       0.8948      
9        0.1500         0.9759       0.5029       0.7966       0.8997      
10       0.1481         0.9759       0.5028       0.7987       0.9015      
11       0.1460         0.9747       0.5014       0.8022       0.9039      
12       0.1437         0.9765       0.5035       0.7975       0.9022      
13       0.1417         0.9767       0.5022       0.8043       0.9062      
14       0.1404         0.9771       0.5103       0.8073       0.9066      
15       0.1386         0.9768       0.5140       0.8078       0.9058      
16       0.1374         0.9779       0.5128       0.8100       0.9085      
17       0.1358         0.9784       0.5112       0.8089       0.9084      
18       0.1345         0.9772       0.5103       0.8097       0.9085      
19       0.1348         0.9773       0.5135       0.8121       0.9122      
20       0.1327         0.9774       0.5141       0.8116       0.9098      
21       0.1320         0.9790       0.5204       0.8139       0.9115      
22       0.1305         0.9787       0.5225       0.8153       0.9147      
23       0.1299         0.9794       0.5247       0.8163       0.9137      
24       0.1292         0.9792       0.5202       0.8199       0.9136      
25       0.1300         0.9782       0.5192       0.8190       0.9141      
26       0.1285         0.9789       0.5272       0.8220       0.9159      
27       0.1289         0.9800       0.5250       0.8176       0.9135      
28       0.1270         0.9779       0.5146       0.8169       0.9153      
29       0.1266         0.9776       0.5263       0.8179       0.9167      
30       0.1263         0.9796       0.5256       0.8204       0.9163      
31       0.1251         0.9791       0.5168       0.8209       0.9180      
32       0.1252         0.9792       0.5308       0.8222       0.9158      
33       0.1240         0.9785       0.5286       0.8222       0.9154      
34       0.1244         0.9790       0.5228       0.8218       0.9189      
35       0.1243         0.9787       0.5305       0.8242       0.9161      
36       0.1234         0.9781       0.5319       0.8206       0.9161      
37       0.1226         0.9790       0.5331       0.8256       0.9186      
38       0.1231         0.9773       0.5228       0.8214       0.9162      
39       0.1217         0.9772       0.5338       0.8248       0.9166      
40       0.1224         0.9785       0.5306       0.8219       0.9153      
41       0.1216         0.9795       0.5350       0.8261       0.9182      
42       0.1205         0.9793       0.5307       0.8273       0.9196      
43       0.1212         0.9788       0.5328       0.8284       0.9194      
44       0.1207         0.9790       0.5320       0.8246       0.9185      
45       0.1216         0.9802       0.5361       0.8257       0.9192      
46       0.1201         0.9793       0.5297       0.8279       0.9188      
47       0.1199         0.9779       0.5271       0.8234       0.9179      
48       0.1203         0.9796       0.5371       0.8255       0.9184      
49       0.1192         0.9788       0.5271       0.8244       0.9183      
50       0.1192         0.9802       0.5401       0.8273       0.9208      
51       0.1193         0.9788       0.5352       0.8268       0.9200      
52       0.1192         0.9801       0.5310       0.8277       0.9190      
53       0.1188         0.9799       0.5399       0.8307       0.9230      
54       0.1185         0.9799       0.5376       0.8301       0.9190      
55       0.1185         0.9796       0.5316       0.8277       0.9196      
56       0.1178         0.9797       0.5286       0.8280       0.9218      
57       0.1178         0.9790       0.5293       0.8297       0.9196      
58       0.1183         0.9800       0.5385       0.8308       0.9226      
59       0.1186         0.9800       0.5378       0.8296       0.9217      
60       0.1172         0.9788       0.5332       0.8278       0.9202      
61       0.1173         0.9795       0.5311       0.8279       0.9205      
62       0.1167         0.9799       0.5418       0.8308       0.9231      
63       0.1165         0.9789       0.5327       0.8299       0.9201      
64       0.1162         0.9801       0.5358       0.8311       0.9233      
65       0.1171         0.9776       0.5324       0.8289       0.9202      
66       0.1164         0.9786       0.5319       0.8259       0.9202      
67       0.1170         0.9804       0.5347       0.8310       0.9231      
68       0.1165         0.9802       0.5405       0.8315       0.9215      
69       0.1161         0.9799       0.5342       0.8305       0.9212      
70       0.1166         0.9800       0.5359       0.8306       0.9217      
