Model Training Results - 2025-10-17 12:19:59
================================================================================


R-GIN_embed_rel + Distmult Training History
============================================================

Best Validation AUC: 0.9802
Total Epochs Trained: 68
Early Stopping Best Score: 0.9243 (Hits@10 at epoch 58)

------------------------------------------------------------------------------------------
Epoch    Train Loss     Val AUC      Val H@1      Val H@5      Val H@10    
------------------------------------------------------------------------------------------
1        0.3963         0.9544       0.3629       0.6945       0.8264      
2        0.2204         0.9649       0.4283       0.7411       0.8615      
3        0.1942         0.9684       0.4521       0.7611       0.8752      
4        0.1780         0.9715       0.4678       0.7754       0.8871      
5        0.1669         0.9722       0.4645       0.7816       0.8912      
6        0.1608         0.9742       0.4892       0.7857       0.8944      
7        0.1569         0.9743       0.4784       0.7927       0.8980      
8        0.1523         0.9756       0.4889       0.7959       0.9004      
9        0.1489         0.9769       0.5018       0.7981       0.9031      
10       0.1468         0.9761       0.5097       0.8003       0.9030      
11       0.1445         0.9770       0.5037       0.8002       0.9059      
12       0.1424         0.9770       0.5069       0.8046       0.9060      
13       0.1402         0.9779       0.5095       0.8046       0.9068      
14       0.1382         0.9779       0.5119       0.8067       0.9057      
15       0.1377         0.9763       0.5137       0.8081       0.9076      
16       0.1365         0.9788       0.5150       0.8109       0.9101      
17       0.1348         0.9792       0.5133       0.8086       0.9099      
18       0.1330         0.9783       0.5117       0.8098       0.9091      
19       0.1328         0.9778       0.5210       0.8127       0.9099      
20       0.1312         0.9786       0.5238       0.8143       0.9120      
21       0.1302         0.9786       0.5141       0.8121       0.9109      
22       0.1289         0.9785       0.5238       0.8167       0.9140      
23       0.1291         0.9774       0.5232       0.8160       0.9111      
24       0.1276         0.9773       0.5271       0.8177       0.9121      
25       0.1275         0.9772       0.5232       0.8173       0.9145      
26       0.1266         0.9781       0.5261       0.8171       0.9136      
27       0.1261         0.9795       0.5270       0.8178       0.9131      
28       0.1259         0.9784       0.5214       0.8169       0.9141      
29       0.1247         0.9774       0.5241       0.8187       0.9129      
30       0.1249         0.9789       0.5226       0.8214       0.9137      
31       0.1239         0.9794       0.5263       0.8191       0.9147      
32       0.1234         0.9785       0.5236       0.8244       0.9153      
33       0.1228         0.9793       0.5264       0.8241       0.9153      
34       0.1220         0.9789       0.5308       0.8240       0.9177      
35       0.1220         0.9787       0.5314       0.8229       0.9161      
36       0.1221         0.9791       0.5354       0.8242       0.9167      
37       0.1211         0.9783       0.5315       0.8250       0.9167      
38       0.1210         0.9781       0.5287       0.8243       0.9184      
39       0.1210         0.9787       0.5275       0.8239       0.9184      
40       0.1205         0.9796       0.5351       0.8273       0.9174      
41       0.1203         0.9785       0.5343       0.8257       0.9184      
42       0.1195         0.9783       0.5360       0.8277       0.9193      
43       0.1194         0.9786       0.5368       0.8288       0.9205      
44       0.1198         0.9798       0.5347       0.8294       0.9208      
45       0.1186         0.9801       0.5348       0.8324       0.9217      
46       0.1169         0.9785       0.5299       0.8290       0.9200      
47       0.1181         0.9787       0.5357       0.8300       0.9219      
48       0.1165         0.9799       0.5442       0.8298       0.9199      
49       0.1176         0.9786       0.5340       0.8275       0.9177      
50       0.1171         0.9792       0.5337       0.8297       0.9209      
51       0.1166         0.9799       0.5384       0.8305       0.9219      
52       0.1159         0.9799       0.5351       0.8297       0.9195      
53       0.1163         0.9801       0.5364       0.8318       0.9226      
54       0.1155         0.9799       0.5386       0.8297       0.9203      
55       0.1158         0.9782       0.5406       0.8319       0.9220      
56       0.1152         0.9800       0.5400       0.8330       0.9205      
57       0.1156         0.9796       0.5404       0.8337       0.9211      
58       0.1151         0.9791       0.5364       0.8336       0.9243      
59       0.1158         0.9787       0.5382       0.8312       0.9225      
60       0.1156         0.9796       0.5369       0.8335       0.9198      
61       0.1148         0.9798       0.5333       0.8328       0.9228      
62       0.1147         0.9795       0.5460       0.8374       0.9237      
63       0.1147         0.9798       0.5378       0.8330       0.9222      
64       0.1141         0.9802       0.5428       0.8361       0.9239      
65       0.1143         0.9801       0.5387       0.8336       0.9231      
66       0.1134         0.9797       0.5413       0.8318       0.9234      
67       0.1136         0.9801       0.5367       0.8322       0.9220      
68       0.1137         0.9795       0.5414       0.8329       0.9234      
