Model Training Results - 2025-10-16 14:51:29
================================================================================


GIN Training History
============================================================

Best Validation AUC: 0.8890
Total Epochs Trained: 51
Early Stopping Best Score: 0.7020 (Hits@10 at epoch 41)

------------------------------------------------------------------------------------------
Epoch    Train Loss     Val AUC      Val H@1      Val H@5      Val H@10    
------------------------------------------------------------------------------------------
1        10.2600        0.8382       0.1693       0.3976       0.5366      
2        0.5017         0.8563       0.1993       0.4526       0.5932      
3        0.4844         0.8654       0.1972       0.4649       0.6144      
4        0.4758         0.8670       0.2143       0.4806       0.6313      
5        0.4720         0.8757       0.2097       0.4820       0.6371      
6        0.4668         0.8796       0.2265       0.5004       0.6525      
7        0.4626         0.8823       0.2320       0.5096       0.6647      
8        0.4601         0.8834       0.2368       0.5237       0.6761      
9        0.4578         0.8799       0.2196       0.5074       0.6653      
10       0.4565         0.8821       0.2305       0.5201       0.6735      
11       0.4553         0.8804       0.2097       0.5048       0.6614      
12       0.4538         0.8769       0.2240       0.5141       0.6676      
13       0.4518         0.8890       0.2260       0.5224       0.6777      
14       0.4509         0.8856       0.2338       0.5301       0.6822      
15       0.4508         0.8803       0.2364       0.5310       0.6818      
16       0.4517         0.8838       0.2257       0.5263       0.6810      
17       0.4486         0.8851       0.2280       0.5330       0.6835      
18       0.4475         0.8812       0.2297       0.5262       0.6842      
19       0.4485         0.8867       0.2343       0.5345       0.6876      
20       0.4464         0.8841       0.2343       0.5383       0.6923      
21       0.4445         0.8840       0.2322       0.5405       0.6891      
22       0.4464         0.8772       0.2189       0.5288       0.6850      
23       0.4444         0.8767       0.2378       0.5333       0.6830      
24       0.4452         0.8831       0.2258       0.5358       0.6926      
25       0.4440         0.8850       0.2354       0.5457       0.6959      
26       0.4443         0.8798       0.2258       0.5297       0.6805      
27       0.4435         0.8838       0.2272       0.5346       0.6877      
28       0.4432         0.8860       0.2196       0.5258       0.6837      
29       0.4511         0.8814       0.2266       0.5327       0.6897      
30       0.4450         0.8781       0.2288       0.5355       0.6894      
31       0.4427         0.8816       0.2301       0.5381       0.6903      
32       0.4417         0.8836       0.2359       0.5427       0.6962      
33       0.4415         0.8809       0.2275       0.5410       0.6951      
34       0.4405         0.8758       0.2306       0.5367       0.6873      
35       0.4407         0.8831       0.2411       0.5501       0.7006      
36       0.4410         0.8776       0.2390       0.5461       0.6930      
37       0.4409         0.8812       0.2390       0.5471       0.6971      
38       0.4406         0.8819       0.2283       0.5489       0.7001      
39       0.4402         0.8759       0.2328       0.5462       0.6968      
40       0.4393         0.8850       0.2331       0.5449       0.6964      
41       0.4397         0.8793       0.2410       0.5473       0.7020      
42       0.4436         0.8741       0.2361       0.5393       0.6900      
43       0.4396         0.8726       0.2330       0.5435       0.6924      
44       0.4395         0.8778       0.2268       0.5365       0.6881      
45       0.4386         0.8740       0.2292       0.5449       0.6977      
46       0.4405         0.8772       0.2285       0.5447       0.6984      
47       0.4396         0.8766       0.2256       0.5415       0.6930      
48       0.4384         0.8797       0.2210       0.5402       0.6953      
49       0.4389         0.8791       0.2241       0.5418       0.6929      
50       0.4364         0.8750       0.2386       0.5485       0.6979      
51       0.4389         0.8763       0.2212       0.5472       0.6969      
