Model Training Results - 2025-10-16 12:46:00
================================================================================


GIN Training History
============================================================

Best Validation AUC: 0.8901
Total Epochs Trained: 45
Early Stopping Best Score: 0.6947 (Hits@10 at epoch 35)

------------------------------------------------------------------------------------------
Epoch    Train Loss     Val AUC      Val H@1      Val H@5      Val H@10    
------------------------------------------------------------------------------------------
1        15.1787        0.8156       0.1516       0.3523       0.4821      
2        0.5107         0.8440       0.1893       0.4281       0.5706      
3        0.4922         0.8609       0.2041       0.4561       0.6015      
4        0.4850         0.8716       0.2100       0.4675       0.6170      
5        0.4804         0.8542       0.1942       0.4457       0.5930      
6        0.4772         0.8783       0.2158       0.4833       0.6322      
7        0.4723         0.8741       0.2184       0.4823       0.6357      
8        0.4692         0.8713       0.2035       0.4795       0.6303      
9        0.4693         0.8774       0.2190       0.4893       0.6438      
10       0.4652         0.8827       0.2151       0.4937       0.6523      
11       0.4634         0.8812       0.2103       0.4965       0.6537      
12       0.4621         0.8868       0.2292       0.5084       0.6650      
13       0.4616         0.8831       0.2157       0.5060       0.6637      
14       0.4601         0.8823       0.2140       0.4994       0.6612      
15       0.4603         0.8763       0.2138       0.4971       0.6556      
16       0.4571         0.8857       0.2277       0.5140       0.6695      
17       0.4555         0.8796       0.2181       0.5061       0.6608      
18       0.4550         0.8798       0.2166       0.5054       0.6615      
19       0.4555         0.8816       0.2207       0.5086       0.6675      
20       0.4538         0.8843       0.2232       0.5170       0.6744      
21       0.4533         0.8850       0.2295       0.5244       0.6768      
22       0.4518         0.8820       0.2319       0.5284       0.6796      
23       0.4511         0.8827       0.2275       0.5253       0.6769      
24       0.4531         0.8812       0.2332       0.5296       0.6777      
25       0.4513         0.8815       0.2234       0.5232       0.6754      
26       0.4491         0.8833       0.2210       0.5191       0.6740      
27       0.4498         0.8822       0.2306       0.5277       0.6775      
28       0.4540         0.8866       0.2259       0.5233       0.6787      
29       0.4480         0.8854       0.2188       0.5262       0.6800      
30       0.4486         0.8835       0.2163       0.5175       0.6731      
31       0.4481         0.8877       0.2309       0.5346       0.6860      
32       0.4475         0.8865       0.2406       0.5404       0.6886      
33       0.4472         0.8790       0.2240       0.5205       0.6732      
34       0.4470         0.8885       0.2255       0.5330       0.6868      
35       0.4460         0.8893       0.2322       0.5400       0.6947      
36       0.4461         0.8901       0.2238       0.5329       0.6861      
37       0.4452         0.8814       0.2220       0.5200       0.6751      
38       0.4498         0.8810       0.2246       0.5306       0.6846      
39       0.4457         0.8844       0.2292       0.5388       0.6884      
40       0.4454         0.8817       0.2296       0.5368       0.6904      
41       0.4453         0.8750       0.2099       0.5196       0.6800      
42       0.4444         0.8769       0.2272       0.5421       0.6923      
43       0.4441         0.8797       0.2206       0.5270       0.6817      
44       0.4427         0.8779       0.2113       0.5206       0.6752      
45       0.4441         0.8768       0.2228       0.5336       0.6850      
