Typed Link Prediction: Decoder Comparison - 2025-10-16 18:40:14
================================================================================

R-GIN + DistMult Training History
============================================================

Best Validation AUC: 0.8305
Total Epochs Trained: 71
Early Stopping Best Score: 0.6027 (Hits@10 at epoch 61)

------------------------------------------------------------------------------------------
Epoch    Train Loss     Val AUC      Val H@1      Val H@5      Val H@10    
------------------------------------------------------------------------------------------
1        0.6591         0.6780       0.0789       0.2170       0.3408      
2        0.5147         0.7502       0.1135       0.2706       0.3904      
3        0.4623         0.7561       0.1002       0.2599       0.3807      
4        0.4181         0.7923       0.1226       0.2904       0.4309      
5        0.3505         0.8305       0.1360       0.3317       0.4743      
6        0.3129         0.8305       0.1412       0.3510       0.4985      
7        0.2888         0.8142       0.1371       0.3570       0.5094      
8        0.2724         0.8247       0.1529       0.3771       0.5201      
9        0.2652         0.8224       0.1516       0.3675       0.5222      
10       0.2527         0.8169       0.1396       0.3657       0.5201      
11       0.2440         0.8056       0.1378       0.3596       0.5130      
12       0.2377         0.8048       0.1439       0.3629       0.5185      
13       0.2257         0.8051       0.1368       0.3654       0.5237      
14       0.2186         0.8087       0.1409       0.3731       0.5226      
15       0.2136         0.7945       0.1473       0.3767       0.5315      
16       0.2098         0.8018       0.1440       0.3807       0.5326      
17       0.2042         0.7901       0.1485       0.3809       0.5338      
18       0.2014         0.7794       0.1524       0.3823       0.5295      
19       0.1965         0.7829       0.1536       0.3754       0.5216      
20       0.1934         0.7756       0.1546       0.3932       0.5409      
21       0.1886         0.7766       0.1519       0.3995       0.5468      
22       0.1868         0.7799       0.1688       0.4108       0.5400      
23       0.1826         0.7762       0.1577       0.3977       0.5386      
24       0.1820         0.7742       0.1605       0.4023       0.5407      
25       0.1777         0.7764       0.1501       0.4000       0.5414      
26       0.1765         0.7784       0.1640       0.4051       0.5377      
27       0.1754         0.7801       0.1711       0.4051       0.5402      
28       0.1694         0.7705       0.1528       0.4049       0.5402      
29       0.1660         0.7653       0.1569       0.4064       0.5391      
30       0.1627         0.7783       0.1711       0.4232       0.5480      
31       0.1616         0.7578       0.1661       0.4158       0.5455      
32       0.1587         0.7675       0.1648       0.4145       0.5422      
33       0.1556         0.7709       0.1673       0.4140       0.5427      
34       0.1553         0.7772       0.1768       0.4272       0.5598      
35       0.1507         0.7800       0.1750       0.4329       0.5554      
36       0.1516         0.7721       0.1809       0.4402       0.5666      
37       0.1485         0.7801       0.1753       0.4290       0.5595      
38       0.1439         0.7714       0.1740       0.4219       0.5509      
39       0.1426         0.7705       0.1805       0.4247       0.5582      
40       0.1426         0.7717       0.1775       0.4176       0.5460      
41       0.1395         0.7895       0.1870       0.4405       0.5699      
42       0.1383         0.7744       0.1836       0.4316       0.5583      
43       0.1374         0.7677       0.1689       0.4186       0.5473      
44       0.1359         0.7585       0.1912       0.4362       0.5595      
45       0.1334         0.7692       0.1872       0.4420       0.5672      
46       0.1315         0.7726       0.1879       0.4356       0.5555      
47       0.1301         0.7778       0.1882       0.4497       0.5691      
48       0.1286         0.7823       0.1981       0.4565       0.5809      
49       0.1281         0.7732       0.1917       0.4473       0.5704      
50       0.1269         0.7666       0.1895       0.4359       0.5667      
51       0.1264         0.7858       0.1869       0.4415       0.5677      
52       0.1254         0.7687       0.2035       0.4476       0.5750      
53       0.1250         0.7828       0.1996       0.4611       0.5842      
54       0.1233         0.7712       0.2060       0.4539       0.5760      
55       0.1226         0.7705       0.1940       0.4464       0.5649      
56       0.1204         0.7826       0.2057       0.4634       0.5783      
57       0.1188         0.7738       0.2189       0.4771       0.5882      
58       0.1186         0.7832       0.2126       0.4680       0.5845      
59       0.1166         0.7868       0.2098       0.4567       0.5799      
60       0.1143         0.7867       0.2162       0.4697       0.5816      
61       0.1126         0.7923       0.2334       0.4924       0.6027      
62       0.1122         0.7846       0.2197       0.4730       0.5814      
63       0.1108         0.7869       0.2286       0.4827       0.5895      
64       0.1093         0.7794       0.2274       0.4870       0.5842      
65       0.1087         0.8021       0.2250       0.4799       0.5877      
66       0.1059         0.7930       0.2436       0.4985       0.5939      
67       0.1054         0.7889       0.2279       0.4842       0.5875      
68       0.1039         0.7935       0.2404       0.4880       0.5849      
69       0.1029         0.7871       0.2419       0.4878       0.5865      
70       0.1027         0.7955       0.2451       0.4951       0.5895      
71       0.1016         0.7916       0.2423       0.4998       0.6004      

R-GIN + DotProduct Training History
============================================================

Best Validation AUC: 0.8121
Total Epochs Trained: 99
Early Stopping Best Score: 0.6407 (Hits@10 at epoch 89)

------------------------------------------------------------------------------------------
Epoch    Train Loss     Val AUC      Val H@1      Val H@5      Val H@10    
------------------------------------------------------------------------------------------
1        0.6296         0.7238       0.0730       0.1984       0.3113      
2        0.5464         0.7558       0.0806       0.2317       0.3545      
3        0.5258         0.7504       0.0901       0.2488       0.3609      
4        0.5149         0.7530       0.0883       0.2395       0.3682      
5        0.5064         0.7598       0.0933       0.2604       0.3853      
6        0.4995         0.7464       0.0865       0.2449       0.3711      
7        0.4975         0.7670       0.1027       0.2637       0.3940      
8        0.4926         0.7619       0.0976       0.2571       0.3853      
9        0.4903         0.7624       0.1018       0.2629       0.3906      
10       0.4871         0.7446       0.1038       0.2665       0.3874      
11       0.4845         0.7425       0.1025       0.2660       0.4003      
12       0.4819         0.7418       0.0854       0.2513       0.3832      
13       0.4789         0.7496       0.0989       0.2698       0.4071      
14       0.4760         0.7345       0.0981       0.2607       0.3919      
15       0.4742         0.7546       0.1066       0.2736       0.4028      
16       0.4735         0.7518       0.1043       0.2805       0.4072      
17       0.4721         0.7525       0.0977       0.2732       0.4018      
18       0.4694         0.7481       0.1020       0.2732       0.3970      
19       0.4693         0.7629       0.1073       0.2825       0.4234      
20       0.4687         0.7425       0.1007       0.2737       0.4100      
21       0.4666         0.7541       0.1012       0.2783       0.4092      
22       0.4652         0.7545       0.0987       0.2772       0.4125      
23       0.4621         0.7486       0.1088       0.2912       0.4260      
24       0.4633         0.7642       0.1124       0.3080       0.4491      
25       0.4590         0.7494       0.1147       0.3113       0.4519      
26       0.4569         0.7609       0.1007       0.3060       0.4558      
27       0.4565         0.7596       0.1173       0.3131       0.4634      
28       0.4515         0.7685       0.1228       0.3204       0.4730      
29       0.4499         0.7668       0.1193       0.3312       0.4756      
30       0.4506         0.7684       0.1289       0.3413       0.4904      
31       0.4463         0.7554       0.1139       0.3187       0.4717      
32       0.4456         0.7596       0.1205       0.3247       0.4771      
33       0.4449         0.7769       0.1224       0.3359       0.4875      
34       0.4452         0.7668       0.1208       0.3403       0.4946      
35       0.4409         0.7665       0.1256       0.3481       0.4959      
36       0.4398         0.7851       0.1333       0.3548       0.5132      
37       0.4393         0.7694       0.1318       0.3522       0.5107      
38       0.4383         0.7686       0.1341       0.3550       0.5089      
39       0.4362         0.7782       0.1333       0.3680       0.5218      
40       0.4375         0.7706       0.1378       0.3647       0.5198      
41       0.4364         0.7636       0.1365       0.3644       0.5135      
42       0.4349         0.7813       0.1371       0.3652       0.5194      
43       0.4348         0.7902       0.1412       0.3752       0.5298      
44       0.4316         0.7640       0.1394       0.3749       0.5254      
45       0.4341         0.7881       0.1498       0.3761       0.5257      
46       0.4308         0.7738       0.1361       0.3761       0.5237      
47       0.4300         0.7752       0.1365       0.3779       0.5305      
48       0.4289         0.7733       0.1399       0.3812       0.5320      
49       0.4291         0.7642       0.1419       0.3749       0.5287      
50       0.4291         0.7697       0.1376       0.3782       0.5247      
51       0.4260         0.7625       0.1455       0.3818       0.5287      
52       0.4276         0.7817       0.1440       0.3825       0.5381      
53       0.4275         0.7754       0.1465       0.3845       0.5438      
54       0.4266         0.7662       0.1462       0.4023       0.5463      
55       0.4254         0.7654       0.1482       0.3991       0.5412      
56       0.4263         0.7695       0.1513       0.3985       0.5524      
57       0.4235         0.7788       0.1493       0.4080       0.5626      
58       0.4239         0.7811       0.1528       0.4052       0.5666      
59       0.4251         0.7718       0.1587       0.4082       0.5539      
60       0.4239         0.7681       0.1594       0.4099       0.5649      
61       0.4227         0.7689       0.1490       0.4087       0.5605      
62       0.4224         0.7965       0.1600       0.4194       0.5847      
63       0.4210         0.7738       0.1577       0.4211       0.5768      
64       0.4200         0.7844       0.1669       0.4295       0.5872      
65       0.4210         0.7852       0.1618       0.4224       0.5928      
66       0.4205         0.7815       0.1656       0.4219       0.5915      
67       0.4202         0.7919       0.1669       0.4324       0.5910      
68       0.4182         0.8073       0.1737       0.4418       0.6074      
69       0.4190         0.7964       0.1765       0.4455       0.6050      
70       0.4180         0.7961       0.1716       0.4440       0.6023      
71       0.4194         0.7868       0.1730       0.4426       0.6063      
72       0.4149         0.7814       0.1627       0.4316       0.5959      
73       0.4202         0.7933       0.1704       0.4483       0.6015      
74       0.4183         0.8076       0.1641       0.4405       0.6018      
75       0.4165         0.7917       0.1767       0.4507       0.6144      
76       0.4135         0.7855       0.1744       0.4527       0.6098      
77       0.4161         0.8014       0.1780       0.4649       0.6246      
78       0.4159         0.7900       0.1752       0.4573       0.6124      
79       0.4133         0.7868       0.1707       0.4459       0.6076      
80       0.4119         0.7845       0.1732       0.4459       0.6061      
81       0.4175         0.7944       0.1800       0.4647       0.6187      
82       0.4135         0.7991       0.1785       0.4649       0.6210      
83       0.4151         0.7880       0.1744       0.4542       0.6135      
84       0.4112         0.7916       0.1788       0.4573       0.6183      
85       0.4130         0.8025       0.1781       0.4567       0.6282      
86       0.4123         0.8022       0.1834       0.4623       0.6328      
87       0.4132         0.7958       0.1816       0.4670       0.6216      
88       0.4123         0.7926       0.1781       0.4537       0.6198      
89       0.4141         0.8054       0.1838       0.4717       0.6407      
90       0.4118         0.8011       0.1862       0.4519       0.6295      
91       0.4128         0.8121       0.1931       0.4695       0.6369      
92       0.4121         0.7969       0.1814       0.4712       0.6282      
93       0.4104         0.7977       0.1870       0.4692       0.6299      
94       0.4117         0.7916       0.1831       0.4712       0.6307      
95       0.4119         0.7887       0.1778       0.4611       0.6221      
96       0.4124         0.7971       0.1870       0.4652       0.6259      
97       0.4122         0.7905       0.1870       0.4710       0.6277      
98       0.4095         0.7801       0.1806       0.4665       0.6185      
99       0.4109         0.7853       0.1821       0.4751       0.6343      

Best Validation Metrics Summary
============================================================
R-GIN + DistMult: AUC=0.7923 | H@1=0.2334 | H@5=0.4924 | H@10=0.6027 (epoch 61)
R-GIN + DotProduct: AUC=0.8054 | H@1=0.1838 | H@5=0.4717 | H@10=0.6407 (epoch 89)
