Model Training Results - 2025-10-16 19:16:14
================================================================================


R-GIN_embed_rel + Distmult Training History
============================================================

Best Validation AUC: 0.8650
Total Epochs Trained: 53
Early Stopping Best Score: 0.6956 (Hits@10 at epoch 43)

------------------------------------------------------------------------------------------
Epoch    Train Loss     Val AUC      Val H@1      Val H@5      Val H@10    
------------------------------------------------------------------------------------------
1        0.6473         0.7228       0.1058       0.2416       0.3558      
2        0.5143         0.7790       0.1170       0.2643       0.3759      
3        0.4370         0.7803       0.0972       0.2568       0.3817      
4        0.4001         0.7916       0.1005       0.2726       0.4094      
5        0.3589         0.8192       0.1188       0.3123       0.4547      
6        0.3184         0.8312       0.1262       0.3415       0.5068      
7        0.2888         0.8470       0.1468       0.3833       0.5704      
8        0.2601         0.8579       0.1653       0.4319       0.6191      
9        0.2388         0.8497       0.1755       0.4461       0.6180      
10       0.2205         0.8650       0.1709       0.4614       0.6239      
11       0.2079         0.8622       0.2022       0.4908       0.6486      
12       0.1949         0.8589       0.1994       0.4988       0.6427      
13       0.1870         0.8583       0.2042       0.5040       0.6506      
14       0.1789         0.8524       0.2114       0.5082       0.6478      
15       0.1726         0.8561       0.2032       0.5152       0.6580      
16       0.1694         0.8639       0.2177       0.5264       0.6635      
17       0.1661         0.8628       0.2215       0.5318       0.6704      
18       0.1595         0.8567       0.2189       0.5328       0.6661      
19       0.1554         0.8545       0.2221       0.5305       0.6574      
20       0.1516         0.8542       0.2297       0.5409       0.6697      
21       0.1460         0.8553       0.2381       0.5506       0.6745      
22       0.1460         0.8568       0.2335       0.5531       0.6793      
23       0.1435         0.8557       0.2302       0.5456       0.6739      
24       0.1398         0.8601       0.2388       0.5527       0.6735      
25       0.1371         0.8601       0.2421       0.5592       0.6831      
26       0.1348         0.8537       0.2459       0.5531       0.6706      
27       0.1326         0.8597       0.2416       0.5583       0.6816      
28       0.1300         0.8556       0.2363       0.5567       0.6679      
29       0.1307         0.8574       0.2477       0.5597       0.6739      
30       0.1267         0.8587       0.2540       0.5707       0.6805      
31       0.1251         0.8538       0.2469       0.5727       0.6859      
32       0.1231         0.8555       0.2488       0.5669       0.6793      
33       0.1228         0.8504       0.2573       0.5705       0.6814      
34       0.1196         0.8475       0.2498       0.5674       0.6791      
35       0.1185         0.8586       0.2615       0.5781       0.6900      
36       0.1171         0.8465       0.2601       0.5816       0.6816      
37       0.1151         0.8512       0.2642       0.5775       0.6808      
38       0.1145         0.8486       0.2655       0.5801       0.6834      
39       0.1135         0.8559       0.2690       0.5862       0.6897      
40       0.1132         0.8444       0.2739       0.5852       0.6814      
41       0.1106         0.8496       0.2630       0.5839       0.6905      
42       0.1096         0.8526       0.2788       0.5819       0.6864      
43       0.1095         0.8513       0.2703       0.5908       0.6956      
44       0.1058         0.8531       0.2808       0.5860       0.6847      
45       0.1071         0.8460       0.2699       0.5868       0.6879      
46       0.1061         0.8508       0.2769       0.5812       0.6844      
47       0.1041         0.8496       0.2861       0.5903       0.6847      
48       0.1022         0.8490       0.2848       0.5918       0.6920      
49       0.1016         0.8473       0.2900       0.5900       0.6839      
50       0.1000         0.8417       0.2896       0.5855       0.6801      
51       0.0999         0.8480       0.2991       0.5898       0.6880      
52       0.0984         0.8478       0.2989       0.6000       0.6869      
53       0.0956         0.8447       0.2994       0.5931       0.6831      
