Model Training Results - 2025-10-16 21:13:45
================================================================================


R-GIN_embed_rel + Distmult Training History
============================================================

Best Validation AUC: 0.7853
Total Epochs Trained: 79
Early Stopping Best Score: 0.5765 (Hits@10 at epoch 69)

------------------------------------------------------------------------------------------
Epoch    Train Loss     Val AUC      Val H@1      Val H@5      Val H@10    
------------------------------------------------------------------------------------------
1        0.6459         0.7241       0.1023       0.2289       0.3357      
2        0.5153         0.7512       0.0938       0.2426       0.3561      
3        0.4606         0.7649       0.1071       0.2630       0.3804      
4        0.4324         0.7463       0.0882       0.2381       0.3654      
5        0.4036         0.7602       0.0964       0.2521       0.3736      
6        0.3508         0.7791       0.1088       0.2772       0.4112      
7        0.3110         0.7653       0.1000       0.2727       0.4107      
8        0.2825         0.7729       0.1103       0.2994       0.4395      
9        0.2596         0.7546       0.1157       0.3059       0.4385      
10       0.2425         0.7598       0.1216       0.3199       0.4525      
11       0.2278         0.7604       0.1213       0.3312       0.4624      
12       0.2179         0.7480       0.1262       0.3331       0.4570      
13       0.2051         0.7610       0.1501       0.3619       0.4939      
14       0.1961         0.7627       0.1424       0.3612       0.4904      
15       0.1892         0.7707       0.1501       0.3701       0.5015      
16       0.1825         0.7586       0.1460       0.3662       0.5043      
17       0.1763         0.7692       0.1561       0.3757       0.5046      
18       0.1693         0.7632       0.1483       0.3701       0.5059      
19       0.1680         0.7707       0.1610       0.3833       0.5186      
20       0.1637         0.7595       0.1564       0.3772       0.5084      
21       0.1614         0.7699       0.1664       0.3929       0.5211      
22       0.1560         0.7518       0.1630       0.3771       0.5030      
23       0.1534         0.7618       0.1727       0.3972       0.5303      
24       0.1517         0.7687       0.1689       0.3897       0.5142      
25       0.1499         0.7551       0.1622       0.3942       0.5101      
26       0.1442         0.7572       0.1760       0.4074       0.5249      
27       0.1446         0.7594       0.1678       0.3973       0.5130      
28       0.1437         0.7580       0.1702       0.4100       0.5409      
29       0.1420         0.7513       0.1704       0.3851       0.5036      
30       0.1389         0.7666       0.1826       0.4130       0.5338      
31       0.1390         0.7839       0.1818       0.4138       0.5368      
32       0.1362         0.7695       0.1882       0.4095       0.5315      
33       0.1359         0.7711       0.1951       0.4275       0.5427      
34       0.1333         0.7650       0.1905       0.4189       0.5389      
35       0.1319         0.7655       0.1775       0.4103       0.5310      
36       0.1326         0.7749       0.1861       0.4192       0.5428      
37       0.1317         0.7638       0.1900       0.4237       0.5445      
38       0.1310         0.7592       0.1905       0.4161       0.5404      
39       0.1282         0.7667       0.1862       0.4184       0.5458      
40       0.1273         0.7650       0.1859       0.4197       0.5445      
41       0.1257         0.7734       0.1943       0.4227       0.5384      
42       0.1274         0.7673       0.1943       0.4336       0.5509      
43       0.1241         0.7689       0.1915       0.4314       0.5481      
44       0.1250         0.7600       0.1834       0.4120       0.5392      
45       0.1234         0.7731       0.1922       0.4300       0.5465      
46       0.1240         0.7649       0.1895       0.4222       0.5455      
47       0.1207         0.7634       0.1946       0.4242       0.5428      
48       0.1219         0.7621       0.1866       0.4201       0.5344      
49       0.1208         0.7751       0.2025       0.4499       0.5667      
50       0.1204         0.7828       0.1978       0.4306       0.5458      
51       0.1180         0.7701       0.2070       0.4451       0.5542      
52       0.1172         0.7743       0.1969       0.4349       0.5569      
53       0.1177         0.7584       0.2081       0.4455       0.5570      
54       0.1157         0.7818       0.2075       0.4412       0.5564      
55       0.1170         0.7758       0.2080       0.4535       0.5705      
56       0.1157         0.7665       0.1920       0.4267       0.5483      
57       0.1152         0.7724       0.1953       0.4377       0.5488      
58       0.1153         0.7618       0.1941       0.4217       0.5399      
59       0.1150         0.7654       0.1897       0.4318       0.5430      
60       0.1138         0.7699       0.1963       0.4308       0.5509      
61       0.1133         0.7802       0.1984       0.4390       0.5603      
62       0.1144         0.7745       0.1992       0.4385       0.5564      
63       0.1119         0.7712       0.2157       0.4563       0.5747      
64       0.1123         0.7750       0.2096       0.4545       0.5747      
65       0.1112         0.7766       0.2048       0.4413       0.5636      
66       0.1115         0.7701       0.2068       0.4426       0.5562      
67       0.1096         0.7792       0.2116       0.4501       0.5699      
68       0.1089         0.7716       0.2052       0.4397       0.5615      
69       0.1095         0.7853       0.2144       0.4644       0.5765      
70       0.1115         0.7757       0.2096       0.4408       0.5651      
71       0.1088         0.7559       0.2011       0.4423       0.5600      
72       0.1105         0.7616       0.2149       0.4417       0.5478      
73       0.1080         0.7757       0.2052       0.4540       0.5720      
74       0.1086         0.7622       0.2197       0.4501       0.5577      
75       0.1077         0.7691       0.2015       0.4395       0.5557      
76       0.1068         0.7727       0.2134       0.4534       0.5649      
77       0.1081         0.7789       0.2302       0.4642       0.5717      
78       0.1075         0.7650       0.2083       0.4534       0.5639      
79       0.1074         0.7632       0.2124       0.4567       0.5702      
