Model Training Results - 2025-10-16 22:00:44
================================================================================


R-GIN_embed_rel + Distmult Training History
============================================================

Best Validation AUC: 0.8465
Total Epochs Trained: 29
Early Stopping Best Score: 0.5473 (Hits@10 at epoch 19)

------------------------------------------------------------------------------------------
Epoch    Train Loss     Val AUC      Val H@1      Val H@5      Val H@10    
------------------------------------------------------------------------------------------
1        0.6530         0.7039       0.0900       0.2208       0.3275      
2        0.5348         0.7708       0.1155       0.2647       0.3744      
3        0.4674         0.7863       0.1037       0.2680       0.3858      
4        0.4205         0.7980       0.1000       0.2703       0.4120      
5        0.3882         0.8161       0.1213       0.3080       0.4626      
6        0.3663         0.8288       0.1320       0.3329       0.4885      
7        0.3464         0.8379       0.1376       0.3482       0.5107      
8        0.3283         0.8454       0.1369       0.3546       0.5201      
9        0.3117         0.8465       0.1356       0.3627       0.5358      
10       0.3008         0.8379       0.1516       0.3734       0.5422      
11       0.2897         0.8360       0.1458       0.3667       0.5351      
12       0.2776         0.8308       0.1495       0.3845       0.5424      
13       0.2704         0.8234       0.1429       0.3748       0.5344      
14       0.2637         0.8161       0.1462       0.3751       0.5397      
15       0.2574         0.8180       0.1457       0.3800       0.5399      
16       0.2513         0.8131       0.1463       0.3752       0.5387      
17       0.2461         0.8085       0.1337       0.3680       0.5267      
18       0.2443         0.8109       0.1454       0.3785       0.5405      
19       0.2365         0.8091       0.1516       0.3812       0.5473      
20       0.2326         0.8013       0.1304       0.3720       0.5391      
21       0.2294         0.8102       0.1345       0.3752       0.5412      
22       0.2254         0.8045       0.1305       0.3696       0.5244      
23       0.2198         0.8014       0.1460       0.3762       0.5432      
24       0.2195         0.8009       0.1472       0.3744       0.5392      
25       0.2140         0.7884       0.1454       0.3802       0.5371      
26       0.2107         0.7908       0.1404       0.3767       0.5363      
27       0.2106         0.7905       0.1401       0.3843       0.5366      
28       0.2083         0.7924       0.1396       0.3822       0.5311      
29       0.2027         0.7881       0.1417       0.3841       0.5315      
