Model Training Results - 2025-10-16 22:50:09
================================================================================


R-GIN_embed_rel + Distmult Training History
============================================================

Best Validation AUC: 0.8274
Total Epochs Trained: 41
Early Stopping Best Score: 0.6211 (Hits@10 at epoch 31)

------------------------------------------------------------------------------------------
Epoch    Train Loss     Val AUC      Val H@1      Val H@5      Val H@10    
------------------------------------------------------------------------------------------
1        0.5976         0.7211       0.0727       0.2253       0.3507      
2        0.4168         0.7459       0.0868       0.2513       0.3813      
3        0.3340         0.7729       0.1014       0.2902       0.4374      
4        0.2895         0.7611       0.1114       0.3118       0.4675      
5        0.2526         0.7977       0.1312       0.3634       0.5168      
6        0.2228         0.8145       0.1610       0.4092       0.5453      
7        0.1981         0.8083       0.1681       0.4209       0.5527      
8        0.1844         0.8127       0.1747       0.4412       0.5699      
9        0.1702         0.8132       0.1786       0.4333       0.5677      
10       0.1613         0.8007       0.1895       0.4509       0.5651      
11       0.1509         0.7961       0.1889       0.4453       0.5681      
12       0.1453         0.8060       0.2030       0.4512       0.5684      
13       0.1365         0.8013       0.2129       0.4698       0.5751      
14       0.1337         0.7998       0.2090       0.4809       0.5878      
15       0.1289         0.8035       0.2197       0.4718       0.5842      
16       0.1250         0.8002       0.2164       0.4814       0.5921      
17       0.1207         0.7868       0.2282       0.4862       0.5821      
18       0.1175         0.8054       0.2393       0.4857       0.5911      
19       0.1128         0.8051       0.2465       0.4995       0.5905      
20       0.1097         0.8012       0.2452       0.4923       0.5920      
21       0.1058         0.8122       0.2376       0.4847       0.5887      
22       0.1055         0.8024       0.2544       0.4896       0.5854      
23       0.1034         0.8039       0.2523       0.4906       0.5885      
24       0.0998         0.8008       0.2596       0.5018       0.5944      
25       0.0968         0.8081       0.2655       0.5013       0.5962      
26       0.0975         0.8184       0.2693       0.5133       0.6081      
27       0.0957         0.8210       0.2662       0.5020       0.5969      
28       0.0951         0.8188       0.2757       0.5142       0.6083      
29       0.0929         0.8111       0.2782       0.5058       0.6025      
30       0.0922         0.8274       0.2828       0.5208       0.6162      
31       0.0894         0.8269       0.2841       0.5232       0.6211      
32       0.0883         0.8111       0.2839       0.5180       0.5982      
33       0.0861         0.7992       0.2787       0.5115       0.6027      
34       0.0850         0.8213       0.2920       0.5295       0.6196      
35       0.0848         0.8172       0.2991       0.5250       0.6140      
36       0.0832         0.8169       0.2938       0.5140       0.6022      
37       0.0845         0.8245       0.2904       0.5204       0.6096      
38       0.0826         0.8186       0.2968       0.5298       0.6160      
39       0.0811         0.8159       0.2970       0.5282       0.6188      
40       0.0796         0.8218       0.3022       0.5234       0.6135      
41       0.0791         0.8207       0.3108       0.5358       0.6211      
