Model Training Results (LoRA) - 2025-10-19 00:25:04
================================================================================


LoRA R-GIN + DistMult Training History
============================================================

Best Validation AUC: 0.7185
Total Epochs Trained: 500
Early Stopping Best Score: 0.5209 (Hits@10 at epoch 463)

------------------------------------------------------------------------------------------
Epoch    Train Loss     Val AUC      Val H@1      Val H@5      Val H@10    
------------------------------------------------------------------------------------------
1        0.6860         0.5744       0.0854       0.1793       0.2400      
2        0.6740         0.5511       0.0398       0.1139       0.1641      
3        0.6455         0.5743       0.0465       0.1233       0.2125      
4        0.6237         0.5737       0.0569       0.1186       0.1727      
5        0.5953         0.6299       0.0626       0.1528       0.2277      
6        0.5726         0.6400       0.0835       0.1793       0.2590      
7        0.5556         0.6538       0.0655       0.1765       0.2609      
8        0.5485         0.6729       0.0598       0.1746       0.2694      
9        0.5415         0.6757       0.0712       0.1831       0.2732      
10       0.5378         0.6609       0.0797       0.1945       0.2827      
11       0.5236         0.6811       0.0806       0.1983       0.2837      
12       0.5193         0.6782       0.0854       0.2002       0.2884      
13       0.5129         0.6743       0.0835       0.1917       0.2799      
14       0.5149         0.6621       0.0721       0.1860       0.2875      
15       0.5103         0.6713       0.0750       0.2030       0.2941      
16       0.4955         0.6665       0.0787       0.1926       0.3027      
17       0.4974         0.6683       0.0740       0.1898       0.2970      
18       0.4815         0.6766       0.0731       0.2059       0.3121      
19       0.4751         0.6791       0.0712       0.2106       0.3093      
20       0.4846         0.6783       0.0712       0.2040       0.3055      
21       0.4627         0.6667       0.0683       0.1935       0.2960      
22       0.4715         0.6636       0.0655       0.2021       0.2970      
23       0.4636         0.6699       0.0636       0.1973       0.3112      
24       0.4589         0.6692       0.0531       0.1679       0.2590      
25       0.4491         0.6631       0.0626       0.1935       0.2951      
26       0.4506         0.6531       0.0626       0.1803       0.2751      
27       0.4465         0.6712       0.0721       0.1793       0.2742      
28       0.4376         0.6524       0.0750       0.1860       0.2732      
29       0.4341         0.6494       0.0617       0.1727       0.2799      
30       0.4359         0.6502       0.0655       0.1774       0.2685      
31       0.4398         0.6694       0.0664       0.1793       0.2770      
32       0.4316         0.6546       0.0750       0.1973       0.2941      
33       0.4173         0.6601       0.0636       0.1651       0.2704      
34       0.4173         0.6460       0.0569       0.1660       0.2590      
35       0.4247         0.6426       0.0579       0.1698       0.2837      
36       0.4130         0.6438       0.0569       0.1736       0.2694      
37       0.4075         0.6594       0.0598       0.2097       0.3046      
38       0.4083         0.6578       0.0636       0.1784       0.2837      
39       0.4061         0.6586       0.0626       0.1746       0.2770      
40       0.4094         0.6604       0.0617       0.1917       0.2884      
41       0.4018         0.6640       0.0655       0.2002       0.3159      
42       0.4057         0.6599       0.0797       0.2078       0.3065      
43       0.3923         0.6635       0.0636       0.1879       0.3055      
44       0.3878         0.6620       0.0645       0.1812       0.3017      
45       0.3887         0.6696       0.0816       0.2040       0.3017      
46       0.3856         0.6664       0.0740       0.1926       0.2903      
47       0.3893         0.6646       0.0664       0.2021       0.3254      
48       0.3959         0.6705       0.0664       0.1973       0.3008      
49       0.3980         0.6626       0.0607       0.1907       0.3055      
50       0.3848         0.6625       0.0550       0.1755       0.2846      
51       0.3772         0.6805       0.0560       0.2030       0.3131      
52       0.3746         0.6685       0.0617       0.1793       0.2884      
53       0.3648         0.6604       0.0636       0.1898       0.2922      
54       0.3682         0.6726       0.0617       0.1831       0.3102      
55       0.3810         0.6659       0.0655       0.1973       0.3121      
56       0.3745         0.6732       0.0626       0.2030       0.3140      
57       0.3697         0.6700       0.0588       0.1964       0.3226      
58       0.3593         0.6586       0.0693       0.1983       0.3245      
59       0.3604         0.6707       0.0626       0.2087       0.3245      
60       0.3597         0.6693       0.0617       0.2144       0.3188      
61       0.3551         0.6830       0.0750       0.2192       0.3311      
62       0.3541         0.6649       0.0645       0.1907       0.3131      
63       0.3489         0.6743       0.0655       0.2182       0.3330      
64       0.3510         0.6795       0.0607       0.2249       0.3586      
65       0.3548         0.6825       0.0655       0.2249       0.3577      
66       0.3406         0.6753       0.0588       0.2211       0.3454      
67       0.3362         0.6811       0.0769       0.2343       0.3425      
68       0.3340         0.6959       0.0645       0.2192       0.3539      
69       0.3369         0.6953       0.0588       0.2211       0.3596      
70       0.3301         0.6922       0.0702       0.2239       0.3577      
71       0.3339         0.6926       0.0778       0.2287       0.3681      
72       0.3195         0.6854       0.0531       0.2097       0.3624      
73       0.3222         0.6852       0.0626       0.2287       0.3719      
74       0.3261         0.6919       0.0712       0.2457       0.3890      
75       0.3145         0.6850       0.0825       0.2581       0.3767      
76       0.3176         0.6847       0.0712       0.2192       0.3529      
77       0.3018         0.6839       0.0731       0.2230       0.3748      
78       0.3132         0.7053       0.0825       0.2343       0.3719      
79       0.2956         0.6949       0.0683       0.2287       0.3691      
80       0.2978         0.6874       0.0939       0.2571       0.3833      
81       0.2928         0.6917       0.0882       0.2495       0.3757      
82       0.2947         0.6864       0.0844       0.2647       0.3956      
83       0.2918         0.6850       0.0569       0.2391       0.3776      
84       0.2771         0.6945       0.0797       0.2581       0.3899      
85       0.2793         0.6816       0.0769       0.2391       0.3700      
86       0.2672         0.6838       0.0882       0.2865       0.4013      
87       0.2694         0.6900       0.0769       0.2438       0.3805      
88       0.2610         0.6883       0.0806       0.2448       0.3833      
89       0.2707         0.6841       0.0731       0.2694       0.3994      
90       0.2706         0.6883       0.0731       0.2448       0.3975      
91       0.2682         0.6958       0.0769       0.2732       0.3975      
92       0.2541         0.7002       0.0769       0.2694       0.4127      
93       0.2522         0.6856       0.0835       0.2486       0.4146      
94       0.2448         0.7014       0.0750       0.2552       0.4061      
95       0.2493         0.6804       0.0787       0.2609       0.3833      
96       0.2403         0.6760       0.0740       0.2277       0.3710      
97       0.2467         0.6857       0.0664       0.2571       0.3719      
98       0.2420         0.6782       0.0778       0.2486       0.3975      
99       0.2531         0.6820       0.0607       0.2467       0.3928      
100      0.2395         0.6755       0.0693       0.2495       0.3994      
101      0.2378         0.6946       0.0674       0.2562       0.4061      
102      0.2367         0.6912       0.0588       0.2476       0.4023      
103      0.2473         0.6742       0.0835       0.2647       0.4023      
104      0.2393         0.6872       0.0721       0.2571       0.4089      
105      0.2436         0.6742       0.0797       0.2552       0.4061      
106      0.2388         0.6837       0.0825       0.2723       0.4089      
107      0.2441         0.6923       0.0674       0.2657       0.4118      
108      0.2421         0.7069       0.0825       0.2846       0.4146      
109      0.2300         0.6753       0.0844       0.2609       0.4118      
110      0.2230         0.6708       0.0806       0.2381       0.3918      
111      0.2297         0.6977       0.0844       0.2856       0.4250      
112      0.2310         0.6898       0.0721       0.2647       0.4146      
113      0.2174         0.6862       0.0607       0.2694       0.4184      
114      0.2179         0.6853       0.0693       0.2723       0.4260      
115      0.2197         0.6895       0.0693       0.2533       0.3975      
116      0.2391         0.6766       0.0844       0.2533       0.4042      
117      0.2286         0.6846       0.0825       0.2638       0.4203      
118      0.2278         0.6778       0.0702       0.2676       0.4127      
119      0.2180         0.6780       0.0712       0.2571       0.3966      
120      0.2314         0.6902       0.0683       0.2581       0.4137      
121      0.2319         0.6915       0.0863       0.2742       0.4099      
122      0.2247         0.6796       0.0816       0.2780       0.4004      
123      0.2191         0.6718       0.0664       0.2600       0.3899      
124      0.2186         0.6897       0.0920       0.2818       0.4013      
125      0.2210         0.6926       0.0825       0.2761       0.3985      
126      0.2118         0.6878       0.0740       0.2619       0.3937      
127      0.2166         0.6765       0.0797       0.2628       0.3899      
128      0.2037         0.6742       0.0598       0.2590       0.4032      
129      0.2140         0.6713       0.0759       0.2694       0.4042      
130      0.2170         0.6723       0.0740       0.2704       0.4023      
131      0.2286         0.6900       0.0911       0.2875       0.4175      
132      0.2196         0.6894       0.0835       0.2732       0.4165      
133      0.2095         0.6896       0.0901       0.2770       0.4250      
134      0.2063         0.6885       0.0911       0.2742       0.4203      
135      0.2004         0.6997       0.0863       0.2676       0.4203      
136      0.2061         0.6774       0.0920       0.2818       0.4222      
137      0.2108         0.6772       0.0854       0.2751       0.4184      
138      0.2107         0.6761       0.0731       0.2600       0.4127      
139      0.2227         0.7066       0.0901       0.2941       0.4089      
140      0.2073         0.6898       0.0769       0.2808       0.4412      
141      0.2085         0.6933       0.0844       0.2818       0.4269      
142      0.2056         0.6979       0.0797       0.2789       0.4279      
143      0.2059         0.6749       0.0835       0.2619       0.4089      
144      0.2032         0.6808       0.0816       0.2666       0.3994      
145      0.1992         0.6894       0.0759       0.2770       0.4231      
146      0.2064         0.6834       0.0873       0.2657       0.4042      
147      0.2060         0.6927       0.0702       0.2713       0.4146      
148      0.2087         0.6842       0.0844       0.2609       0.4108      
149      0.1995         0.6849       0.0683       0.2524       0.4137      
150      0.2027         0.6903       0.0911       0.2761       0.4194      
151      0.1969         0.6798       0.0787       0.2676       0.4203      
152      0.1933         0.6825       0.0863       0.2951       0.4146      
153      0.1963         0.6847       0.0892       0.2799       0.4194      
154      0.2030         0.6669       0.0787       0.2647       0.3985      
155      0.1976         0.6646       0.0987       0.2827       0.4004      
156      0.2027         0.6765       0.0759       0.2780       0.4269      
157      0.1987         0.6735       0.0787       0.2761       0.4099      
158      0.1951         0.6733       0.0930       0.2846       0.4127      
159      0.1969         0.6995       0.0939       0.3008       0.4298      
160      0.1967         0.6803       0.0911       0.2742       0.4108      
161      0.1952         0.6779       0.0863       0.2932       0.4241      
162      0.1936         0.6749       0.0939       0.3112       0.4260      
163      0.1871         0.6839       0.0987       0.2865       0.4118      
164      0.1863         0.6822       0.0901       0.3065       0.4241      
165      0.1896         0.6817       0.0977       0.3036       0.4250      
166      0.1892         0.6831       0.0949       0.2808       0.4241      
167      0.1951         0.6972       0.1053       0.2998       0.4184      
168      0.1997         0.6921       0.0920       0.2913       0.4194      
169      0.1896         0.6767       0.1015       0.2970       0.4326      
170      0.1853         0.6889       0.0892       0.2998       0.4250      
171      0.1863         0.6921       0.0930       0.3093       0.4374      
172      0.1999         0.6790       0.0873       0.2818       0.4156      
173      0.1849         0.6830       0.0977       0.2903       0.4175      
174      0.1967         0.6978       0.1025       0.3083       0.4402      
175      0.1889         0.6891       0.1053       0.3027       0.4393      
176      0.1851         0.6906       0.0968       0.3027       0.4288      
177      0.1908         0.6826       0.1034       0.3008       0.4355      
178      0.1809         0.6700       0.0977       0.2941       0.4156      
179      0.1937         0.6804       0.1139       0.3102       0.4288      
180      0.1825         0.6813       0.1053       0.3131       0.4307      
181      0.1888         0.6903       0.0949       0.3207       0.4336      
182      0.1848         0.6718       0.0987       0.3065       0.4269      
183      0.1848         0.6865       0.0977       0.3283       0.4345      
184      0.1845         0.6808       0.1072       0.2998       0.4307      
185      0.1759         0.6873       0.1034       0.2951       0.4317      
186      0.1757         0.6830       0.1186       0.3083       0.4250      
187      0.1779         0.6887       0.1176       0.3159       0.4469      
188      0.1855         0.6802       0.0968       0.3140       0.4345      
189      0.1849         0.6783       0.0854       0.3027       0.4222      
190      0.1794         0.6852       0.0920       0.3055       0.4203      
191      0.1757         0.6820       0.1063       0.3027       0.4184      
192      0.1847         0.6738       0.0996       0.3046       0.4288      
193      0.1818         0.6759       0.0977       0.3112       0.4279      
194      0.1739         0.6774       0.0911       0.2894       0.4269      
195      0.1803         0.6791       0.0939       0.3017       0.4317      
196      0.1789         0.6843       0.0987       0.2941       0.4250      
197      0.1910         0.6852       0.0987       0.3226       0.4431      
198      0.1794         0.6763       0.1044       0.3264       0.4412      
199      0.1775         0.6617       0.1120       0.3216       0.4450      
200      0.1862         0.6918       0.1025       0.3074       0.4421      
201      0.1780         0.6843       0.1082       0.3216       0.4374      
202      0.1730         0.6827       0.0882       0.3008       0.4355      
203      0.1722         0.6757       0.0949       0.3235       0.4374      
204      0.1752         0.6980       0.1101       0.3235       0.4431      
205      0.1788         0.6857       0.0863       0.3055       0.4440      
206      0.1725         0.6842       0.1101       0.3197       0.4355      
207      0.1678         0.6847       0.1167       0.3226       0.4402      
208      0.1661         0.6831       0.1053       0.3150       0.4440      
209      0.1738         0.6807       0.0806       0.3178       0.4326      
210      0.1693         0.6913       0.0996       0.3093       0.4526      
211      0.1781         0.6897       0.1034       0.3197       0.4488      
212      0.1751         0.6857       0.1139       0.3254       0.4488      
213      0.1676         0.6737       0.1214       0.3197       0.4383      
214      0.1869         0.6822       0.1148       0.3226       0.4507      
215      0.1743         0.6743       0.1034       0.3254       0.4402      
216      0.1638         0.6935       0.1025       0.3226       0.4431      
217      0.1827         0.6659       0.1044       0.3169       0.4355      
218      0.1663         0.6822       0.0996       0.3121       0.4345      
219      0.1775         0.6814       0.1157       0.3340       0.4440      
220      0.1666         0.6885       0.1129       0.3188       0.4402      
221      0.1699         0.6958       0.1034       0.3321       0.4364      
222      0.1662         0.6732       0.0996       0.3121       0.4478      
223      0.1681         0.6903       0.1082       0.3254       0.4545      
224      0.1690         0.6718       0.1091       0.3292       0.4355      
225      0.1640         0.6705       0.1072       0.3131       0.4355      
226      0.1626         0.6760       0.1110       0.3273       0.4288      
227      0.1685         0.6843       0.1186       0.3501       0.4545      
228      0.1630         0.6867       0.1157       0.3292       0.4554      
229      0.1657         0.6697       0.1243       0.3264       0.4497      
230      0.1671         0.6924       0.1101       0.3340       0.4639      
231      0.1571         0.6757       0.1101       0.3188       0.4526      
232      0.1638         0.6855       0.1139       0.3539       0.4545      
233      0.1518         0.6847       0.1034       0.3245       0.4564      
234      0.1631         0.6757       0.1157       0.3197       0.4374      
235      0.1674         0.6783       0.1224       0.3321       0.4573      
236      0.1574         0.6804       0.0996       0.3330       0.4564      
237      0.1579         0.7042       0.1252       0.3491       0.4649      
238      0.1608         0.6747       0.1015       0.3340       0.4554      
239      0.1559         0.6748       0.1091       0.3340       0.4602      
240      0.1591         0.6892       0.1053       0.3378       0.4696      
241      0.1562         0.6804       0.1157       0.3378       0.4696      
242      0.1544         0.6903       0.1120       0.3368       0.4583      
243      0.1532         0.6730       0.1120       0.3292       0.4450      
244      0.1595         0.6853       0.1290       0.3435       0.4526      
245      0.1516         0.6833       0.1252       0.3273       0.4554      
246      0.1582         0.6797       0.1072       0.3321       0.4497      
247      0.1536         0.6898       0.1319       0.3321       0.4564      
248      0.1616         0.6914       0.1148       0.3520       0.4649      
249      0.1567         0.6826       0.1129       0.3349       0.4554      
250      0.1558         0.6869       0.1176       0.3435       0.4630      
251      0.1525         0.6859       0.1157       0.3321       0.4507      
252      0.1548         0.6844       0.1290       0.3226       0.4554      
253      0.1557         0.6910       0.0996       0.3378       0.4734      
254      0.1586         0.6966       0.1243       0.3359       0.4620      
255      0.1582         0.6960       0.1214       0.3368       0.4620      
256      0.1582         0.6909       0.1205       0.3416       0.4763      
257      0.1515         0.6921       0.1243       0.3340       0.4611      
258      0.1481         0.6872       0.1044       0.3178       0.4355      
259      0.1630         0.6814       0.1110       0.3378       0.4554      
260      0.1475         0.6781       0.0987       0.3207       0.4507      
261      0.1607         0.6991       0.1120       0.3302       0.4573      
262      0.1580         0.6956       0.1167       0.3321       0.4564      
263      0.1461         0.6833       0.1015       0.3245       0.4545      
264      0.1571         0.6773       0.1243       0.3397       0.4639      
265      0.1503         0.6820       0.1309       0.3463       0.4611      
266      0.1535         0.6901       0.1082       0.3245       0.4706      
267      0.1435         0.6917       0.1034       0.3283       0.4535      
268      0.1515         0.6990       0.1176       0.3567       0.4867      
269      0.1540         0.6945       0.1176       0.3397       0.4658      
270      0.1640         0.6889       0.1072       0.3491       0.4801      
271      0.1450         0.6876       0.1167       0.3235       0.4497      
272      0.1472         0.6899       0.1195       0.3207       0.4592      
273      0.1490         0.6871       0.1110       0.3150       0.4488      
274      0.1479         0.6976       0.1157       0.3435       0.4820      
275      0.1460         0.6896       0.1148       0.3368       0.4649      
276      0.1531         0.7086       0.1300       0.3691       0.4791      
277      0.1491         0.6886       0.1063       0.3491       0.4620      
278      0.1510         0.6815       0.1157       0.3368       0.4639      
279      0.1429         0.6747       0.1157       0.3349       0.4658      
280      0.1391         0.6861       0.1101       0.3330       0.4620      
281      0.1503         0.7007       0.1262       0.3330       0.4734      
282      0.1533         0.6925       0.1205       0.3529       0.4706      
283      0.1504         0.6827       0.1224       0.3387       0.4469      
284      0.1405         0.6772       0.1110       0.3216       0.4421      
285      0.1345         0.6749       0.1139       0.3169       0.4421      
286      0.1487         0.6874       0.1205       0.3330       0.4677      
287      0.1436         0.6824       0.1082       0.3131       0.4412      
288      0.1414         0.6856       0.1063       0.3283       0.4545      
289      0.1434         0.6851       0.1072       0.3197       0.4592      
290      0.1507         0.6910       0.0996       0.3245       0.4488      
291      0.1509         0.6958       0.1110       0.3416       0.4649      
292      0.1445         0.6980       0.1214       0.3472       0.4753      
293      0.1431         0.6944       0.1101       0.3435       0.4602      
294      0.1425         0.6891       0.1195       0.3273       0.4545      
295      0.1536         0.6927       0.1186       0.3435       0.4677      
296      0.1415         0.6842       0.1129       0.3387       0.4611      
297      0.1480         0.6971       0.1044       0.3539       0.4801      
298      0.1423         0.6905       0.1385       0.3302       0.4554      
299      0.1439         0.6883       0.1243       0.3435       0.4677      
300      0.1362         0.6819       0.1243       0.3472       0.4696      
301      0.1443         0.6872       0.1243       0.3472       0.4602      
302      0.1418         0.6806       0.1290       0.3435       0.4573      
303      0.1405         0.6891       0.1205       0.3387       0.4687      
304      0.1382         0.6877       0.1167       0.3472       0.4497      
305      0.1400         0.6970       0.1148       0.3387       0.4696      
306      0.1390         0.6792       0.1082       0.3292       0.4611      
