Model Training Results (LoRA) - 2025-10-18 20:35:41
================================================================================


LoRA R-GIN + DistMult Training History
============================================================

Best Validation AUC: 0.8634
Total Epochs Trained: 35
Early Stopping Best Score: 0.7202 (Hits@10 at epoch 25)

------------------------------------------------------------------------------------------
Epoch    Train Loss     Val AUC      Val H@1      Val H@5      Val H@10    
------------------------------------------------------------------------------------------
1        0.5521         0.7627       0.0953       0.2393       0.3586      
2        0.3665         0.7853       0.1165       0.3077       0.4575      
3        0.2878         0.7963       0.1386       0.3772       0.5241      
4        0.2431         0.8110       0.1745       0.4178       0.5681      
5        0.2179         0.8109       0.1798       0.4372       0.5842      
6        0.2034         0.8266       0.1936       0.4624       0.6091      
7        0.1923         0.8416       0.2103       0.4919       0.6356      
8        0.1826         0.8389       0.2093       0.4824       0.6295      
9        0.1742         0.8348       0.2159       0.4942       0.6399      
10       0.1705         0.8321       0.2128       0.5030       0.6412      
11       0.1632         0.8354       0.2253       0.5089       0.6437      
12       0.1603         0.8450       0.2403       0.5308       0.6673      
13       0.1539         0.8507       0.2423       0.5461       0.6747      
14       0.1473         0.8400       0.2479       0.5432       0.6737      
15       0.1417         0.8451       0.2561       0.5564       0.6786      
16       0.1353         0.8448       0.2670       0.5615       0.6834      
17       0.1313         0.8559       0.2886       0.5822       0.7027      
18       0.1252         0.8617       0.2775       0.5913       0.6969      
19       0.1223         0.8449       0.2777       0.5756       0.6821      
20       0.1170         0.8514       0.3001       0.5926       0.7027      
21       0.1137         0.8363       0.2952       0.5852       0.6895      
22       0.1118         0.8618       0.3223       0.6132       0.7080      
23       0.1085         0.8634       0.3171       0.6121       0.7067      
24       0.1064         0.8500       0.3097       0.6086       0.7047      
25       0.1038         0.8615       0.3286       0.6193       0.7202      
26       0.1031         0.8564       0.3276       0.6096       0.7096      
27       0.1000         0.8608       0.3339       0.6205       0.7126      
28       0.0970         0.8632       0.3418       0.6254       0.7177      
29       0.0951         0.8527       0.3294       0.6107       0.7048      
30       0.0973         0.8561       0.3408       0.6150       0.7095      
31       0.0937         0.8516       0.3339       0.6170       0.7037      
32       0.0913         0.8520       0.3421       0.6088       0.6991      
33       0.0916         0.8628       0.3382       0.6185       0.7083      
34       0.0899         0.8616       0.3416       0.6261       0.7149      
35       0.0914         0.8546       0.3490       0.6195       0.7047      
