Model Training Results - 2025-10-18 20:47:01
================================================================================


R-GIN-film + Distmult Training History
============================================================

Best Validation AUC: 0.7165
Total Epochs Trained: 65
Early Stopping Best Score: 0.4383 (Hits@10 at epoch 55)

------------------------------------------------------------------------------------------
Epoch    Train Loss     Val AUC      Val H@1      Val H@5      Val H@10    
------------------------------------------------------------------------------------------
1        0.6783         0.4803       0.0228       0.0806       0.1328      
2        0.6547         0.5466       0.0323       0.0873       0.1319      
3        0.6335         0.6010       0.0674       0.1537       0.2296      
4        0.6115         0.5830       0.0579       0.1461       0.2154      
5        0.5775         0.6106       0.0550       0.1376       0.1992      
6        0.5508         0.5989       0.0664       0.1622       0.2486      
7        0.5579         0.6081       0.0541       0.1480       0.2324      
8        0.5253         0.6424       0.0531       0.1603       0.2353      
9        0.5033         0.6392       0.0474       0.1594       0.2438      
10       0.4756         0.6487       0.0465       0.1651       0.2533      
11       0.4544         0.6338       0.0455       0.1480       0.2571      
12       0.4257         0.6308       0.0484       0.1641       0.2571      
13       0.4139         0.6431       0.0389       0.1423       0.2381      
14       0.3841         0.6349       0.0436       0.1423       0.2391      
15       0.3723         0.6100       0.0332       0.1319       0.2192      
16       0.3579         0.6303       0.0332       0.1385       0.2419      
17       0.3407         0.6328       0.0417       0.1404       0.2419      
18       0.3306         0.6333       0.0370       0.1556       0.2476      
19       0.3189         0.6167       0.0455       0.1452       0.2524      
20       0.3058         0.6241       0.0503       0.1641       0.2438      
21       0.2840         0.6317       0.0522       0.1755       0.2657      
22       0.2781         0.6253       0.0569       0.1594       0.2742      
23       0.2622         0.6565       0.0569       0.1793       0.2818      
24       0.2514         0.6546       0.0512       0.1603       0.2941      
25       0.2516         0.6651       0.0512       0.1831       0.3046      
26       0.2389         0.7024       0.0560       0.1831       0.3112      
27       0.2399         0.6724       0.0598       0.1879       0.2951      
28       0.2281         0.6734       0.0560       0.1954       0.3159      
29       0.2300         0.6744       0.0550       0.2059       0.3254      
30       0.2215         0.6976       0.0598       0.2182       0.3482      
31       0.2124         0.6814       0.0588       0.2163       0.3416      
32       0.2148         0.6950       0.0636       0.2116       0.3520      
33       0.2154         0.6911       0.0655       0.2343       0.3472      
34       0.1980         0.6881       0.0712       0.2334       0.3681      
35       0.2038         0.6877       0.0588       0.2419       0.3586      
36       0.2012         0.6723       0.0835       0.2495       0.3539      
37       0.2019         0.6929       0.0702       0.2400       0.3672      
38       0.1921         0.7024       0.0844       0.2467       0.3681      
39       0.1803         0.7024       0.0892       0.2476       0.3738      
40       0.1824         0.6941       0.0797       0.2543       0.3880      
41       0.1775         0.7157       0.0787       0.2524       0.3985      
42       0.1748         0.7104       0.0930       0.2581       0.3757      
43       0.1849         0.7020       0.0787       0.2505       0.3909      
44       0.1705         0.7165       0.0816       0.2694       0.3852      
45       0.1752         0.7121       0.0949       0.2600       0.4051      
46       0.1728         0.7122       0.0816       0.2856       0.4099      
47       0.1773         0.6979       0.0844       0.2818       0.3994      
48       0.1650         0.6929       0.0750       0.2780       0.4241      
49       0.1600         0.7122       0.0873       0.2789       0.4108      
50       0.1600         0.6944       0.0892       0.2780       0.4089      
51       0.1636         0.7003       0.0797       0.2723       0.4061      
52       0.1565         0.7164       0.0645       0.2770       0.4070      
53       0.1632         0.7042       0.0892       0.2818       0.4184      
54       0.1641         0.7078       0.0882       0.2666       0.4042      
55       0.1623         0.6988       0.0882       0.2941       0.4383      
56       0.1539         0.7082       0.0968       0.2951       0.4194      
57       0.1585         0.6955       0.0835       0.2770       0.4089      
58       0.1570         0.7017       0.0844       0.2732       0.4108      
59       0.1451         0.6914       0.0712       0.2647       0.4184      
60       0.1532         0.7072       0.0806       0.2723       0.4023      
61       0.1476         0.7071       0.0797       0.2751       0.4137      
62       0.1509         0.6955       0.0949       0.2818       0.3966      
63       0.1498         0.6918       0.0892       0.2875       0.4222      
64       0.1613         0.7026       0.0835       0.2875       0.4184      
65       0.1473         0.7055       0.0854       0.2751       0.4298      
