Model Training Results - 2025-10-18 20:46:49
================================================================================


R-GIN_embed_rel + Distmult Training History
============================================================

Best Validation AUC: 0.9783
Total Epochs Trained: 40
Early Stopping Best Score: 0.9120 (Hits@10 at epoch 30)

------------------------------------------------------------------------------------------
Epoch    Train Loss     Val AUC      Val H@1      Val H@5      Val H@10    
------------------------------------------------------------------------------------------
1        0.4744         0.9505       0.3663       0.6911       0.8194      
2        0.2226         0.9655       0.4464       0.7480       0.8632      
3        0.1872         0.9676       0.4682       0.7678       0.8801      
4        0.1698         0.9726       0.4778       0.7792       0.8880      
5        0.1616         0.9720       0.4839       0.7891       0.8918      
6        0.1545         0.9730       0.4863       0.7900       0.8934      
7        0.1496         0.9743       0.4974       0.7966       0.8979      
8        0.1448         0.9755       0.4940       0.7992       0.8997      
9        0.1430         0.9746       0.5069       0.7977       0.8993      
10       0.1407         0.9749       0.4979       0.8011       0.9016      
11       0.1390         0.9751       0.5028       0.8044       0.9044      
12       0.1361         0.9755       0.5033       0.8090       0.9052      
13       0.1353         0.9750       0.5068       0.8117       0.9059      
14       0.1334         0.9758       0.5121       0.8115       0.9072      
15       0.1328         0.9767       0.5091       0.8106       0.9062      
16       0.1326         0.9750       0.5202       0.8124       0.9073      
17       0.1306         0.9757       0.5153       0.8127       0.9075      
18       0.1294         0.9761       0.5166       0.8154       0.9081      
19       0.1294         0.9774       0.5244       0.8140       0.9081      
20       0.1285         0.9778       0.5234       0.8151       0.9113      
21       0.1268         0.9764       0.5079       0.8129       0.9082      
22       0.1264         0.9772       0.5226       0.8197       0.9114      
23       0.1256         0.9767       0.5166       0.8143       0.9101      
24       0.1244         0.9767       0.5166       0.8143       0.9107      
25       0.1247         0.9770       0.5153       0.8164       0.9116      
26       0.1242         0.9770       0.5132       0.8144       0.9081      
27       0.1241         0.9769       0.5205       0.8154       0.9088      
28       0.1230         0.9752       0.5104       0.8107       0.9059      
29       0.1227         0.9764       0.5200       0.8164       0.9099      
30       0.1235         0.9780       0.5247       0.8210       0.9120      
31       0.1221         0.9783       0.5265       0.8168       0.9092      
32       0.1215         0.9760       0.5200       0.8140       0.9060      
33       0.1209         0.9761       0.5295       0.8179       0.9073      
34       0.1207         0.9774       0.5242       0.8178       0.9096      
35       0.1204         0.9779       0.5232       0.8187       0.9110      
36       0.1194         0.9777       0.5219       0.8184       0.9108      
37       0.1187         0.9764       0.5221       0.8173       0.9108      
38       0.1193         0.9770       0.5150       0.8175       0.9106      
39       0.1187         0.9778       0.5235       0.8163       0.9104      
40       0.1187         0.9776       0.5210       0.8157       0.9097      
