Model Training Results - 2025-10-18 19:52:30
================================================================================


R-GIN_embed_rel + Distmult Training History
============================================================

Best Validation AUC: 0.8067
Total Epochs Trained: 46
Early Stopping Best Score: 0.6045 (Hits@10 at epoch 36)

------------------------------------------------------------------------------------------
Epoch    Train Loss     Val AUC      Val H@1      Val H@5      Val H@10    
------------------------------------------------------------------------------------------
1        0.5994         0.7003       0.0709       0.2142       0.3209      
2        0.3784         0.7551       0.1056       0.2905       0.4278      
3        0.2793         0.7546       0.1124       0.3153       0.4504      
4        0.2303         0.7616       0.1350       0.3495       0.4931      
5        0.2010         0.7628       0.1496       0.3812       0.5120      
6        0.1755         0.7547       0.1691       0.4026       0.5231      
7        0.1615         0.7617       0.1763       0.4024       0.5196      
8        0.1473         0.7585       0.1870       0.4338       0.5402      
9        0.1349         0.7586       0.2037       0.4433       0.5445      
10       0.1269         0.7613       0.2208       0.4588       0.5592      
11       0.1213         0.7767       0.2309       0.4674       0.5613      
12       0.1167         0.7777       0.2480       0.4835       0.5803      
13       0.1112         0.7756       0.2497       0.4740       0.5588      
14       0.1073         0.7615       0.2513       0.4812       0.5577      
15       0.1068         0.7690       0.2605       0.4891       0.5653      
16       0.1026         0.7767       0.2507       0.4804       0.5616      
17       0.0995         0.7748       0.2726       0.4883       0.5649      
18       0.0953         0.7705       0.2746       0.4870       0.5654      
19       0.0923         0.7941       0.2726       0.5005       0.5822      
20       0.0942         0.7676       0.2757       0.4840       0.5626      
21       0.0893         0.7774       0.2876       0.4896       0.5684      
22       0.0878         0.7839       0.2894       0.4984       0.5822      
23       0.0852         0.7650       0.2947       0.4977       0.5733      
24       0.0835         0.7572       0.2864       0.4944       0.5684      
25       0.0844         0.7700       0.2970       0.4921       0.5676      
26       0.0810         0.7724       0.2968       0.4975       0.5758      
27       0.0815         0.7837       0.3090       0.4939       0.5760      
28       0.0789         0.7811       0.3078       0.4990       0.5808      
29       0.0789         0.7967       0.3126       0.5059       0.5834      
30       0.0784         0.7675       0.3134       0.5020       0.5719      
31       0.0751         0.7793       0.3148       0.5054       0.5770      
32       0.0774         0.7958       0.3243       0.5160       0.5831      
33       0.0743         0.7887       0.3202       0.5087       0.5859      
34       0.0746         0.7926       0.3200       0.5129       0.5911      
35       0.0714         0.8041       0.3345       0.5221       0.5974      
36       0.0697         0.7955       0.3365       0.5226       0.6045      
37       0.0678         0.7912       0.3278       0.5092       0.5827      
38       0.0711         0.7978       0.3192       0.5101       0.5793      
39       0.0688         0.8067       0.3247       0.5181       0.5953      
40       0.0680         0.7974       0.3365       0.5213       0.5941      
41       0.0661         0.7912       0.3319       0.5280       0.5989      
42       0.0675         0.7933       0.3380       0.5242       0.5934      
43       0.0651         0.8021       0.3395       0.5099       0.5850      
44       0.0651         0.7968       0.3433       0.5166       0.5821      
45       0.0650         0.7990       0.3306       0.5216       0.5951      
46       0.0649         0.7937       0.3514       0.5150       0.5893      
