Cora Results - 2025-10-19 00:19:50
================================================================================

Relation-LoRA GIN + DistMult Training History
============================================================

Best Validation AUC: 0.7038
Total Epochs Trained: 300
Early Stopping Best Score: 0.3994 (epoch 257)

------------------------------------------------------------------------------------------
Epoch    Train Loss     Val AUC      Val H@1      Val H@5      Val H@10    
------------------------------------------------------------------------------------------
1        0.6891         0.5836       0.0920       0.1898       0.2704      
2        0.6795         0.5371       0.0474       0.1195       0.1765      
3        0.6495         0.5775       0.0389       0.1034       0.1641      
4        0.6033         0.6473       0.0607       0.1651       0.2600      
5        0.5533         0.6568       0.0750       0.1898       0.2846      
6        0.5380         0.6751       0.0769       0.2049       0.2856      
7        0.5369         0.6649       0.0617       0.2049       0.3083      
8        0.5205         0.6848       0.0731       0.2040       0.2979      
9        0.5148         0.6909       0.0569       0.1945       0.3027      
10       0.5054         0.6926       0.0579       0.2002       0.2970      
11       0.5021         0.6871       0.0863       0.2068       0.2827      
12       0.4972         0.6781       0.0607       0.1898       0.2941      
13       0.4954         0.7038       0.0693       0.2011       0.3027      
14       0.4904         0.6832       0.0683       0.1964       0.2894      
15       0.4959         0.6761       0.0702       0.2002       0.3207      
16       0.4934         0.6854       0.0787       0.2002       0.3188      
17       0.4825         0.6912       0.0655       0.2078       0.3008      
18       0.4826         0.6890       0.0806       0.2125       0.3226      
19       0.4717         0.6848       0.0712       0.2220       0.3159      
20       0.4657         0.6789       0.0550       0.1717       0.2932      
21       0.4553         0.6810       0.0655       0.1812       0.2970      
22       0.4488         0.6762       0.0560       0.1926       0.2789      
23       0.4463         0.6706       0.0493       0.1499       0.2590      
24       0.4480         0.6609       0.0474       0.1546       0.2448      
25       0.4343         0.6720       0.0588       0.1755       0.2751      
26       0.4188         0.6598       0.0626       0.1660       0.2704      
27       0.4346         0.6498       0.0389       0.1528       0.2552      
28       0.4293         0.6672       0.0531       0.1670       0.2676      
29       0.4191         0.6551       0.0493       0.1584       0.2571      
30       0.4172         0.6452       0.0579       0.1812       0.2742      
31       0.4085         0.6551       0.0626       0.1717       0.2875      
32       0.4058         0.6561       0.0674       0.1945       0.2932      
33       0.4044         0.6507       0.0569       0.1803       0.2884      
34       0.4268         0.6595       0.0579       0.1831       0.2837      
35       0.4055         0.6571       0.0598       0.1784       0.2685      
36       0.3959         0.6413       0.0484       0.1603       0.2742      
37       0.4005         0.6683       0.0550       0.1603       0.2657      
38       0.3963         0.6723       0.0522       0.1603       0.2789      
39       0.4007         0.6522       0.0598       0.1860       0.2837      
40       0.3914         0.6622       0.0531       0.1784       0.2846      
41       0.3865         0.6757       0.0598       0.1879       0.2903      
42       0.3849         0.6625       0.0617       0.1841       0.2932      
43       0.3836         0.6606       0.0493       0.1622       0.2875      
44       0.3939         0.6687       0.0560       0.1641       0.2713      
45       0.3804         0.6623       0.0569       0.1831       0.2998      
46       0.3779         0.6575       0.0607       0.1822       0.2865      
47       0.3828         0.6657       0.0522       0.1812       0.2932      
48       0.3716         0.6644       0.0569       0.1717       0.2713      
49       0.3767         0.6761       0.0579       0.1784       0.2827      
50       0.3675         0.6783       0.0598       0.1727       0.2875      
51       0.3669         0.6704       0.0550       0.1717       0.2932      
52       0.3502         0.6655       0.0560       0.1831       0.2932      
53       0.3636         0.6644       0.0607       0.1698       0.3102      
54       0.3636         0.6715       0.0436       0.1822       0.2808      
55       0.3535         0.6748       0.0503       0.1765       0.2932      
56       0.3508         0.6700       0.0484       0.1812       0.2865      
57       0.3588         0.6805       0.0560       0.1708       0.2941      
58       0.3530         0.6725       0.0541       0.1746       0.2865      
59       0.3470         0.6737       0.0636       0.1784       0.3065      
60       0.3455         0.6662       0.0522       0.1755       0.2827      
61       0.3349         0.6669       0.0607       0.1793       0.2903      
62       0.3328         0.6764       0.0664       0.1841       0.2865      
63       0.3383         0.6619       0.0664       0.1774       0.2837      
64       0.3414         0.6747       0.0626       0.1755       0.2913      
65       0.3489         0.6756       0.0645       0.1983       0.2894      
66       0.3446         0.6666       0.0512       0.1774       0.2818      
67       0.3321         0.6580       0.0550       0.1746       0.2884      
68       0.3359         0.6821       0.0541       0.1983       0.3017      
69       0.3343         0.6575       0.0645       0.1898       0.2913      
70       0.3272         0.6643       0.0607       0.1822       0.2903      
71       0.3376         0.6647       0.0560       0.1670       0.2894      
72       0.3327         0.6760       0.0503       0.1888       0.3065      
73       0.3443         0.6804       0.0541       0.1812       0.2922      
74       0.3355         0.6811       0.0541       0.2173       0.3207      
75       0.3208         0.6647       0.0503       0.1879       0.3036      
76       0.3259         0.6614       0.0531       0.1841       0.3008      
77       0.3282         0.6721       0.0636       0.1812       0.2932      
78       0.3250         0.6743       0.0541       0.1793       0.3046      
79       0.3250         0.6720       0.0398       0.1822       0.2856      
80       0.3157         0.6616       0.0522       0.1784       0.3027      
81       0.3139         0.6702       0.0541       0.2040       0.3102      
82       0.3222         0.6654       0.0569       0.1898       0.3017      
83       0.3098         0.6542       0.0380       0.1717       0.2894      
84       0.3165         0.6640       0.0408       0.1907       0.3140      
85       0.3093         0.6514       0.0389       0.1765       0.3046      
86       0.3130         0.6558       0.0493       0.1831       0.2951      
87       0.3075         0.6628       0.0522       0.1860       0.3046      
88       0.3095         0.6629       0.0484       0.1774       0.2941      
89       0.3096         0.6491       0.0484       0.1784       0.3055      
90       0.3046         0.6529       0.0503       0.1689       0.2970      
91       0.3014         0.6458       0.0446       0.1746       0.2913      
92       0.3068         0.6578       0.0569       0.1907       0.2989      
93       0.3119         0.6382       0.0503       0.1784       0.2941      
94       0.3065         0.6604       0.0569       0.1992       0.3102      
95       0.3123         0.6503       0.0531       0.1888       0.3046      
96       0.3105         0.6515       0.0493       0.1793       0.2960      
97       0.3036         0.6433       0.0493       0.1926       0.3027      
98       0.2835         0.6497       0.0607       0.1907       0.2989      
99       0.2945         0.6520       0.0531       0.2125       0.3027      
100      0.2850         0.6467       0.0588       0.2030       0.3112      
101      0.2977         0.6404       0.0512       0.1907       0.2827      
102      0.2975         0.6526       0.0645       0.1983       0.2998      
103      0.2939         0.6297       0.0522       0.1850       0.2894      
104      0.2997         0.6477       0.0512       0.1831       0.2780      
105      0.2927         0.6272       0.0503       0.1822       0.2789      
106      0.2855         0.6270       0.0626       0.1945       0.2979      
107      0.2852         0.6333       0.0569       0.1879       0.2960      
108      0.2792         0.6440       0.0522       0.1831       0.2865      
109      0.2845         0.6459       0.0569       0.1850       0.3027      
110      0.2739         0.6288       0.0493       0.1755       0.2903      
111      0.2782         0.6457       0.0512       0.1983       0.3083      
112      0.2822         0.6448       0.0512       0.1983       0.3036      
113      0.2725         0.6422       0.0493       0.2078       0.3102      
114      0.2861         0.6379       0.0560       0.2011       0.3159      
115      0.2777         0.6460       0.0579       0.2078       0.3093      
116      0.2780         0.6416       0.0598       0.1898       0.3235      
117      0.2767         0.6369       0.0598       0.1935       0.3083      
118      0.2819         0.6430       0.0598       0.2068       0.3273      
119      0.2803         0.6350       0.0712       0.2030       0.3178      
120      0.2713         0.6321       0.0588       0.1983       0.3178      
121      0.2748         0.6497       0.0588       0.2068       0.3226      
122      0.2714         0.6364       0.0550       0.1898       0.3245      
123      0.2753         0.6408       0.0579       0.1973       0.3207      
124      0.2780         0.6523       0.0683       0.1860       0.3159      
125      0.2661         0.6450       0.0512       0.1926       0.3112      
126      0.2689         0.6377       0.0579       0.2116       0.3121      
127      0.2740         0.6453       0.0607       0.1926       0.3065      
128      0.2779         0.6437       0.0626       0.2201       0.3378      
129      0.2632         0.6486       0.0531       0.2106       0.3283      
130      0.2629         0.6383       0.0664       0.2182       0.3292      
131      0.2708         0.6583       0.0674       0.2021       0.3387      
132      0.2683         0.6512       0.0617       0.2049       0.3349      
133      0.2637         0.6382       0.0588       0.1983       0.3264      
134      0.2741         0.6466       0.0579       0.2087       0.3321      
135      0.2676         0.6467       0.0560       0.2192       0.3463      
136      0.2688         0.6437       0.0455       0.1945       0.3207      
137      0.2680         0.6404       0.0446       0.1945       0.3245      
