FB15K-237 Results - 2025-10-18 23:34:35
================================================================================

Relation-LoRA GIN + DistMult Training History
============================================================

Best Validation AUC: 0.9811
Total Epochs Trained: 50
Early Stopping Best Score: 0.9256 (epoch 40)

------------------------------------------------------------------------------------------
Epoch    Train Loss     Val AUC      Val H@1      Val H@5      Val H@10    
------------------------------------------------------------------------------------------
1        0.4180         0.9579       0.3862       0.6998       0.8306      
2        0.2119         0.9672       0.4497       0.7530       0.8704      
3        0.1810         0.9707       0.4728       0.7743       0.8881      
4        0.1662         0.9735       0.4849       0.7857       0.8961      
5        0.1572         0.9755       0.4930       0.7982       0.9017      
6        0.1491         0.9747       0.5104       0.8065       0.9062      
7        0.1458         0.9762       0.5064       0.8070       0.9102      
8        0.1423         0.9775       0.5108       0.8128       0.9095      
9        0.1387         0.9782       0.5164       0.8144       0.9106      
10       0.1370         0.9775       0.5286       0.8165       0.9124      
11       0.1355         0.9777       0.5138       0.8139       0.9086      
12       0.1350         0.9785       0.5265       0.8213       0.9138      
13       0.1319         0.9792       0.5323       0.8223       0.9149      
14       0.1304         0.9779       0.5285       0.8197       0.9160      
15       0.1290         0.9789       0.5261       0.8228       0.9161      
16       0.1283         0.9778       0.5285       0.8221       0.9165      
17       0.1276         0.9791       0.5355       0.8256       0.9156      
18       0.1267         0.9807       0.5393       0.8251       0.9157      
19       0.1258         0.9795       0.5326       0.8298       0.9180      
20       0.1248         0.9780       0.5375       0.8303       0.9190      
21       0.1243         0.9789       0.5364       0.8296       0.9207      
22       0.1244         0.9795       0.5369       0.8302       0.9192      
23       0.1302         0.9772       0.5229       0.8236       0.9162      
24       0.1235         0.9788       0.5373       0.8311       0.9190      
25       0.1223         0.9798       0.5445       0.8285       0.9197      
26       0.1205         0.9781       0.5445       0.8318       0.9210      
27       0.1207         0.9798       0.5378       0.8352       0.9205      
28       0.1205         0.9789       0.5425       0.8339       0.9200      
29       0.1198         0.9796       0.5419       0.8337       0.9202      
30       0.1174         0.9801       0.5478       0.8318       0.9201      
31       0.1179         0.9806       0.5478       0.8350       0.9193      
32       0.1183         0.9804       0.5453       0.8353       0.9229      
33       0.1176         0.9798       0.5498       0.8366       0.9223      
34       0.1177         0.9798       0.5381       0.8381       0.9228      
35       0.1162         0.9802       0.5415       0.8343       0.9207      
36       0.1164         0.9811       0.5455       0.8346       0.9217      
37       0.1214         0.9810       0.5500       0.8393       0.9242      
38       0.1162         0.9802       0.5507       0.8386       0.9230      
39       0.1157         0.9802       0.5514       0.8372       0.9232      
40       0.1149         0.9802       0.5499       0.8408       0.9256      
41       0.1157         0.9804       0.5518       0.8385       0.9229      
42       0.1152         0.9790       0.5446       0.8367       0.9209      
43       0.1144         0.9802       0.5562       0.8399       0.9242      
44       0.1153         0.9806       0.5542       0.8412       0.9230      
45       0.1146         0.9798       0.5508       0.8389       0.9233      
46       0.1144         0.9808       0.5516       0.8371       0.9243      
47       0.1138         0.9790       0.5452       0.8377       0.9236      
48       0.1141         0.9797       0.5463       0.8376       0.9242      
49       0.1136         0.9799       0.5455       0.8388       0.9236      
50       0.1137         0.9808       0.5550       0.8412       0.9226      
