WN18RR Results - 2025-10-18 22:46:53
================================================================================

Relation-LoRA GIN + DistMult Training History
============================================================

Best Validation AUC: 0.8827
Total Epochs Trained: 54
Early Stopping Best Score: 0.7581 (epoch 44)

------------------------------------------------------------------------------------------
Epoch    Train Loss     Val AUC      Val H@1      Val H@5      Val H@10    
------------------------------------------------------------------------------------------
1        0.6132         0.7532       0.0806       0.2207       0.3308      
2        0.4376         0.7878       0.1261       0.3120       0.4530      
3        0.3482         0.8070       0.1276       0.3273       0.4896      
4        0.3067         0.8171       0.1416       0.3533       0.5211      
5        0.2799         0.8185       0.1467       0.3729       0.5463      
6        0.2540         0.8224       0.1577       0.4092       0.5697      
7        0.2273         0.8280       0.1709       0.4288       0.5929      
8        0.2112         0.8343       0.1831       0.4593       0.6195      
9        0.1901         0.8356       0.1984       0.4822       0.6315      
10       0.1812         0.8369       0.2004       0.5005       0.6452      
11       0.1688         0.8440       0.2205       0.5091       0.6518      
12       0.1551         0.8439       0.2485       0.5442       0.6679      
13       0.1461         0.8590       0.2746       0.5682       0.6885      
14       0.1404         0.8593       0.2914       0.5816       0.6913      
15       0.1315         0.8599       0.2896       0.5888       0.7007      
16       0.1268         0.8524       0.2932       0.5887       0.6950      
17       0.1209         0.8614       0.3120       0.6106       0.7098      
18       0.1155         0.8606       0.3052       0.6045       0.7091      
19       0.1118         0.8703       0.3255       0.6167       0.7215      
20       0.1104         0.8640       0.3225       0.6190       0.7198      
21       0.1058         0.8692       0.3301       0.6218       0.7250      
22       0.1070         0.8680       0.3395       0.6330       0.7294      
23       0.1021         0.8698       0.3370       0.6328       0.7278      
24       0.1019         0.8718       0.3443       0.6376       0.7324      
25       0.0998         0.8689       0.3504       0.6439       0.7358      
26       0.0999         0.8723       0.3533       0.6480       0.7352      
27       0.0955         0.8713       0.3598       0.6513       0.7413      
28       0.0955         0.8686       0.3584       0.6430       0.7315      
29       0.0950         0.8653       0.3604       0.6424       0.7345      
30       0.0925         0.8717       0.3644       0.6564       0.7413      
31       0.0945         0.8781       0.3718       0.6552       0.7437      
32       0.0906         0.8734       0.3741       0.6496       0.7338      
33       0.0916         0.8676       0.3555       0.6454       0.7319      
34       0.0899         0.8720       0.3739       0.6595       0.7423      
35       0.0902         0.8736       0.3698       0.6564       0.7439      
36       0.0859         0.8738       0.3706       0.6612       0.7421      
37       0.0853         0.8747       0.3837       0.6630       0.7396      
38       0.0852         0.8827       0.3815       0.6648       0.7485      
39       0.0828         0.8778       0.3828       0.6640       0.7414      
40       0.0823         0.8778       0.3764       0.6714       0.7464      
41       0.0825         0.8788       0.3843       0.6704       0.7495      
42       0.0824         0.8724       0.3804       0.6592       0.7423      
43       0.0807         0.8683       0.3782       0.6543       0.7362      
44       0.0839         0.8804       0.3957       0.6767       0.7581      
45       0.0792         0.8781       0.3914       0.6681       0.7456      
46       0.0797         0.8755       0.3810       0.6625       0.7396      
47       0.0781         0.8737       0.3804       0.6613       0.7421      
48       0.0792         0.8739       0.3954       0.6666       0.7469      
49       0.0774         0.8823       0.3922       0.6679       0.7510      
50       0.0766         0.8758       0.3820       0.6664       0.7493      
51       0.0755         0.8742       0.3942       0.6674       0.7487      
52       0.0758         0.8778       0.3963       0.6716       0.7487      
53       0.0768         0.8803       0.3975       0.6663       0.7449      
54       0.0757         0.8796       0.4056       0.6721       0.7475      
