Model Training Results - 2025-10-18 23:51:38
================================================================================


GIN Training History
============================================================

Best Validation AUC: 0.8120
Total Epochs Trained: 45
Early Stopping Best Score: 0.5361 (Hits@10 at epoch 35)

------------------------------------------------------------------------------------------
Epoch    Train Loss     Val AUC      Val H@1      Val H@5      Val H@10    
------------------------------------------------------------------------------------------
1        0.7250         0.5149       0.0308       0.0821       0.1333      
2        0.6638         0.5875       0.0583       0.1395       0.2158      
3        0.6385         0.6356       0.0712       0.1902       0.2875      
4        0.5926         0.6844       0.0802       0.2154       0.3273      
5        0.5624         0.7099       0.0849       0.2296       0.3468      
6        0.5516         0.7264       0.0949       0.2623       0.3752      
7        0.5476         0.7500       0.0939       0.2666       0.4122      
8        0.5300         0.7439       0.0892       0.2766       0.4099      
9        0.5203         0.7449       0.1020       0.2633       0.4065      
10       0.5147         0.7606       0.0977       0.2865       0.4341      
11       0.5135         0.7683       0.0991       0.2813       0.4269      
12       0.4999         0.7479       0.0968       0.2832       0.4241      
13       0.4994         0.7746       0.1077       0.2936       0.4421      
14       0.4946         0.7511       0.0916       0.2955       0.4203      
15       0.4923         0.7751       0.1120       0.3074       0.4620      
16       0.4916         0.7821       0.1129       0.3060       0.4545      
17       0.4876         0.7844       0.1134       0.3069       0.4635      
18       0.4802         0.7709       0.1153       0.3373       0.4806      
19       0.4817         0.7626       0.1001       0.3041       0.4549      
20       0.4806         0.7795       0.1181       0.3335       0.4929      
21       0.4751         0.7962       0.1243       0.3306       0.4986      
22       0.4747         0.7856       0.1058       0.3221       0.4725      
23       0.4749         0.7824       0.1176       0.3340       0.4938      
24       0.4673         0.7806       0.1048       0.3287       0.4981      
25       0.4679         0.7804       0.1091       0.3235       0.4924      
26       0.4701         0.7836       0.1219       0.3468       0.5209      
27       0.4665         0.7707       0.1110       0.3287       0.4791      
28       0.4695         0.7891       0.1124       0.3430       0.5081      
29       0.4628         0.7901       0.1238       0.3420       0.5028      
30       0.4610         0.7942       0.1229       0.3487       0.5033      
31       0.4612         0.8030       0.1257       0.3529       0.5052      
32       0.4609         0.7987       0.1086       0.3563       0.5090      
33       0.4601         0.8087       0.1181       0.3667       0.5266      
34       0.4530         0.8038       0.1233       0.3586       0.5342      
35       0.4497         0.8049       0.1361       0.3861       0.5361      
36       0.4556         0.8120       0.1333       0.3695       0.5299      
37       0.4520         0.8067       0.1229       0.3691       0.5176      
38       0.4536         0.7849       0.1243       0.3534       0.5119      
39       0.4522         0.7846       0.1271       0.3653       0.5095      
40       0.4516         0.7863       0.1262       0.3596       0.5128      
41       0.4446         0.7859       0.1205       0.3472       0.5119      
42       0.4403         0.7786       0.1167       0.3449       0.5232      
43       0.4442         0.7747       0.1262       0.3610       0.5266      
44       0.4422         0.7971       0.1395       0.3857       0.5261      
45       0.4476         0.7839       0.1357       0.3667       0.5176      
