Model Training Results - 2025-10-18 23:51:29
================================================================================


GIN Training History
============================================================

Best Validation AUC: 0.8895
Total Epochs Trained: 52
Early Stopping Best Score: 0.7098 (Hits@10 at epoch 42)

------------------------------------------------------------------------------------------
Epoch    Train Loss     Val AUC      Val H@1      Val H@5      Val H@10    
------------------------------------------------------------------------------------------
1        6.6360         0.8219       0.1707       0.3922       0.5254      
2        0.5087         0.8559       0.1970       0.4456       0.5922      
3        0.4827         0.8653       0.1893       0.4503       0.6027      
4        0.4745         0.8759       0.2269       0.4996       0.6509      
5        0.4681         0.8775       0.2217       0.4935       0.6534      
6        0.4636         0.8738       0.2056       0.4895       0.6464      
7        0.4609         0.8828       0.2163       0.5027       0.6642      
8        0.4591         0.8821       0.2392       0.5264       0.6749      
9        0.4576         0.8854       0.2284       0.5171       0.6735      
10       0.4553         0.8832       0.2244       0.5176       0.6742      
11       0.4538         0.8819       0.2146       0.5162       0.6727      
12       0.4531         0.8828       0.2243       0.5288       0.6825      
13       0.4508         0.8811       0.2251       0.5243       0.6769      
14       0.4502         0.8879       0.2307       0.5313       0.6859      
15       0.4487         0.8870       0.2235       0.5296       0.6888      
16       0.4486         0.8844       0.2316       0.5273       0.6839      
17       0.4473         0.8871       0.2370       0.5403       0.6925      
18       0.4464         0.8876       0.2382       0.5417       0.6899      
19       0.4463         0.8799       0.2229       0.5288       0.6816      
20       0.4506         0.8807       0.2324       0.5374       0.6873      
21       0.4462         0.8828       0.2259       0.5286       0.6849      
22       0.4444         0.8816       0.2286       0.5283       0.6845      
23       0.4444         0.8793       0.2218       0.5297       0.6841      
24       0.4445         0.8757       0.2155       0.5282       0.6817      
25       0.4441         0.8850       0.2291       0.5439       0.6976      
26       0.4424         0.8782       0.2237       0.5334       0.6883      
27       0.4421         0.8886       0.2348       0.5494       0.6995      
28       0.4421         0.8895       0.2429       0.5508       0.7038      
29       0.4413         0.8798       0.2186       0.5385       0.6916      
30       0.4414         0.8881       0.2393       0.5519       0.7032      
31       0.4401         0.8873       0.2339       0.5433       0.6952      
32       0.4413         0.8843       0.2366       0.5517       0.7035      
33       0.4461         0.8841       0.2344       0.5451       0.6940      
34       0.4418         0.8892       0.2363       0.5583       0.7067      
35       0.4396         0.8889       0.2383       0.5538       0.7050      
36       0.4404         0.8871       0.2360       0.5472       0.6989      
37       0.4397         0.8763       0.2346       0.5480       0.6959      
38       0.4402         0.8826       0.2308       0.5448       0.6990      
39       0.4397         0.8806       0.2127       0.5391       0.6988      
40       0.4386         0.8834       0.2295       0.5442       0.6974      
41       0.4395         0.8759       0.2183       0.5405       0.6926      
42       0.4388         0.8863       0.2396       0.5613       0.7098      
43       0.4384         0.8818       0.2275       0.5493       0.6992      
44       0.4380         0.8807       0.2397       0.5563       0.7055      
45       0.4375         0.8778       0.2311       0.5451       0.6997      
46       0.4380         0.8817       0.2242       0.5502       0.7027      
47       0.4378         0.8789       0.2316       0.5504       0.7021      
48       0.4378         0.8826       0.2330       0.5548       0.7070      
49       0.4370         0.8798       0.2278       0.5491       0.7007      
50       0.4362         0.8816       0.2345       0.5518       0.7045      
51       0.4378         0.8795       0.2260       0.5540       0.7064      
52       0.4372         0.8783       0.2384       0.5540       0.7059      
