Model Training Results - 2025-10-18 23:41:01
================================================================================


GIN Training History
============================================================

Best Validation AUC: 0.8260
Total Epochs Trained: 99
Early Stopping Best Score: 0.7154 (Hits@10 at epoch 89)

------------------------------------------------------------------------------------------
Epoch    Train Loss     Val AUC      Val H@1      Val H@5      Val H@10    
------------------------------------------------------------------------------------------
1        0.5993         0.7188       0.0888       0.2451       0.3662      
2        0.5162         0.7435       0.1068       0.2856       0.4125      
3        0.4925         0.7568       0.1191       0.3235       0.4637      
4        0.4785         0.7652       0.1223       0.3429       0.4923      
5        0.4632         0.7709       0.1419       0.3688       0.5188      
6        0.4574         0.7668       0.1384       0.3830       0.5330      
7        0.4507         0.7775       0.1549       0.4080       0.5541      
8        0.4468         0.7818       0.1673       0.4156       0.5611      
9        0.4425         0.7843       0.1828       0.4384       0.5715      
10       0.4379         0.7853       0.1849       0.4544       0.5956      
11       0.4352         0.7981       0.2002       0.4726       0.6150      
12       0.4325         0.8064       0.2080       0.4768       0.6104      
13       0.4299         0.7905       0.2090       0.4766       0.6048      
14       0.4260         0.8040       0.2093       0.4855       0.6224      
15       0.4256         0.8067       0.2179       0.4919       0.6224      
16       0.4232         0.7956       0.2170       0.4959       0.6295      
17       0.4217         0.8040       0.2221       0.5040       0.6307      
18       0.4191         0.7987       0.2182       0.5007       0.6341      
19       0.4194         0.8057       0.2345       0.5077       0.6399      
20       0.4191         0.8119       0.2383       0.5201       0.6465      
21       0.4189         0.8014       0.2276       0.5109       0.6383      
22       0.4166         0.8037       0.2332       0.5246       0.6475      
23       0.4145         0.8105       0.2426       0.5318       0.6602      
24       0.4174         0.8116       0.2427       0.5307       0.6562      
25       0.4147         0.8099       0.2442       0.5384       0.6625      
26       0.4108         0.8188       0.2497       0.5447       0.6648      
27       0.4124         0.8192       0.2559       0.5494       0.6747      
28       0.4120         0.8193       0.2577       0.5465       0.6772      
29       0.4109         0.8240       0.2579       0.5485       0.6793      
30       0.4133         0.8191       0.2632       0.5547       0.6753      
31       0.4104         0.8111       0.2424       0.5397       0.6651      
32       0.4086         0.8189       0.2577       0.5366       0.6753      
33       0.4087         0.8149       0.2564       0.5419       0.6719      
34       0.4071         0.8174       0.2637       0.5527       0.6790      
35       0.4095         0.8260       0.2683       0.5521       0.6781      
36       0.4093         0.8030       0.2665       0.5447       0.6645      
37       0.4062         0.8007       0.2663       0.5544       0.6688      
38       0.4065         0.8062       0.2582       0.5545       0.6760      
39       0.4066         0.8191       0.2818       0.5651       0.6877      
40       0.4053         0.8191       0.2765       0.5707       0.6920      
41       0.4059         0.8103       0.2750       0.5620       0.6765      
42       0.4033         0.8257       0.2757       0.5681       0.6930      
43       0.4050         0.8148       0.2757       0.5636       0.6811      
44       0.4058         0.8210       0.2830       0.5699       0.6836      
45       0.4045         0.8192       0.2764       0.5715       0.6842      
46       0.4036         0.8163       0.2764       0.5634       0.6842      
47       0.4034         0.8146       0.2652       0.5648       0.6813      
48       0.4074         0.8209       0.2871       0.5740       0.6917      
49       0.4027         0.8166       0.2861       0.5755       0.6943      
50       0.4011         0.8116       0.2810       0.5712       0.6809      
51       0.4011         0.8203       0.2823       0.5702       0.6964      
52       0.4023         0.8156       0.2755       0.5789       0.6923      
53       0.4008         0.8190       0.2719       0.5679       0.6854      
54       0.4024         0.8193       0.2868       0.5715       0.6902      
55       0.3982         0.8116       0.2876       0.5786       0.6905      
56       0.3987         0.8126       0.2828       0.5793       0.6936      
57       0.4001         0.8187       0.2900       0.5766       0.6933      
58       0.3986         0.8149       0.2792       0.5776       0.6890      
59       0.3996         0.8159       0.2851       0.5803       0.6892      
60       0.4005         0.8143       0.2825       0.5844       0.6997      
61       0.4008         0.8109       0.2779       0.5816       0.6889      
62       0.3989         0.8206       0.2909       0.5976       0.7053      
63       0.3992         0.8133       0.2783       0.5895       0.7020      
64       0.3998         0.8168       0.2904       0.5865       0.7002      
65       0.3998         0.8045       0.2797       0.5837       0.6852      
66       0.3971         0.8097       0.2955       0.5806       0.6898      
67       0.3972         0.8024       0.2858       0.5809       0.6814      
68       0.3975         0.8139       0.2863       0.5842       0.6946      
69       0.3983         0.8198       0.2864       0.5956       0.7045      
70       0.3955         0.8172       0.3001       0.5925       0.7017      
71       0.3991         0.8164       0.2945       0.5999       0.7080      
72       0.3978         0.8120       0.2910       0.5936       0.6983      
73       0.3974         0.8162       0.3059       0.6053       0.7088      
74       0.3989         0.8218       0.2924       0.5948       0.7042      
75       0.3949         0.8098       0.3013       0.5966       0.7009      
76       0.3974         0.8182       0.2970       0.5961       0.7040      
77       0.3943         0.8038       0.2907       0.5875       0.6908      
78       0.3974         0.8093       0.2993       0.5804       0.6828      
79       0.3959         0.8125       0.2968       0.5925       0.6925      
80       0.3960         0.8105       0.2981       0.5842       0.6895      
81       0.3957         0.8215       0.3116       0.6078       0.7106      
82       0.3933         0.8157       0.2985       0.6023       0.7002      
83       0.3956         0.8124       0.2966       0.5954       0.6930      
84       0.3952         0.8065       0.2978       0.5911       0.6936      
85       0.3943         0.8055       0.2978       0.5882       0.6885      
86       0.3945         0.8191       0.3108       0.6035       0.7085      
87       0.3966         0.8144       0.3034       0.6035       0.7067      
88       0.3949         0.8212       0.3093       0.6078       0.7060      
89       0.3937         0.8225       0.3141       0.6121       0.7154      
90       0.3947         0.8163       0.3047       0.6043       0.7055      
91       0.3936         0.8168       0.2991       0.6014       0.7027      
92       0.3935         0.8085       0.2924       0.5954       0.7002      
93       0.3953         0.8042       0.3013       0.5903       0.6877      
94       0.3955         0.8103       0.3103       0.5974       0.7004      
95       0.3938         0.8137       0.3092       0.5933       0.7011      
96       0.3925         0.8101       0.3047       0.5977       0.6976      
97       0.3920         0.8059       0.3069       0.5941       0.6933      
98       0.3950         0.8146       0.3003       0.5964       0.7040      
99       0.3942         0.8087       0.3139       0.6027       0.7027      
