Epoch	Loss	Val_AUC	Hits@1	Hits@5	Hits@10
1	0.995097	0.664135	0.074004	0.238140	0.333017
5	0.856432	0.757733	0.238140	0.448767	0.531309
10	0.785054	0.818489	0.314991	0.536053	0.618596
15	0.753526	0.844322	0.323529	0.577799	0.658444
20	0.731520	0.846870	0.344402	0.598672	0.679317
25	0.719557	0.856810	0.351044	0.605313	0.693548
30	0.710410	0.854659	0.346300	0.606262	0.690702
35	0.701067	0.871426	0.337761	0.614801	0.693548
40	0.697917	0.868145	0.335863	0.617647	0.707780
45	0.691719	0.863973	0.344402	0.621442	0.703985
50	0.691206	0.874037	0.341556	0.623340	0.708729
55	0.687458	0.866212	0.340607	0.606262	0.704934
60	0.683000	0.878327	0.341556	0.622391	0.708729
65	0.683410	0.868570	0.349146	0.623340	0.708729
70	0.684694	0.880974	0.341556	0.627135	0.709677
75	0.685223	0.875973	0.355787	0.621442	0.718216
80	0.675207	0.872726	0.349146	0.635674	0.715370
85	0.678365	0.872214	0.355787	0.624288	0.719165
90	0.681111	0.871450	0.352941	0.635674	0.711575
95	0.674334	0.877997	0.334915	0.643264	0.713472
100	0.673189	0.879789	0.342505	0.624288	0.705882
