Epoch	Loss	Val_AUC	Hits@1	Hits@5	Hits@10
1	1.389660	0.582476	0.051233	0.156546	0.233397
2	1.366555	0.627602	0.069260	0.185009	0.280835
3	1.346865	0.675804	0.079696	0.240038	0.346300
4	1.327797	0.703627	0.113852	0.284630	0.380455
5	1.309354	0.719892	0.129981	0.321632	0.410816
6	1.291060	0.730208	0.139469	0.343454	0.439279
7	1.271452	0.748241	0.164137	0.356736	0.469639
8	1.253850	0.765846	0.165085	0.384250	0.483871
9	1.235822	0.757986	0.172676	0.395636	0.497154
10	1.219586	0.777788	0.182163	0.402277	0.519924
11	1.206141	0.774113	0.191651	0.416509	0.518027
12	1.191813	0.775517	0.193548	0.415560	0.519924
13	1.177496	0.789356	0.195446	0.425047	0.536053
14	1.164095	0.789419	0.192600	0.419355	0.526565
15	1.153019	0.777550	0.204934	0.419355	0.537002
16	1.143084	0.779550	0.199241	0.427894	0.543643
17	1.131565	0.787273	0.206831	0.419355	0.537951
18	1.122532	0.800663	0.205882	0.444972	0.541746
19	1.112737	0.801740	0.217268	0.438330	0.545541
20	1.109671	0.784707	0.224858	0.434535	0.542694
21	1.098103	0.784121	0.221063	0.433586	0.549336
22	1.088749	0.796001	0.211575	0.439279	0.546490
23	1.087224	0.791731	0.203036	0.440228	0.553131
24	1.072878	0.792078	0.220114	0.450664	0.556926
25	1.068327	0.791507	0.209677	0.449715	0.548387
26	1.062124	0.778052	0.210626	0.441176	0.547438
27	1.055192	0.796363	0.204934	0.440228	0.558824
28	1.047505	0.784411	0.200190	0.446869	0.547438
29	1.039996	0.778626	0.230550	0.444972	0.554080
