Epoch	Loss	Val_AUC	Hits@1	Hits@5	Hits@10
1	0.978148	0.686535	0.136622	0.284630	0.373814
2	0.910109	0.738975	0.202087	0.388046	0.478178
3	0.861718	0.774195	0.262808	0.444972	0.532258
4	0.829482	0.790987	0.274194	0.482922	0.574004
5	0.801040	0.805955	0.296015	0.515180	0.597723
6	0.787203	0.805565	0.284630	0.540797	0.613852
7	0.770561	0.814877	0.320683	0.552182	0.639469
8	0.760032	0.828672	0.325427	0.560721	0.648956
9	0.747707	0.829740	0.311195	0.563567	0.646110
10	0.739774	0.840230	0.328273	0.582543	0.657495
11	0.733362	0.838930	0.344402	0.580645	0.666034
12	0.728493	0.841314	0.344402	0.582543	0.671727
13	0.726206	0.847546	0.325427	0.588235	0.665085
14	0.718720	0.842885	0.329222	0.603416	0.676471
15	0.715335	0.850409	0.332068	0.598672	0.678368
16	0.712771	0.840540	0.345351	0.595825	0.686907
17	0.706054	0.855871	0.340607	0.605313	0.678368
18	0.704287	0.854624	0.336812	0.602467	0.680266
19	0.702663	0.853767	0.338710	0.613852	0.685958
20	0.702985	0.862233	0.349146	0.609108	0.702087
21	0.697983	0.861876	0.322581	0.611006	0.685958
22	0.694958	0.852374	0.345351	0.606262	0.685009
23	0.692150	0.854342	0.346300	0.612903	0.694497
24	0.695392	0.850972	0.331120	0.610057	0.682163
25	0.691078	0.863615	0.351992	0.616698	0.693548
26	0.690368	0.867131	0.346300	0.615750	0.703036
27	0.690903	0.865561	0.341556	0.612903	0.684061
28	0.688691	0.867895	0.363378	0.621442	0.691651
29	0.686218	0.867021	0.346300	0.611954	0.706831
30	0.687170	0.874999	0.319734	0.614801	0.712524
31	0.684554	0.868343	0.351992	0.611954	0.712524
32	0.684383	0.871874	0.322581	0.604364	0.703985
33	0.682988	0.872675	0.335863	0.611006	0.701139
34	0.684334	0.872092	0.323529	0.598672	0.698292
35	0.683103	0.868964	0.326376	0.623340	0.702087
36	0.682929	0.873285	0.338710	0.614801	0.704934
37	0.681436	0.876426	0.345351	0.607211	0.699241
38	0.682488	0.871401	0.344402	0.618596	0.703985
39	0.679563	0.872541	0.351992	0.617647	0.702087
40	0.681183	0.876571	0.337761	0.616698	0.707780
41	0.681354	0.877359	0.338710	0.606262	0.706831
42	0.677874	0.872873	0.325427	0.618596	0.710626
43	0.675420	0.877294	0.328273	0.612903	0.712524
44	0.678104	0.871769	0.331120	0.606262	0.701139
45	0.676428	0.879341	0.342505	0.615750	0.707780
46	0.677180	0.884766	0.328273	0.622391	0.709677
47	0.675470	0.876846	0.331120	0.607211	0.708729
48	0.676272	0.877260	0.350095	0.618596	0.708729
49	0.678781	0.871752	0.326376	0.620493	0.714421
50	0.674755	0.872298	0.313093	0.615750	0.704934
51	0.675859	0.878112	0.326376	0.616698	0.716319
52	0.676369	0.875569	0.324478	0.615750	0.707780
53	0.673843	0.875572	0.329222	0.613852	0.711575
54	0.673085	0.881438	0.333017	0.619545	0.710626
55	0.674254	0.882065	0.342505	0.611954	0.713472
56	0.673845	0.880024	0.331120	0.619545	0.709677
