Epoch	Loss	Val_AUC	Hits@1	Hits@5	Hits@10
1	1.380322	0.633170	0.151803	0.304554	0.388994
2	1.343878	0.716229	0.180266	0.348197	0.442125
3	1.313577	0.759307	0.203036	0.396584	0.493359
4	1.287787	0.781104	0.223909	0.451613	0.536053
5	1.265672	0.795291	0.237192	0.460152	0.562619
6	1.249359	0.799305	0.244782	0.472486	0.578748
7	1.231594	0.818407	0.259013	0.480076	0.585389
8	1.216273	0.813781	0.256167	0.491461	0.586338
9	1.202067	0.813745	0.251423	0.501898	0.595825
10	1.190921	0.819946	0.263757	0.489564	0.596774
11	1.176864	0.821140	0.255218	0.495256	0.600569
12	1.165520	0.823959	0.257116	0.489564	0.585389
13	1.154898	0.815208	0.251423	0.492410	0.589184
14	1.146329	0.804565	0.258065	0.472486	0.570209
15	1.134550	0.814314	0.243833	0.479127	0.577799
16	1.125035	0.808948	0.232448	0.460152	0.571157
17	1.114274	0.804736	0.227704	0.458254	0.574004
18	1.109041	0.814473	0.239089	0.453510	0.560721
19	1.098108	0.805964	0.232448	0.474383	0.564516
20	1.088844	0.810028	0.222011	0.448767	0.557875
21	1.084254	0.809837	0.223909	0.448767	0.558824
22	1.075546	0.815295	0.222960	0.444023	0.554080
