Epoch	Loss	Val_AUC	Hits@1	Hits@5	Hits@10
1	0.860532	0.768379	0.236243	0.429791	0.513283
2	0.805592	0.817589	0.278937	0.508539	0.587287
3	0.773655	0.831879	0.299810	0.545541	0.639469
4	0.750311	0.843637	0.318786	0.571157	0.656546
5	0.736778	0.854810	0.317837	0.581594	0.668880
6	0.726176	0.853976	0.334915	0.585389	0.680266
7	0.716208	0.853074	0.322581	0.597723	0.689753
8	0.712210	0.856405	0.342505	0.617647	0.704934
9	0.709908	0.860672	0.326376	0.615750	0.692600
10	0.701503	0.870837	0.320683	0.617647	0.702087
11	0.698392	0.870646	0.340607	0.615750	0.708729
12	0.693325	0.863729	0.330171	0.621442	0.709677
13	0.692265	0.870600	0.339658	0.619545	0.712524
14	0.690350	0.878284	0.326376	0.624288	0.718216
15	0.688872	0.876689	0.343454	0.624288	0.718216
16	0.690277	0.877537	0.346300	0.628083	0.715370
17	0.689653	0.876482	0.329222	0.617647	0.722960
18	0.685033	0.877625	0.361480	0.628083	0.709677
19	0.682471	0.874213	0.329222	0.629032	0.722011
20	0.681339	0.877895	0.345351	0.629032	0.719165
21	0.682971	0.871376	0.339658	0.618596	0.717268
22	0.676173	0.881620	0.327324	0.626186	0.722011
23	0.679812	0.874394	0.335863	0.631879	0.722011
24	0.680866	0.870541	0.325427	0.626186	0.719165
25	0.676384	0.874530	0.346300	0.639469	0.718216
26	0.680366	0.878880	0.326376	0.626186	0.719165
27	0.678996	0.877245	0.343454	0.634725	0.718216
28	0.679033	0.874747	0.338710	0.625237	0.717268
29	0.679027	0.873012	0.321632	0.630930	0.724858
30	0.678392	0.877668	0.341556	0.631879	0.718216
31	0.677261	0.876172	0.315939	0.629981	0.718216
32	0.675479	0.877020	0.348197	0.615750	0.715370
