Epoch	Loss	Val_AUC	Hits@1	Hits@5	Hits@10
1	1.381617	0.590330	0.063567	0.185958	0.259962
2	1.358504	0.657765	0.086338	0.234345	0.326376
3	1.338705	0.693349	0.106262	0.283681	0.389943
4	1.321367	0.724670	0.148956	0.354839	0.454459
5	1.305052	0.743503	0.177419	0.398482	0.489564
6	1.289218	0.755004	0.190702	0.407021	0.501898
7	1.273644	0.779513	0.233397	0.444972	0.519924
8	1.260335	0.768097	0.219165	0.449715	0.547438
9	1.247429	0.779062	0.243833	0.458254	0.550285
10	1.233529	0.784945	0.255218	0.473435	0.571157
11	1.220001	0.783256	0.257116	0.478178	0.569260
12	1.208077	0.799955	0.251423	0.476281	0.572106
13	1.196503	0.794505	0.256167	0.483871	0.574953
14	1.185124	0.785953	0.244782	0.468691	0.569260
15	1.174864	0.797918	0.266603	0.477230	0.563567
16	1.163257	0.796187	0.259013	0.467742	0.568311
17	1.152828	0.792127	0.259962	0.478178	0.578748
18	1.145423	0.805226	0.262808	0.468691	0.586338
19	1.137046	0.797101	0.237192	0.466793	0.581594
20	1.126193	0.812011	0.252372	0.471537	0.575901
21	1.116866	0.806456	0.240987	0.479127	0.580645
22	1.110221	0.799431	0.240038	0.465844	0.586338
23	1.100119	0.803321	0.251423	0.474383	0.579696
24	1.093573	0.794588	0.236243	0.471537	0.587287
25	1.086982	0.793013	0.240987	0.463947	0.568311
26	1.076552	0.795375	0.245731	0.481973	0.583491
27	1.071221	0.806340	0.238140	0.477230	0.582543
28	1.065801	0.803371	0.247628	0.479127	0.582543
29	1.055278	0.792131	0.223909	0.472486	0.574953
30	1.048777	0.803769	0.233397	0.467742	0.567362
