Epoch	Loss	Val_AUC	Hits@1	Hits@5	Hits@10
1	0.975789	0.704716	0.166983	0.322581	0.397533
2	0.908817	0.754040	0.227704	0.392789	0.472486
3	0.859270	0.780697	0.258065	0.453510	0.532258
4	0.829886	0.794106	0.265655	0.512334	0.574004
5	0.801974	0.819131	0.297913	0.529412	0.601518
6	0.783040	0.820220	0.292220	0.539848	0.617647
7	0.769731	0.834175	0.331120	0.556926	0.639469
8	0.756651	0.836013	0.317837	0.562619	0.646110
9	0.746835	0.852881	0.325427	0.576850	0.653700
10	0.740008	0.852474	0.319734	0.574953	0.665085
11	0.731138	0.850527	0.330171	0.580645	0.659393
12	0.726131	0.854698	0.334915	0.586338	0.669829
13	0.720793	0.856826	0.335863	0.590133	0.681214
14	0.717752	0.863723	0.342505	0.598672	0.681214
15	0.715776	0.867802	0.336812	0.598672	0.671727
16	0.710533	0.865255	0.329222	0.596774	0.684061
17	0.706363	0.869527	0.334915	0.607211	0.685958
18	0.704055	0.868536	0.344402	0.599620	0.698292
19	0.703740	0.869044	0.355787	0.609108	0.687856
20	0.701058	0.870807	0.350095	0.613852	0.701139
21	0.698316	0.876279	0.360531	0.604364	0.692600
22	0.695862	0.873962	0.354839	0.601518	0.692600
23	0.692740	0.869715	0.347249	0.613852	0.690702
24	0.693848	0.872084	0.350095	0.609108	0.698292
25	0.691840	0.878567	0.359583	0.620493	0.700190
26	0.694018	0.871181	0.327324	0.607211	0.702087
27	0.690620	0.869763	0.350095	0.611954	0.700190
28	0.687150	0.874406	0.346300	0.620493	0.713472
29	0.687748	0.866492	0.334915	0.616698	0.696395
30	0.686645	0.872281	0.322581	0.615750	0.703985
31	0.684409	0.868348	0.347249	0.620493	0.714421
32	0.683080	0.875063	0.344402	0.608159	0.703985
33	0.684457	0.879170	0.351044	0.606262	0.701139
34	0.681304	0.881383	0.343454	0.620493	0.706831
35	0.683409	0.865957	0.346300	0.618596	0.711575
36	0.681349	0.879406	0.360531	0.618596	0.706831
37	0.680587	0.884219	0.342505	0.614801	0.703036
38	0.681210	0.886437	0.350095	0.630930	0.712524
39	0.680189	0.879550	0.351992	0.620493	0.707780
40	0.682197	0.879712	0.341556	0.620493	0.716319
41	0.682115	0.877517	0.337761	0.611954	0.710626
42	0.679882	0.881251	0.332068	0.616698	0.721063
43	0.676626	0.880032	0.337761	0.615750	0.715370
44	0.678186	0.873248	0.364326	0.607211	0.722011
45	0.676972	0.880367	0.348197	0.615750	0.715370
46	0.677865	0.874037	0.351044	0.624288	0.714421
47	0.676263	0.883375	0.335863	0.627135	0.718216
48	0.677853	0.876544	0.342505	0.617647	0.715370
