Epoch	Loss	Val_AUC	Hits@1	Hits@5	Hits@10
1	1.365136	0.657099	0.166983	0.311195	0.384250
2	1.335612	0.715797	0.192600	0.368121	0.444023
3	1.311062	0.750391	0.224858	0.418406	0.508539
4	1.292358	0.755529	0.244782	0.455408	0.543643
5	1.275230	0.776686	0.277989	0.487666	0.563567
6	1.258350	0.782897	0.278937	0.493359	0.584440
7	1.245761	0.788427	0.267552	0.503795	0.600569
8	1.230940	0.793087	0.267552	0.519924	0.593928
9	1.220202	0.802555	0.281784	0.518027	0.593928
10	1.206029	0.801022	0.276091	0.519924	0.599620
11	1.193353	0.804729	0.272296	0.515180	0.597723
12	1.181858	0.791506	0.275142	0.512334	0.605313
13	1.167410	0.793500	0.260911	0.505693	0.600569
14	1.157623	0.789297	0.263757	0.501898	0.599620
15	1.145124	0.798326	0.264706	0.504744	0.589184
16	1.133027	0.783531	0.263757	0.478178	0.577799
17	1.120056	0.780392	0.245731	0.479127	0.568311
18	1.111931	0.779438	0.240038	0.481025	0.569260
19	1.099654	0.786481	0.222960	0.462049	0.558824
20	1.090210	0.794964	0.219165	0.446869	0.555977
21	1.082210	0.783105	0.214421	0.445920	0.545541
