Epoch	Loss	Val_AUC	Hits@1	Hits@5	Hits@10
1	0.857770	0.767107	0.218216	0.434535	0.519924
2	0.806771	0.808870	0.283681	0.518027	0.594877
3	0.773853	0.830236	0.291271	0.549336	0.640417
4	0.749666	0.836483	0.317837	0.566414	0.655598
5	0.736447	0.843245	0.338710	0.589184	0.675522
6	0.724236	0.854956	0.318786	0.602467	0.684061
7	0.714799	0.850334	0.319734	0.606262	0.692600
8	0.709964	0.860758	0.338710	0.608159	0.694497
9	0.706108	0.857111	0.326376	0.610057	0.685009
10	0.703806	0.865540	0.328273	0.616698	0.702087
11	0.698312	0.857067	0.314991	0.619545	0.703985
12	0.694872	0.860489	0.314042	0.623340	0.713472
13	0.692767	0.862989	0.316888	0.624288	0.703985
14	0.691325	0.866440	0.323529	0.614801	0.709677
15	0.691513	0.861678	0.335863	0.611954	0.708729
16	0.687813	0.867536	0.339658	0.629032	0.711575
17	0.690483	0.861356	0.328273	0.611954	0.704934
18	0.684188	0.869287	0.338710	0.626186	0.706831
19	0.683686	0.874554	0.336812	0.623340	0.712524
20	0.679025	0.873332	0.331120	0.620493	0.716319
21	0.680620	0.871456	0.322581	0.613852	0.712524
22	0.681204	0.881081	0.343454	0.612903	0.712524
23	0.676614	0.877811	0.338710	0.611954	0.706831
24	0.679280	0.875166	0.329222	0.621442	0.718216
25	0.678325	0.875328	0.327324	0.619545	0.717268
26	0.676992	0.877618	0.334915	0.618596	0.717268
27	0.678335	0.871283	0.343454	0.613852	0.716319
28	0.678602	0.872337	0.331120	0.623340	0.720114
29	0.676530	0.882870	0.330171	0.625237	0.715370
30	0.675857	0.875106	0.333017	0.618596	0.720114
31	0.678645	0.880166	0.330171	0.612903	0.712524
32	0.677380	0.876397	0.332068	0.619545	0.719165
33	0.674730	0.885879	0.333017	0.620493	0.721063
34	0.673716	0.879560	0.324478	0.621442	0.714421
35	0.674033	0.877119	0.340607	0.620493	0.718216
36	0.672133	0.874671	0.333966	0.623340	0.722011
37	0.673707	0.871076	0.334915	0.620493	0.720114
38	0.675888	0.873927	0.318786	0.621442	0.721063
39	0.673777	0.874414	0.324478	0.617647	0.707780
40	0.673357	0.876753	0.319734	0.622391	0.721063
41	0.672276	0.874552	0.334915	0.621442	0.716319
42	0.670522	0.879678	0.326376	0.624288	0.718216
43	0.674506	0.879177	0.328273	0.628083	0.710626
