Epoch	Loss	Val_AUC	Hits@1	Hits@5	Hits@10
1	0.887986	0.873315	0.272455	0.544482	0.683348
5	0.807494	0.881712	0.277930	0.559224	0.706302
10	0.805430	0.883379	0.277417	0.560622	0.706074
15	0.804342	0.886225	0.278272	0.561962	0.705674
20	0.803202	0.883617	0.280125	0.562161	0.706074
25	0.803641	0.883970	0.277958	0.561078	0.704078
30	0.803106	0.883147	0.276590	0.560393	0.705218
35	0.802815	0.883802	0.276818	0.561420	0.705361
40	0.803126	0.885392	0.274280	0.560365	0.704106
45	0.802582	0.884535	0.276248	0.559395	0.704591
50	0.802443	0.882721	0.274023	0.556230	0.704021
55	0.802473	0.882804	0.273168	0.559595	0.703023
60	0.801730	0.884323	0.273966	0.557856	0.704477
65	0.801962	0.884329	0.272341	0.555746	0.703422
