Epoch	Loss	Val_AUC	Hits@1	Hits@5	Hits@10
1	1.265051	0.848616	0.130995	0.406815	0.569319
2	1.039152	0.860488	0.113430	0.372626	0.540719
3	0.879364	0.866218	0.109980	0.363530	0.535957
4	0.771643	0.889946	0.102709	0.341916	0.517821
5	0.673592	0.894121	0.096350	0.320359	0.496379
6	0.605004	0.891683	0.094896	0.316111	0.486997
7	0.558142	0.896902	0.092786	0.313658	0.475677
8	0.521724	0.898106	0.090761	0.309952	0.474023
9	0.490885	0.901018	0.092672	0.308554	0.474537
10	0.464612	0.903207	0.091702	0.307243	0.469062
11	0.441483	0.906518	0.091930	0.310037	0.473168
12	0.419887	0.908287	0.092073	0.307699	0.473824
13	0.401820	0.908180	0.092016	0.308298	0.473710
14	0.384020	0.910508	0.090020	0.306273	0.472341
15	0.368549	0.913520	0.091275	0.306672	0.475164
16	0.354166	0.914004	0.091474	0.303422	0.471742
17	0.340864	0.915742	0.088708	0.303336	0.473482
18	0.328361	0.917191	0.087653	0.294126	0.466695
19	0.315698	0.917452	0.086056	0.287539	0.458112
20	0.304487	0.920470	0.083946	0.274993	0.447876
21	0.294312	0.920582	0.084545	0.267779	0.437268
22	0.284411	0.925125	0.083462	0.257057	0.420758
23	0.273020	0.925393	0.076789	0.238380	0.397006
24	0.262073	0.932410	0.070431	0.206558	0.349786
25	0.249914	0.934069	0.066210	0.193128	0.321728
26	0.237661	0.934921	0.064271	0.185686	0.307585
27	0.228557	0.936862	0.065098	0.181580	0.299259
28	0.221357	0.938567	0.066182	0.178814	0.291759
29	0.213143	0.939745	0.066496	0.177246	0.292871
30	0.206738	0.939608	0.068064	0.175250	0.285458
31	0.199792	0.941975	0.068121	0.176903	0.283547
32	0.195159	0.942955	0.067437	0.175421	0.279612
33	0.189391	0.943491	0.068035	0.174480	0.277616
34	0.183974	0.944400	0.066895	0.173225	0.275135
35	0.179280	0.943693	0.067294	0.173795	0.272370
36	0.175554	0.943447	0.067693	0.173168	0.270259
37	0.170337	0.945697	0.068321	0.171999	0.268720
38	0.166225	0.945287	0.069005	0.171685	0.268178
39	0.162907	0.947946	0.067750	0.170488	0.268748
40	0.158649	0.946788	0.067437	0.171200	0.265441
41	0.155291	0.947568	0.067380	0.169775	0.263701
42	0.151641	0.947632	0.067579	0.168292	0.263844
43	0.148678	0.949116	0.066724	0.170088	0.264072
44	0.146141	0.948179	0.066809	0.168520	0.261506
45	0.142643	0.950041	0.068862	0.169176	0.261591
46	0.140429	0.947997	0.066324	0.168064	0.258397
47	0.137070	0.949632	0.068435	0.165954	0.258512
48	0.135308	0.948786	0.068862	0.170174	0.260707
49	0.132732	0.950191	0.068007	0.167294	0.258027
50	0.130953	0.949997	0.067722	0.169803	0.256430
51	0.129079	0.950060	0.069005	0.168178	0.256658
52	0.126870	0.951456	0.068178	0.168520	0.259424
53	0.124754	0.948776	0.068805	0.168092	0.255546
54	0.123531	0.949455	0.067978	0.167693	0.255061
55	0.121653	0.950828	0.068549	0.167265	0.252096
56	0.120173	0.949876	0.068349	0.167351	0.254491
57	0.118442	0.951818	0.069860	0.169775	0.255575
58	0.117537	0.950347	0.069090	0.167978	0.254035
59	0.115450	0.951898	0.070317	0.168663	0.254463
60	0.115216	0.951027	0.068235	0.167779	0.251754
61	0.113683	0.951784	0.069404	0.167408	0.252524
62	0.112514	0.951710	0.069518	0.167864	0.254206
63	0.110563	0.951020	0.069832	0.167151	0.250556
64	0.109279	0.951020	0.071315	0.167151	0.249415
65	0.109139	0.950138	0.070773	0.167921	0.252780
66	0.107334	0.951220	0.069917	0.167265	0.250356
67	0.106041	0.951407	0.071571	0.170459	0.253978
68	0.105277	0.952878	0.069604	0.167893	0.248931
69	0.104366	0.952140	0.070830	0.167408	0.247562
70	0.103581	0.951685	0.070317	0.168976	0.250128
71	0.102631	0.950989	0.071029	0.168834	0.252352
72	0.101336	0.952015	0.070801	0.169204	0.252381
73	0.101041	0.952619	0.070145	0.168606	0.250328
74	0.099880	0.952817	0.070117	0.169632	0.253921
75	0.098516	0.951669	0.069290	0.170003	0.251269
76	0.098129	0.952611	0.070317	0.169433	0.252324
77	0.096975	0.952479	0.071628	0.169661	0.251354
78	0.096258	0.952366	0.072683	0.169376	0.253636
