Epoch	Loss	Val_AUC	Hits@1	Hits@5	Hits@10
1	0.863539	0.881624	0.188594	0.490020	0.647904
2	0.813690	0.886496	0.179869	0.490818	0.655289
3	0.809134	0.885959	0.173539	0.488252	0.654605
4	0.807371	0.887612	0.171400	0.490790	0.657000
5	0.806518	0.889004	0.171600	0.489222	0.658027
6	0.806071	0.886369	0.172740	0.491759	0.659253
7	0.804854	0.889562	0.170773	0.493385	0.658797
8	0.804620	0.889222	0.169746	0.489450	0.659196
9	0.804368	0.890078	0.171742	0.491503	0.657571
10	0.804277	0.890425	0.170944	0.489991	0.660451
11	0.803927	0.889620	0.173681	0.492586	0.660051
12	0.804039	0.889154	0.172313	0.494554	0.660365
13	0.803798	0.890021	0.171172	0.492643	0.659196
14	0.803166	0.889834	0.172341	0.493328	0.659310
15	0.803867	0.890236	0.171486	0.493356	0.660565
16	0.803090	0.888851	0.171913	0.493413	0.660365
17	0.803476	0.889527	0.172427	0.493670	0.660992
18	0.803227	0.890384	0.170887	0.495238	0.660736
19	0.802899	0.889038	0.170174	0.490790	0.660508
20	0.802938	0.888513	0.170687	0.490875	0.660593
