Epoch	Loss	Val_AUC	Hits@1	Hits@5	Hits@10
1	1.250678	0.792930	0.089450	0.263102	0.403906
2	1.059719	0.815047	0.071457	0.228885	0.370317
3	0.945198	0.821191	0.072541	0.236441	0.381979
4	0.867536	0.830961	0.070801	0.235130	0.384745
5	0.807690	0.836289	0.072626	0.241089	0.394554
6	0.759209	0.844643	0.070117	0.252609	0.409980
7	0.716750	0.850714	0.076276	0.263673	0.426918
8	0.675203	0.861383	0.078472	0.278586	0.443370
9	0.631876	0.880297	0.078728	0.283262	0.457086
10	0.581361	0.892584	0.083576	0.289079	0.454833
11	0.536332	0.898804	0.085515	0.291531	0.458141
12	0.500127	0.904239	0.090048	0.299914	0.459139
13	0.467757	0.907693	0.090704	0.304363	0.459624
14	0.439888	0.909603	0.093214	0.308526	0.461334
15	0.416455	0.910208	0.096977	0.309638	0.461192
16	0.394252	0.914080	0.096664	0.311007	0.458483
17	0.373191	0.917143	0.096379	0.307357	0.452210
18	0.354824	0.918659	0.094326	0.301910	0.446992
19	0.338989	0.919358	0.093955	0.303849	0.448161
20	0.324543	0.921713	0.092672	0.300912	0.443884
21	0.311188	0.925056	0.092586	0.299572	0.439749
22	0.298133	0.923717	0.093014	0.301198	0.439492
23	0.287710	0.927018	0.093157	0.297890	0.436384
24	0.277258	0.929167	0.093470	0.297633	0.437126
25	0.268075	0.927842	0.093128	0.297006	0.436356
26	0.259075	0.930284	0.093385	0.294782	0.434873
27	0.251336	0.930110	0.092102	0.292757	0.434132
28	0.243487	0.930739	0.090961	0.292700	0.434189
29	0.237070	0.931265	0.091645	0.289649	0.431851
30	0.230062	0.932118	0.090590	0.289792	0.430339
31	0.224130	0.932040	0.091674	0.287682	0.429427
32	0.218471	0.932754	0.092814	0.287739	0.426404
33	0.212456	0.935119	0.091674	0.285515	0.426775
34	0.206896	0.935229	0.091531	0.284574	0.425634
35	0.201865	0.934667	0.093271	0.284716	0.422640
36	0.197096	0.935878	0.093442	0.284773	0.420987
37	0.192481	0.935957	0.092729	0.281180	0.417707
38	0.188070	0.936321	0.094554	0.279242	0.419932
39	0.183901	0.936489	0.096635	0.281950	0.419760
40	0.179354	0.937059	0.095010	0.278956	0.415597
41	0.175894	0.939428	0.096863	0.284089	0.418934
42	0.171862	0.939797	0.093841	0.282350	0.419304
43	0.168151	0.938916	0.096635	0.279213	0.418791
44	0.164240	0.940870	0.098004	0.282549	0.417280
45	0.159823	0.941335	0.098004	0.283148	0.420844
46	0.157143	0.941363	0.097605	0.281066	0.416168
47	0.153923	0.941042	0.095552	0.280525	0.418021
48	0.150702	0.941102	0.097633	0.283148	0.420103
49	0.146904	0.943756	0.096379	0.282891	0.423524
50	0.143962	0.943276	0.097149	0.285030	0.423097
51	0.140707	0.945551	0.098774	0.284830	0.423296
52	0.137318	0.945492	0.099601	0.284887	0.422298
53	0.135779	0.945438	0.098517	0.285999	0.426205
54	0.132699	0.946936	0.098973	0.287511	0.426034
55	0.130086	0.945635	0.098574	0.287140	0.423068
56	0.127844	0.946337	0.101255	0.288338	0.427830
57	0.126051	0.946067	0.100998	0.287938	0.427830
58	0.123510	0.947628	0.100998	0.290048	0.427687
59	0.121571	0.947528	0.101255	0.289507	0.425520
60	0.119769	0.948277	0.100171	0.287853	0.425463
61	0.117832	0.948488	0.101397	0.288822	0.427887
62	0.116013	0.949629	0.100770	0.292216	0.429455
63	0.114215	0.949810	0.099886	0.287995	0.431052
64	0.112522	0.950192	0.099629	0.288708	0.426575
65	0.110450	0.949979	0.100599	0.289535	0.428743
66	0.109249	0.950148	0.101711	0.289478	0.429512
67	0.107184	0.950161	0.100941	0.292330	0.427916
68	0.106172	0.950207	0.101625	0.290533	0.428172
69	0.104657	0.951076	0.099658	0.290277	0.430624
70	0.103887	0.950991	0.100969	0.293185	0.431908
71	0.101852	0.950841	0.100656	0.288338	0.429370
72	0.101368	0.950687	0.100171	0.291959	0.428942
73	0.100011	0.950412	0.101426	0.290932	0.430311
74	0.098733	0.951229	0.101426	0.293042	0.430653
75	0.097226	0.951744	0.101027	0.292586	0.431508
76	0.096316	0.950829	0.102196	0.293869	0.433390
77	0.095224	0.951107	0.103479	0.293812	0.432022
78	0.093894	0.951507	0.103023	0.293898	0.430910
79	0.093085	0.951392	0.102110	0.293242	0.431166
80	0.092478	0.952927	0.102794	0.294212	0.433932
81	0.091524	0.951542	0.101853	0.290191	0.428914
82	0.090359	0.951948	0.101882	0.293100	0.432563
83	0.089822	0.952376	0.102538	0.287511	0.423895
84	0.089164	0.951560	0.102680	0.289050	0.427973
85	0.087509	0.952798	0.101796	0.288794	0.429940
86	0.087516	0.952543	0.102253	0.290875	0.429199
87	0.086709	0.951240	0.103080	0.285287	0.425349
88	0.085631	0.953269	0.103507	0.290220	0.431537
89	0.084894	0.952760	0.102880	0.289222	0.428628
90	0.083747	0.953088	0.102823	0.288822	0.424808
91	0.083446	0.953652	0.103479	0.289165	0.429028
92	0.083414	0.953848	0.102823	0.290191	0.429370
93	0.081922	0.953147	0.103621	0.286969	0.427516
94	0.081746	0.952420	0.103051	0.290048	0.430681
95	0.081522	0.953943	0.102281	0.291018	0.429826
96	0.081272	0.953562	0.101682	0.287796	0.423125
97	0.079823	0.953937	0.100741	0.285287	0.420901
98	0.079275	0.953021	0.102823	0.287140	0.424294
99	0.079184	0.953261	0.103479	0.286969	0.425520
100	0.078039	0.952211	0.105418	0.287454	0.427032
