Epoch	Loss	Val_AUC	Hits@1	Hits@5	Hits@10
1	0.838226	0.874620	0.156886	0.449900	0.620930
2	0.819057	0.879918	0.158369	0.461848	0.633476
3	0.814880	0.880821	0.161762	0.465754	0.638666
4	0.812263	0.885158	0.162846	0.469917	0.643684
5	0.810567	0.884786	0.164214	0.474822	0.648589
6	0.809155	0.886090	0.165412	0.478215	0.648703
7	0.807704	0.886715	0.167665	0.480810	0.651069
8	0.807652	0.886253	0.167978	0.480325	0.651098
9	0.806950	0.886625	0.167864	0.483804	0.652153
10	0.806523	0.886364	0.167693	0.482578	0.652096
11	0.807350	0.888385	0.166952	0.484060	0.653407
12	0.805569	0.886137	0.167437	0.482977	0.654605
13	0.805721	0.887580	0.165925	0.486541	0.655575
14	0.805436	0.888752	0.166923	0.482948	0.653265
15	0.804960	0.885553	0.166439	0.484745	0.654862
16	0.805058	0.888805	0.167579	0.486427	0.656116
17	0.804803	0.887950	0.168378	0.482606	0.656287
18	0.804755	0.887403	0.165326	0.488338	0.654947
19	0.804328	0.888468	0.167465	0.486769	0.654434
20	0.804025	0.887890	0.167322	0.486712	0.655261
21	0.804117	0.889342	0.167437	0.490476	0.656601
22	0.804254	0.888057	0.166467	0.486798	0.658141
23	0.804024	0.888495	0.168834	0.487910	0.657770
24	0.803901	0.888102	0.167750	0.489507	0.656829
25	0.803525	0.887449	0.169062	0.486570	0.657542
26	0.803421	0.889736	0.168435	0.488537	0.658683
27	0.803346	0.888953	0.168235	0.487054	0.658740
28	0.803526	0.888363	0.167009	0.489193	0.657228
29	0.803439	0.888407	0.169404	0.488138	0.658654
30	0.803413	0.890169	0.171086	0.490106	0.659224
31	0.803593	0.889103	0.167921	0.487910	0.658939
32	0.803546	0.889748	0.170031	0.488566	0.659110
33	0.802876	0.886084	0.168606	0.488537	0.658283
34	0.802774	0.888593	0.167009	0.490590	0.657827
35	0.803084	0.889626	0.168064	0.491132	0.658740
36	0.803230	0.888868	0.169832	0.491759	0.659624
37	0.803341	0.887271	0.168492	0.492558	0.659738
38	0.801983	0.888310	0.169461	0.490020	0.659310
39	0.802745	0.889386	0.168862	0.489792	0.660279
40	0.802856	0.889905	0.167009	0.490362	0.659595
