Epoch	Loss	Val_AUC	Hits@1	Hits@5	Hits@10
1	1.261845	0.851558	0.132535	0.398631	0.553664
2	1.017841	0.848780	0.091275	0.305617	0.462190
3	0.880667	0.859033	0.081323	0.289706	0.453236
4	0.791663	0.868795	0.082036	0.290989	0.456401
5	0.727185	0.872279	0.083519	0.294411	0.457542
6	0.674529	0.877622	0.086427	0.296208	0.461933
7	0.632610	0.881381	0.087140	0.301796	0.473139
8	0.595699	0.883426	0.092615	0.313544	0.480753
9	0.563980	0.887041	0.094012	0.317964	0.483775
10	0.533678	0.891149	0.097605	0.319932	0.487568
11	0.508268	0.894114	0.097434	0.325549	0.495096
12	0.484813	0.895768	0.096065	0.327374	0.498546
13	0.463071	0.899822	0.101568	0.333077	0.503678
14	0.441899	0.903545	0.103964	0.338067	0.513459
15	0.422414	0.907881	0.105133	0.343484	0.520701
16	0.403572	0.909903	0.104220	0.348474	0.525064
17	0.386273	0.913410	0.103279	0.346650	0.525634
18	0.369282	0.914904	0.102709	0.346878	0.525321
19	0.354220	0.919107	0.103992	0.343199	0.521699
20	0.341011	0.921488	0.102994	0.338837	0.516709
21	0.329934	0.920772	0.103137	0.340063	0.517251
22	0.317988	0.925027	0.103393	0.336441	0.511064
23	0.309420	0.923119	0.103821	0.334331	0.509581
24	0.299280	0.926895	0.102965	0.336042	0.505133
25	0.290690	0.927588	0.101654	0.329142	0.502623
26	0.280985	0.928633	0.102908	0.328771	0.497662
27	0.271322	0.929080	0.102281	0.324922	0.489336
28	0.263018	0.930363	0.101055	0.321728	0.483062
29	0.255193	0.931125	0.104363	0.316567	0.476590
30	0.246484	0.931471	0.102595	0.315369	0.470830
31	0.238915	0.934596	0.102937	0.312119	0.466324
32	0.232120	0.935196	0.104847	0.312005	0.460451
33	0.225279	0.933857	0.107499	0.314599	0.458055
34	0.219233	0.935783	0.106587	0.316481	0.456687
35	0.212235	0.935894	0.110123	0.320160	0.453236
36	0.206622	0.936626	0.112062	0.320502	0.455546
37	0.201739	0.936967	0.114428	0.323239	0.454035
38	0.196025	0.938844	0.114999	0.324095	0.452980
39	0.191038	0.939330	0.118591	0.328942	0.456516
40	0.184613	0.939631	0.122812	0.329341	0.455974
41	0.181128	0.939882	0.122355	0.333647	0.457457
42	0.176314	0.942567	0.125264	0.336185	0.457228
43	0.170462	0.942470	0.126376	0.341660	0.459795
44	0.165966	0.944016	0.129427	0.342002	0.459453
45	0.160970	0.945096	0.131052	0.343228	0.462931
46	0.156712	0.944708	0.132050	0.346393	0.464386
47	0.152387	0.946714	0.131480	0.344625	0.464500
48	0.148209	0.948019	0.128828	0.345994	0.465612
49	0.144027	0.946571	0.129683	0.345965	0.466980
50	0.140930	0.948155	0.132278	0.344482	0.466838
51	0.136686	0.947110	0.134674	0.345994	0.465269
52	0.133886	0.947482	0.131851	0.346193	0.466638
53	0.130866	0.949279	0.132849	0.345053	0.466011
54	0.127769	0.949688	0.134303	0.346792	0.467636
55	0.125267	0.949127	0.132164	0.348104	0.471029
56	0.122720	0.949545	0.133447	0.346079	0.471086
57	0.119518	0.950150	0.132592	0.344597	0.467522
58	0.117662	0.951103	0.135301	0.348703	0.473054
59	0.114717	0.951400	0.132079	0.345794	0.471885
60	0.112191	0.951113	0.134160	0.348104	0.471200
61	0.110320	0.952237	0.134759	0.345110	0.471286
62	0.108385	0.952611	0.135158	0.347476	0.473596
63	0.106028	0.952864	0.133333	0.347648	0.474080
64	0.104066	0.953931	0.133790	0.350556	0.476647
65	0.102206	0.952627	0.134388	0.347733	0.473995
66	0.100565	0.953239	0.135843	0.349615	0.477844
67	0.098273	0.953749	0.134160	0.350841	0.477787
68	0.097193	0.954152	0.134531	0.349986	0.480924
69	0.095932	0.953316	0.135700	0.350157	0.477930
70	0.094396	0.953283	0.135814	0.347876	0.476219
71	0.092594	0.954638	0.135729	0.348360	0.479698
72	0.091078	0.955016	0.137411	0.350413	0.479156
73	0.090152	0.955420	0.136670	0.349701	0.481009
74	0.088200	0.956004	0.135443	0.351839	0.482378
75	0.087832	0.955305	0.136670	0.349957	0.479070
76	0.085963	0.954990	0.136327	0.350014	0.481380
77	0.084336	0.954978	0.135700	0.350984	0.481665
78	0.083193	0.957001	0.138067	0.352866	0.481865
79	0.082549	0.955693	0.137582	0.350157	0.480781
80	0.081300	0.956502	0.137126	0.351668	0.480724
81	0.080182	0.956760	0.137725	0.351982	0.482720
82	0.079315	0.956405	0.138580	0.349758	0.482179
83	0.077974	0.956832	0.139664	0.352723	0.484146
84	0.077424	0.956110	0.138409	0.353265	0.485258
85	0.076229	0.956951	0.136641	0.352267	0.480867
86	0.075460	0.956024	0.137553	0.351668	0.484517
87	0.074690	0.956385	0.136869	0.352581	0.485287
88	0.073923	0.956782	0.139635	0.353864	0.488480
