Epoch	Loss	Val_AUC	Hits@1	Hits@5	Hits@10
1	0.862733	0.882258	0.183661	0.489107	0.647134
2	0.813315	0.886225	0.176362	0.489307	0.652438
3	0.808614	0.885543	0.174394	0.490676	0.655432
4	0.807971	0.886979	0.172056	0.490305	0.659281
5	0.806338	0.889181	0.173253	0.490562	0.657685
6	0.805977	0.886912	0.173025	0.493898	0.658996
7	0.805156	0.888323	0.173738	0.493841	0.658369
8	0.804453	0.888083	0.172968	0.492814	0.658996
9	0.803754	0.888032	0.172626	0.491560	0.657970
10	0.803815	0.888653	0.174565	0.492501	0.660622
11	0.804596	0.889284	0.176447	0.492757	0.660565
12	0.803493	0.889207	0.170545	0.491959	0.660565
13	0.802967	0.888271	0.174622	0.493385	0.661620
14	0.803373	0.888148	0.173738	0.492501	0.661506
15	0.802790	0.888977	0.172255	0.493926	0.661220
16	0.803110	0.889099	0.172512	0.490875	0.660165
17	0.802882	0.886091	0.171372	0.491161	0.660622
18	0.802706	0.888775	0.172626	0.494183	0.661876
19	0.803315	0.889372	0.171115	0.495010	0.660536
20	0.802627	0.888469	0.171600	0.497149	0.661192
21	0.802554	0.888033	0.175278	0.493698	0.661078
22	0.802425	0.890028	0.173795	0.493356	0.661734
23	0.802519	0.891669	0.174423	0.496835	0.662475
24	0.802158	0.891107	0.170887	0.491104	0.659681
25	0.801955	0.889026	0.173510	0.493470	0.663673
26	0.801820	0.889288	0.171543	0.492786	0.660593
27	0.802680	0.888999	0.171828	0.495010	0.661477
28	0.802215	0.889923	0.174765	0.494155	0.662504
29	0.801822	0.889383	0.172084	0.493014	0.661192
30	0.802190	0.890908	0.174052	0.494269	0.661135
31	0.801586	0.890897	0.172512	0.493128	0.661106
32	0.801485	0.887021	0.171942	0.492871	0.660622
33	0.801264	0.888680	0.173196	0.492216	0.661392
