Epoch	Loss	Val_AUC	Hits@1	Hits@5	Hits@10
1	1.252311	0.799988	0.098945	0.299316	0.434788
2	1.045598	0.823872	0.087226	0.263131	0.413744
3	0.924916	0.847357	0.083889	0.286484	0.451126
4	0.825312	0.873067	0.090191	0.305788	0.469946
5	0.730592	0.879402	0.086456	0.294497	0.467551
6	0.667552	0.883245	0.083062	0.286855	0.465127
7	0.622600	0.884969	0.087283	0.290590	0.466980
8	0.584547	0.890907	0.089364	0.297434	0.471058
9	0.550038	0.893913	0.092985	0.303735	0.475535
10	0.515448	0.897496	0.090334	0.306387	0.485999
11	0.486375	0.899904	0.089792	0.308982	0.485344
12	0.463012	0.903352	0.092786	0.309381	0.484003
13	0.441748	0.903706	0.095523	0.309894	0.484317
14	0.422278	0.907378	0.097548	0.314942	0.488081
15	0.404156	0.911189	0.102310	0.324522	0.489535
16	0.385690	0.911009	0.106359	0.331166	0.493727
17	0.368685	0.912111	0.110180	0.339350	0.499743
18	0.353217	0.916929	0.113573	0.343228	0.500855
19	0.338297	0.919500	0.118135	0.353065	0.510522
20	0.322824	0.919315	0.122412	0.358312	0.510322
21	0.309231	0.922896	0.124522	0.364557	0.517936
22	0.297277	0.925539	0.124522	0.367151	0.518791
23	0.285873	0.926165	0.127174	0.371942	0.518620
24	0.274251	0.926246	0.126148	0.374736	0.519846
25	0.264432	0.929128	0.128343	0.376447	0.519162
26	0.255030	0.930127	0.130111	0.377246	0.521044
27	0.247093	0.932057	0.131508	0.377331	0.521585
28	0.239030	0.932513	0.132678	0.381494	0.523667
29	0.232785	0.935608	0.133048	0.380553	0.521272
30	0.225320	0.932276	0.134987	0.381523	0.518762
31	0.218428	0.934376	0.134559	0.381950	0.520787
32	0.212291	0.935647	0.134902	0.382749	0.518221
33	0.207182	0.935057	0.134388	0.384317	0.519019
34	0.201779	0.934801	0.136555	0.382464	0.520616
35	0.197259	0.937653	0.138637	0.384574	0.520074
36	0.192048	0.936939	0.140662	0.382891	0.519532
37	0.186898	0.937889	0.139949	0.383775	0.518820
38	0.183071	0.938148	0.140006	0.384003	0.518363
39	0.178997	0.938131	0.143827	0.388281	0.519760
40	0.174494	0.939432	0.142572	0.387169	0.522127
41	0.171014	0.939071	0.143427	0.387425	0.522241
42	0.167932	0.939325	0.145281	0.389763	0.522298
43	0.163569	0.941210	0.147619	0.393841	0.522412
44	0.159758	0.941586	0.147733	0.393271	0.524636
45	0.157247	0.940414	0.148389	0.393071	0.523981
46	0.152976	0.941963	0.151640	0.396236	0.527231
47	0.151034	0.941864	0.152010	0.400314	0.529798
48	0.147323	0.941975	0.153436	0.400200	0.529826
49	0.144002	0.942687	0.154063	0.400371	0.533248
50	0.141346	0.941746	0.152695	0.402395	0.531879
51	0.138466	0.943599	0.155518	0.405674	0.535073
52	0.135303	0.943336	0.155917	0.405332	0.535301
53	0.132389	0.944565	0.158027	0.407898	0.536327
54	0.130254	0.944154	0.157457	0.407243	0.535301
55	0.128481	0.944053	0.157856	0.407414	0.534702
56	0.125949	0.945371	0.161135	0.410322	0.537753
57	0.123417	0.945672	0.157913	0.413402	0.539036
58	0.121666	0.945171	0.158397	0.412546	0.538295
59	0.118874	0.945539	0.162076	0.413944	0.542173
60	0.117304	0.944330	0.160222	0.413145	0.539806
61	0.115381	0.946143	0.161705	0.415341	0.541973
62	0.113098	0.947131	0.162133	0.415797	0.544055
63	0.111103	0.946150	0.162646	0.415056	0.543342
64	0.109919	0.947228	0.162988	0.418135	0.543627
65	0.108080	0.947669	0.161534	0.417993	0.547077
66	0.106716	0.947351	0.163131	0.417052	0.544625
67	0.105205	0.946663	0.161791	0.418563	0.546963
68	0.103755	0.947542	0.164157	0.419247	0.547277
69	0.101955	0.948143	0.163159	0.420416	0.545794
70	0.100920	0.949501	0.165811	0.420046	0.548874
71	0.099380	0.948668	0.165726	0.419333	0.550014
72	0.098031	0.948601	0.163758	0.419532	0.547020
73	0.096406	0.948515	0.166267	0.422897	0.552951
74	0.095655	0.949768	0.162988	0.420730	0.552780
75	0.094191	0.949282	0.166239	0.422384	0.551640
76	0.092327	0.949905	0.165925	0.421642	0.554520
77	0.091143	0.950187	0.165925	0.422127	0.555660
78	0.089474	0.951433	0.165298	0.422412	0.555917
79	0.089390	0.950365	0.165982	0.421585	0.554035
80	0.088318	0.950467	0.168777	0.420502	0.555945
81	0.086360	0.949785	0.163445	0.421158	0.553864
82	0.086129	0.952537	0.168349	0.418848	0.554263
83	0.084974	0.950767	0.166752	0.422270	0.556002
84	0.084028	0.950522	0.168919	0.422327	0.557656
85	0.083162	0.951344	0.166581	0.422726	0.558597
86	0.081718	0.951392	0.167351	0.421699	0.558569
87	0.081339	0.951719	0.166296	0.420901	0.557827
88	0.079878	0.952967	0.165697	0.421129	0.557827
89	0.079387	0.951472	0.163559	0.420388	0.556858
90	0.078577	0.952499	0.167921	0.419989	0.557171
91	0.077697	0.953141	0.163844	0.418934	0.557143
92	0.076720	0.952688	0.166781	0.418762	0.560679
93	0.076099	0.952933	0.162532	0.419703	0.559281
94	0.075543	0.953521	0.165612	0.416481	0.559224
95	0.074346	0.953597	0.164557	0.417793	0.561049
96	0.073740	0.952450	0.164585	0.415540	0.558369
97	0.073047	0.953691	0.165127	0.415825	0.556401
98	0.072246	0.953546	0.162646	0.417850	0.555746
99	0.072122	0.953297	0.165355	0.418164	0.561591
100	0.070895	0.953611	0.162390	0.415683	0.557257
