Epoch	Loss	Val_AUC	Hits@1	Hits@5	Hits@10
1	0.838132	0.873372	0.152552	0.445509	0.617536
2	0.818990	0.879987	0.158968	0.457399	0.631794
3	0.814729	0.881917	0.161819	0.466011	0.638209
4	0.811999	0.882504	0.163330	0.472826	0.645252
5	0.810062	0.883809	0.164015	0.471115	0.643427
6	0.808574	0.884902	0.165669	0.476818	0.648161
7	0.808075	0.887105	0.165982	0.480582	0.650385
8	0.807502	0.886825	0.164927	0.479612	0.650157
9	0.807275	0.885782	0.165783	0.480895	0.649273
10	0.807321	0.887694	0.164956	0.482093	0.654348
11	0.806415	0.887464	0.164927	0.480838	0.653579
12	0.806037	0.887442	0.164870	0.482977	0.653750
13	0.805538	0.886377	0.166496	0.482150	0.652638
14	0.805581	0.888691	0.165612	0.482806	0.655147
15	0.805854	0.886682	0.165925	0.485572	0.656031
16	0.804930	0.886671	0.168263	0.485800	0.654890
17	0.805210	0.887285	0.169005	0.484716	0.654291
18	0.805256	0.885973	0.167551	0.484317	0.653579
19	0.804568	0.888229	0.167237	0.484117	0.655917
20	0.804480	0.887460	0.166553	0.484060	0.656630
21	0.804384	0.887920	0.166210	0.486028	0.655803
22	0.803438	0.886575	0.168520	0.485800	0.655831
23	0.803729	0.887467	0.167265	0.486199	0.655289
24	0.804124	0.887465	0.167380	0.484830	0.657428
