Epoch	Loss	Val_AUC	Hits@1	Hits@5	Hits@10
1	1.289500	0.824569	0.467205	0.627554	0.683421
2	1.154229	0.839850	0.437047	0.629202	0.693309
3	1.062313	0.844698	0.407053	0.613052	0.689354
4	0.985542	0.842439	0.376401	0.607614	0.689848
5	0.918911	0.846449	0.342287	0.596078	0.686882
6	0.861616	0.846460	0.322676	0.589486	0.689519
7	0.809921	0.853541	0.299440	0.579927	0.691496
8	0.763903	0.852720	0.289881	0.585036	0.696440
9	0.722859	0.856072	0.279664	0.583883	0.698912
10	0.685406	0.860065	0.273072	0.578279	0.706823
11	0.651855	0.861414	0.264338	0.585201	0.705999
12	0.620444	0.864008	0.274225	0.592782	0.715063
13	0.592883	0.867721	0.284113	0.592287	0.715392
14	0.563731	0.872748	0.302241	0.607943	0.729235
15	0.535732	0.876888	0.312624	0.626401	0.735168
16	0.509702	0.876451	0.332070	0.639420	0.745880
17	0.485183	0.877674	0.337508	0.642221	0.749670
18	0.463584	0.880430	0.339156	0.650956	0.754944
19	0.445264	0.881511	0.345089	0.647001	0.754285
20	0.427680	0.883217	0.347726	0.658042	0.758405
21	0.411690	0.880677	0.351187	0.659361	0.761042
22	0.399075	0.881534	0.360415	0.661997	0.764832
23	0.383726	0.884468	0.358438	0.663151	0.764832
24	0.369580	0.888012	0.369644	0.660844	0.769776
25	0.356525	0.887026	0.364700	0.660679	0.772577
26	0.344489	0.887194	0.364700	0.660185	0.764008
27	0.331041	0.887572	0.371951	0.662657	0.767633
28	0.320104	0.888344	0.385465	0.666777	0.766315
29	0.309880	0.890214	0.377554	0.670237	0.769776
30	0.300612	0.891037	0.382663	0.673039	0.772577
31	0.289738	0.892518	0.391892	0.673863	0.770929
32	0.281333	0.892222	0.401450	0.677488	0.774061
33	0.272031	0.889041	0.398154	0.676500	0.776697
34	0.263472	0.893543	0.409690	0.685069	0.778840
35	0.256730	0.896083	0.407218	0.688695	0.781641
36	0.248675	0.894835	0.421885	0.689024	0.777851
37	0.241375	0.893265	0.409855	0.691826	0.784278
38	0.235336	0.896158	0.421885	0.692980	0.781806
39	0.228196	0.899061	0.425181	0.698088	0.789881
40	0.221801	0.897502	0.424852	0.701220	0.786915
41	0.217012	0.898186	0.423204	0.706987	0.790376
42	0.210803	0.899821	0.431279	0.706658	0.789881
43	0.205276	0.899386	0.442485	0.710943	0.791694
44	0.200465	0.898672	0.431114	0.711437	0.795320
45	0.195241	0.900616	0.431938	0.713085	0.792683
46	0.190806	0.903028	0.433751	0.710943	0.793672
47	0.186260	0.900415	0.446111	0.714074	0.792848
48	0.181757	0.902492	0.437706	0.715392	0.795485
49	0.176292	0.899660	0.434245	0.716381	0.792683
50	0.172540	0.900405	0.432597	0.714898	0.792353
51	0.168972	0.903661	0.441661	0.716216	0.794496
52	0.165091	0.903893	0.445452	0.716051	0.794825
53	0.161276	0.902143	0.447100	0.717864	0.794496
54	0.157306	0.901261	0.444133	0.716875	0.794990
55	0.153719	0.901988	0.450231	0.721984	0.795320
56	0.150753	0.903480	0.452208	0.719183	0.796638
57	0.146585	0.901200	0.455999	0.725445	0.796968
58	0.144169	0.904632	0.449572	0.722808	0.800099
59	0.140942	0.903164	0.451220	0.725445	0.798616
60	0.137347	0.904430	0.442815	0.724127	0.799604
61	0.133833	0.904087	0.453032	0.723138	0.800264
62	0.130904	0.901692	0.453691	0.722973	0.799275
63	0.128385	0.903765	0.454021	0.720995	0.798945
64	0.125412	0.905108	0.454021	0.725115	0.799604
65	0.122190	0.905181	0.458141	0.724621	0.800758
66	0.119559	0.902503	0.457976	0.728576	0.801088
67	0.116389	0.904551	0.456823	0.723962	0.801252
68	0.114321	0.903974	0.459130	0.722479	0.800428
69	0.111672	0.905646	0.458965	0.727093	0.801088
70	0.109131	0.904318	0.459130	0.725775	0.794496
71	0.107118	0.905997	0.455175	0.727917	0.795320
72	0.104108	0.903624	0.458141	0.720666	0.797132
73	0.102450	0.904697	0.463085	0.727917	0.795485
74	0.100232	0.906882	0.463744	0.728741	0.798780
75	0.098035	0.905224	0.472808	0.726269	0.794166
76	0.096095	0.905851	0.472973	0.726104	0.793342
77	0.094098	0.907196	0.475610	0.726104	0.796473
78	0.092077	0.905114	0.466875	0.728741	0.793837
79	0.090203	0.908492	0.467370	0.723632	0.794496
80	0.089206	0.904358	0.470171	0.729071	0.791200
81	0.086752	0.905024	0.472479	0.725939	0.794661
82	0.084958	0.905472	0.471819	0.727093	0.792353
83	0.083955	0.905452	0.479895	0.732696	0.795485
84	0.082885	0.906125	0.482037	0.731543	0.793672
85	0.081024	0.907302	0.485662	0.726763	0.792353
86	0.079245	0.905871	0.479400	0.734015	0.795320
87	0.077497	0.905225	0.481378	0.735003	0.794825
88	0.076352	0.908669	0.484179	0.729895	0.794825
89	0.074819	0.904303	0.476434	0.733685	0.793507
90	0.073819	0.906317	0.484179	0.732531	0.793507
91	0.072867	0.903590	0.483026	0.732367	0.793837
92	0.071281	0.904483	0.480059	0.735168	0.795320
93	0.070139	0.906003	0.480059	0.734179	0.794001
94	0.068207	0.906479	0.486816	0.734015	0.791859
95	0.067266	0.907461	0.481872	0.731707	0.791859
96	0.066518	0.908192	0.495386	0.731543	0.793672
97	0.065202	0.905969	0.487146	0.735333	0.795155
98	0.063861	0.907234	0.492090	0.731048	0.792683
