Epoch	Loss	Val_AUC	Hits@1	Hits@5	Hits@10
1	0.793947	0.899897	0.614700	0.752966	0.788728
2	0.708408	0.914549	0.629532	0.784608	0.824984
3	0.692898	0.922445	0.634806	0.795485	0.835036
4	0.685328	0.924173	0.635794	0.795320	0.842123
5	0.681141	0.930346	0.634806	0.804054	0.847726
6	0.678329	0.930996	0.636124	0.803395	0.849044
7	0.675927	0.934097	0.642551	0.808998	0.848879
8	0.674841	0.933952	0.628049	0.810976	0.851351
9	0.673751	0.934516	0.636948	0.809987	0.850527
10	0.672648	0.935191	0.643045	0.809163	0.852835
11	0.671785	0.932758	0.632828	0.812129	0.853494
12	0.671203	0.932543	0.640738	0.811140	0.854977
13	0.670546	0.935765	0.635794	0.813448	0.854483
14	0.670130	0.936876	0.636618	0.814601	0.858108
15	0.669448	0.935754	0.640079	0.815260	0.862228
16	0.668888	0.934664	0.637772	0.816579	0.859262
17	0.668705	0.936041	0.637278	0.815755	0.861239
18	0.668556	0.935659	0.634806	0.816414	0.859097
19	0.668420	0.937737	0.635630	0.816908	0.860415
20	0.667908	0.936980	0.640574	0.815755	0.863711
21	0.668231	0.936613	0.641562	0.822676	0.862887
22	0.667269	0.936932	0.635794	0.816084	0.862063
23	0.667234	0.938133	0.640738	0.815590	0.862722
24	0.666887	0.937322	0.639585	0.817238	0.862228
25	0.666902	0.936826	0.630356	0.820204	0.864700
26	0.666835	0.938143	0.628049	0.821193	0.865194
27	0.666780	0.936388	0.633652	0.818392	0.864535
28	0.666176	0.938547	0.632993	0.816744	0.861074
29	0.666217	0.936240	0.637937	0.819380	0.864206
30	0.666596	0.935734	0.634806	0.817403	0.865194
31	0.665808	0.937780	0.637113	0.817238	0.863711
32	0.665874	0.937800	0.635135	0.821028	0.862722
33	0.665731	0.936656	0.632334	0.818392	0.864041
34	0.665801	0.938854	0.636289	0.815920	0.861239
35	0.665884	0.939308	0.633652	0.820040	0.861734
36	0.665335	0.939177	0.642221	0.818227	0.862722
37	0.665616	0.937482	0.634476	0.817403	0.865194
38	0.665451	0.940262	0.636124	0.817568	0.867007
39	0.665727	0.938791	0.630356	0.817732	0.867007
40	0.665465	0.937785	0.633652	0.821028	0.865689
41	0.665281	0.937910	0.633158	0.820534	0.867007
42	0.665436	0.937504	0.631015	0.821852	0.867502
43	0.665078	0.936090	0.633652	0.818556	0.867831
44	0.664960	0.938143	0.635300	0.822017	0.867831
45	0.664848	0.936839	0.636948	0.819216	0.868161
46	0.664717	0.936084	0.635630	0.821688	0.868490
47	0.664674	0.936336	0.636783	0.819216	0.869479
48	0.664891	0.938015	0.636454	0.823665	0.868326
