Epoch	Loss	Val_AUC	Hits@1	Hits@5	Hits@10
1	1.289330	0.821025	0.484344	0.649967	0.702373
2	1.164227	0.830552	0.406229	0.612063	0.686223
3	1.073509	0.829786	0.325478	0.580422	0.672380
4	0.995549	0.834914	0.279169	0.566908	0.670402
5	0.930469	0.841100	0.269941	0.568721	0.674357
6	0.873228	0.845183	0.270105	0.567897	0.678477
7	0.824445	0.847240	0.271424	0.571193	0.683916
8	0.781221	0.853760	0.271918	0.581740	0.694628
9	0.740564	0.860690	0.276533	0.592287	0.707152
10	0.700683	0.863142	0.297132	0.597231	0.715557
11	0.662731	0.865234	0.301417	0.605966	0.719677
12	0.626651	0.868058	0.311800	0.613876	0.721819
13	0.594793	0.868144	0.311470	0.618161	0.725939
14	0.565218	0.871084	0.312624	0.620303	0.728741
15	0.539573	0.868989	0.309987	0.612393	0.730389
16	0.516243	0.872255	0.312129	0.623105	0.736322
17	0.495775	0.871138	0.317732	0.620138	0.740277
18	0.474874	0.876722	0.311964	0.623764	0.744562
19	0.457573	0.877890	0.323995	0.634970	0.748022
20	0.438892	0.879661	0.332564	0.639090	0.752637
21	0.421579	0.882211	0.333388	0.641397	0.755274
22	0.404696	0.879939	0.345254	0.643045	0.763184
23	0.389111	0.885281	0.340145	0.653757	0.764338
24	0.372755	0.888235	0.340639	0.650626	0.771918
25	0.357865	0.888985	0.347231	0.649637	0.768293
26	0.343044	0.890170	0.346572	0.654252	0.767633
27	0.329615	0.890587	0.348385	0.650956	0.762854
28	0.317762	0.892696	0.354977	0.652933	0.768128
29	0.306919	0.886846	0.339486	0.648154	0.764667
30	0.295781	0.889713	0.343111	0.644693	0.770600
31	0.286339	0.888809	0.349868	0.652769	0.765985
32	0.276672	0.889021	0.348715	0.652933	0.770270
33	0.266412	0.889657	0.356625	0.647660	0.771259
34	0.259782	0.892083	0.353823	0.655076	0.770765
35	0.251700	0.890530	0.352175	0.660349	0.774555
36	0.244974	0.891057	0.361569	0.662327	0.771589
37	0.237195	0.890704	0.367502	0.669413	0.781147
38	0.230720	0.893078	0.364206	0.670073	0.778181
39	0.224804	0.894237	0.369314	0.673533	0.784443
40	0.218999	0.893144	0.371786	0.675346	0.787409
41	0.213588	0.892781	0.370138	0.684575	0.781641
42	0.208315	0.891809	0.379367	0.685069	0.783619
43	0.202617	0.893607	0.375906	0.688695	0.783949
44	0.197995	0.895706	0.385794	0.689189	0.783784
45	0.193437	0.897165	0.380191	0.692485	0.786915
46	0.189119	0.897313	0.386783	0.691826	0.785102
47	0.184329	0.897337	0.388266	0.695781	0.786750
48	0.179922	0.896940	0.401121	0.699572	0.789717
49	0.175618	0.900219	0.392716	0.693144	0.792518
50	0.171543	0.899158	0.395023	0.701879	0.790376
51	0.167310	0.899237	0.387607	0.703032	0.789387
52	0.162876	0.895204	0.394364	0.702703	0.791529
53	0.158358	0.900872	0.401285	0.705504	0.795814
54	0.155110	0.897788	0.393375	0.704021	0.795155
55	0.150390	0.902171	0.398978	0.705175	0.794331
56	0.147651	0.900910	0.405405	0.711272	0.797132
57	0.144448	0.903031	0.409855	0.715227	0.797627
58	0.139772	0.902361	0.410844	0.712755	0.797132
59	0.137428	0.901363	0.424852	0.713909	0.798451
60	0.134037	0.903442	0.419084	0.715557	0.794331
61	0.130843	0.898850	0.419908	0.713744	0.790541
62	0.128894	0.900528	0.427159	0.722479	0.793342
63	0.125484	0.898765	0.419084	0.718359	0.795814
64	0.122974	0.902113	0.428477	0.721325	0.796803
65	0.119587	0.901991	0.426994	0.719347	0.797627
66	0.117727	0.901161	0.429796	0.717040	0.795485
67	0.115531	0.900042	0.432268	0.720666	0.795155
68	0.112688	0.899643	0.436552	0.724127	0.795649
69	0.111037	0.900188	0.432597	0.728247	0.798121
70	0.108774	0.903579	0.430784	0.724127	0.794496
71	0.105803	0.900240	0.441496	0.726104	0.794990
72	0.104443	0.903525	0.442320	0.723632	0.794825
73	0.101646	0.901177	0.443144	0.725610	0.797956
74	0.100285	0.901823	0.450066	0.733685	0.794825
75	0.098741	0.900252	0.453691	0.725939	0.792024
76	0.096422	0.901621	0.459130	0.726104	0.797956
77	0.094769	0.903935	0.455999	0.733520	0.793507
78	0.093301	0.904838	0.455504	0.733355	0.794001
79	0.091893	0.902995	0.457647	0.728741	0.794661
80	0.088890	0.900917	0.464733	0.732202	0.796309
81	0.087732	0.903579	0.465722	0.728247	0.793013
82	0.086630	0.901261	0.464403	0.728247	0.791859
83	0.084678	0.904462	0.460283	0.731213	0.794166
84	0.082996	0.904604	0.463909	0.730224	0.792848
85	0.081251	0.902775	0.468359	0.730883	0.795814
86	0.080098	0.904084	0.465227	0.733191	0.793177
87	0.078938	0.903117	0.470171	0.733355	0.795979
88	0.077618	0.904107	0.469347	0.735992	0.796144
