Epoch	Loss	Val_AUC	Hits@1	Hits@5	Hits@10
1	0.726477	0.918011	0.627390	0.791694	0.829927
2	0.686349	0.925878	0.633652	0.801912	0.843935
3	0.679062	0.929242	0.629532	0.806691	0.851681
4	0.676298	0.929860	0.628543	0.809328	0.850527
5	0.674278	0.930501	0.627225	0.805702	0.851022
6	0.672703	0.932482	0.628873	0.811470	0.851351
7	0.671583	0.931696	0.634970	0.810152	0.856295
8	0.670525	0.935300	0.628214	0.810316	0.857943
9	0.670319	0.934274	0.626401	0.816084	0.859097
10	0.669787	0.934413	0.628543	0.813448	0.858273
11	0.669196	0.935391	0.627884	0.814107	0.861404
12	0.669086	0.936759	0.630356	0.814601	0.858273
13	0.668670	0.936735	0.628214	0.811470	0.858767
14	0.668145	0.936474	0.630356	0.815755	0.859262
15	0.668186	0.934806	0.632004	0.817568	0.859921
16	0.667930	0.935339	0.631180	0.815920	0.862887
17	0.667415	0.936234	0.632334	0.815755	0.860580
18	0.667530	0.936202	0.634641	0.818721	0.862722
19	0.666917	0.936226	0.629697	0.819051	0.862393
20	0.666928	0.935609	0.632993	0.817568	0.864041
21	0.667226	0.935120	0.627554	0.814766	0.860745
22	0.667173	0.938580	0.625742	0.819710	0.862228
23	0.666810	0.935760	0.625412	0.816908	0.861239
24	0.666502	0.936183	0.631674	0.816414	0.865359
25	0.666668	0.935902	0.632334	0.819216	0.863876
26	0.666312	0.938125	0.627554	0.817568	0.863217
27	0.666029	0.937177	0.629532	0.819875	0.865030
28	0.666395	0.937372	0.633652	0.820699	0.865359
29	0.666064	0.938032	0.628708	0.816249	0.865359
30	0.665866	0.937361	0.625906	0.815260	0.863052
31	0.665983	0.935989	0.629532	0.812129	0.865359
32	0.665897	0.939515	0.623764	0.817073	0.864206
33	0.665860	0.938857	0.627060	0.820534	0.862722
34	0.665715	0.937854	0.631510	0.820534	0.865359
35	0.665928	0.938977	0.635300	0.822017	0.864041
36	0.665818	0.937450	0.633322	0.822512	0.864865
37	0.665658	0.937774	0.627884	0.818886	0.863546
38	0.665843	0.938002	0.624423	0.817238	0.867831
39	0.665556	0.938747	0.627225	0.817403	0.865854
40	0.665925	0.940796	0.629697	0.819051	0.865524
41	0.665276	0.939696	0.632993	0.819545	0.864700
42	0.664951	0.937666	0.632828	0.817403	0.869150
43	0.665365	0.938397	0.631015	0.820204	0.866678
44	0.665224	0.936844	0.630521	0.824160	0.865359
45	0.665044	0.940110	0.633487	0.820369	0.866842
46	0.665265	0.939400	0.628873	0.818062	0.867007
47	0.665157	0.937848	0.631345	0.820699	0.865854
48	0.665056	0.938338	0.626236	0.820040	0.865524
49	0.665177	0.938836	0.629862	0.821028	0.866183
50	0.665134	0.937768	0.631180	0.818556	0.868820
