Epoch	Loss	Val_AUC	Hits@1	Hits@5	Hits@10
1	1.298417	0.838609	0.512690	0.668919	0.718359
2	1.170762	0.853496	0.495715	0.677324	0.732861
3	1.078044	0.855824	0.471819	0.666777	0.725939
4	0.996456	0.852719	0.443474	0.661833	0.724951
5	0.923307	0.855920	0.416117	0.649967	0.726269
6	0.858937	0.858705	0.394858	0.643375	0.727752
7	0.804143	0.861521	0.383817	0.644858	0.731872
8	0.754502	0.863983	0.374588	0.651450	0.737970
9	0.709735	0.869590	0.386124	0.653757	0.741760
10	0.669113	0.871001	0.381674	0.660020	0.746045
11	0.632325	0.877907	0.388596	0.664140	0.754285
12	0.598956	0.878322	0.379038	0.666282	0.755768
13	0.568167	0.882282	0.389750	0.678148	0.757746
14	0.538942	0.886513	0.399143	0.678807	0.761701
15	0.512033	0.886239	0.406065	0.683751	0.769611
16	0.486594	0.886827	0.408042	0.684410	0.772577
17	0.463897	0.886047	0.414469	0.693804	0.774885
18	0.443260	0.887805	0.416117	0.697264	0.775873
19	0.425083	0.889914	0.423204	0.693144	0.776368
20	0.408151	0.890001	0.421885	0.694957	0.778840
21	0.391843	0.888856	0.428972	0.696111	0.779334
22	0.378229	0.892562	0.434245	0.699407	0.782136
23	0.363809	0.892503	0.433586	0.705010	0.783949
24	0.350565	0.891169	0.438695	0.705175	0.781312
25	0.338844	0.891954	0.428148	0.703362	0.783949
26	0.326797	0.894934	0.437212	0.705834	0.786091
27	0.315640	0.892524	0.442815	0.711272	0.790211
28	0.305992	0.896310	0.451549	0.712096	0.787739
29	0.294733	0.897979	0.454845	0.718194	0.793013
30	0.283867	0.898596	0.470007	0.721655	0.792518
31	0.274061	0.900741	0.470995	0.720007	0.797462
32	0.263754	0.897860	0.475939	0.724456	0.799110
33	0.254173	0.901821	0.479895	0.724786	0.800758
34	0.244308	0.899906	0.485498	0.728411	0.801912
35	0.236215	0.900670	0.481378	0.728576	0.804219
36	0.227501	0.899356	0.484838	0.736157	0.803724
37	0.219758	0.903623	0.488134	0.740606	0.807185
38	0.212561	0.903022	0.488958	0.735498	0.807185
39	0.205377	0.901324	0.486157	0.743902	0.808668
40	0.201051	0.903605	0.490442	0.740771	0.807185
41	0.193296	0.908292	0.493243	0.744891	0.808339
42	0.187810	0.905924	0.500494	0.739453	0.808174
43	0.183103	0.907079	0.497528	0.745221	0.811140
44	0.177866	0.908755	0.503626	0.744562	0.808339
45	0.172566	0.909716	0.500330	0.745550	0.810481
46	0.167618	0.909318	0.509723	0.745880	0.809657
47	0.163324	0.908192	0.511866	0.750165	0.807020
48	0.158793	0.909080	0.518128	0.747198	0.810152
49	0.154766	0.910449	0.509558	0.751154	0.812459
50	0.150762	0.908746	0.509723	0.751483	0.813777
51	0.146759	0.909741	0.521259	0.750000	0.815755
52	0.142750	0.911134	0.508240	0.747528	0.814107
53	0.139265	0.910443	0.518457	0.754120	0.811635
54	0.135579	0.909353	0.519611	0.757910	0.815755
55	0.132836	0.914303	0.516480	0.752472	0.813118
56	0.129333	0.912241	0.512690	0.755109	0.814436
57	0.125583	0.912396	0.523072	0.751813	0.812129
58	0.122915	0.917210	0.523566	0.757910	0.813942
59	0.119781	0.913722	0.526038	0.755768	0.815096
60	0.117420	0.912235	0.520270	0.755933	0.813612
61	0.114035	0.915021	0.523566	0.757581	0.813283
62	0.111460	0.914041	0.524720	0.758734	0.813777
63	0.110008	0.913420	0.521753	0.759888	0.814107
64	0.106800	0.913969	0.527686	0.756592	0.813118
65	0.104123	0.917870	0.529993	0.758734	0.812953
66	0.102076	0.914683	0.532465	0.760218	0.816084
67	0.099960	0.913285	0.529664	0.758734	0.814601
68	0.098212	0.913539	0.526038	0.762030	0.815260
69	0.095842	0.916188	0.525544	0.760218	0.813612
70	0.093743	0.915170	0.528345	0.761866	0.813942
71	0.091500	0.911738	0.534937	0.761536	0.812459
72	0.089753	0.914478	0.532960	0.759723	0.812294
73	0.088249	0.914206	0.532136	0.756427	0.812953
74	0.086841	0.916351	0.530653	0.760218	0.815920
75	0.084676	0.916696	0.534937	0.765326	0.813448
