Epoch	Loss	Val_AUC	Hits@1	Hits@5	Hits@10
1	0.793780	0.897186	0.610910	0.747693	0.782795
2	0.708672	0.913350	0.631510	0.781147	0.820699
3	0.693179	0.921192	0.631674	0.793177	0.831081
4	0.685468	0.923596	0.636124	0.797956	0.838827
5	0.681196	0.927452	0.634970	0.803889	0.843111
6	0.678413	0.930691	0.636783	0.808833	0.848385
7	0.676380	0.931221	0.636948	0.809328	0.848220
8	0.674850	0.932918	0.638761	0.809163	0.849868
9	0.673048	0.934229	0.640409	0.807844	0.852175
10	0.672496	0.935573	0.642881	0.814107	0.854483
11	0.671279	0.937641	0.635135	0.810316	0.853823
12	0.670974	0.940964	0.643540	0.813283	0.859426
13	0.670084	0.938458	0.643375	0.812459	0.855966
14	0.669942	0.939633	0.639420	0.812459	0.857943
15	0.668931	0.939154	0.645023	0.815096	0.858767
16	0.668475	0.939049	0.637937	0.813777	0.861239
17	0.667824	0.940158	0.640409	0.816908	0.861239
18	0.668101	0.939545	0.633322	0.814601	0.859262
19	0.667050	0.939638	0.633652	0.819545	0.866842
20	0.667186	0.941658	0.641727	0.817403	0.864865
21	0.667165	0.939374	0.637278	0.819545	0.864041
22	0.666685	0.939773	0.641068	0.816908	0.866018
23	0.666469	0.940098	0.632334	0.815096	0.864206
24	0.666312	0.937923	0.635465	0.820040	0.862228
25	0.666290	0.939381	0.634476	0.818886	0.864535
26	0.665944	0.935080	0.644693	0.816744	0.862558
27	0.666461	0.936417	0.637937	0.817897	0.861239
28	0.665951	0.937121	0.643375	0.815920	0.860910
29	0.666221	0.935970	0.641727	0.815260	0.863052
30	0.665474	0.936897	0.641727	0.816908	0.863711
