Epoch	Loss	Val_AUC	Hits@1	Hits@5	Hits@10
1	1.301228	0.837022	0.507910	0.663316	0.715392
2	1.176718	0.835160	0.423039	0.628049	0.693309
3	1.086760	0.837915	0.375082	0.603494	0.691167
4	1.010489	0.847490	0.339980	0.590969	0.688530
5	0.943976	0.855713	0.320699	0.574160	0.684245
6	0.883190	0.865302	0.326632	0.575808	0.691661
7	0.828288	0.865738	0.335860	0.586025	0.704021
8	0.778289	0.869351	0.343276	0.596407	0.707482
9	0.732131	0.871888	0.348385	0.606625	0.719183
10	0.691269	0.873766	0.359262	0.612558	0.722643
11	0.653960	0.877676	0.361898	0.614865	0.724127
12	0.619462	0.878537	0.358273	0.610910	0.724951
13	0.587107	0.881157	0.350692	0.609591	0.724127
14	0.557525	0.885804	0.352835	0.609426	0.724951
15	0.531032	0.887223	0.335860	0.613711	0.727258
16	0.508577	0.888021	0.336519	0.613546	0.733191
17	0.486676	0.893070	0.330916	0.619150	0.739618
18	0.468344	0.891761	0.339651	0.630850	0.747693
19	0.450175	0.896293	0.341958	0.641397	0.754614
20	0.432179	0.895777	0.349374	0.657548	0.764008
21	0.416690	0.899763	0.355636	0.662986	0.773731
22	0.400038	0.900050	0.355142	0.666282	0.777521
23	0.385000	0.900795	0.355142	0.668754	0.779993
24	0.370676	0.903395	0.355801	0.675181	0.781971
25	0.357212	0.900210	0.358438	0.675676	0.779664
26	0.345843	0.900153	0.354647	0.675676	0.783949
27	0.332951	0.901436	0.355966	0.675346	0.787574
28	0.323501	0.901506	0.360910	0.677159	0.789057
29	0.312728	0.900055	0.367502	0.680455	0.784773
30	0.303613	0.900484	0.369479	0.679136	0.789057
31	0.295565	0.899916	0.367172	0.681938	0.790376
32	0.288367	0.900284	0.374094	0.683916	0.791035
33	0.279095	0.902337	0.365689	0.677653	0.786421
34	0.273904	0.899739	0.377060	0.682927	0.791529
