Epoch	Loss	Val_AUC	Hits@1	Hits@5	Hits@10
1	0.727043	0.920356	0.631839	0.782465	0.825313
2	0.685948	0.931080	0.628708	0.801088	0.843935
3	0.678641	0.931623	0.630521	0.804878	0.853164
4	0.675561	0.936170	0.640244	0.811800	0.859756
5	0.673549	0.935088	0.633322	0.811140	0.857449
6	0.672232	0.934139	0.634476	0.812788	0.858932
7	0.671619	0.934770	0.632004	0.811800	0.859262
8	0.670440	0.935795	0.633322	0.816084	0.860745
9	0.670234	0.937162	0.640079	0.816579	0.864370
10	0.669232	0.937029	0.620633	0.819710	0.864865
11	0.668951	0.935982	0.628214	0.819875	0.863382
12	0.668687	0.938114	0.629862	0.816249	0.864535
13	0.668559	0.936412	0.634146	0.816579	0.860910
14	0.667645	0.939718	0.630356	0.820369	0.863382
15	0.667994	0.937134	0.632663	0.816084	0.864865
16	0.667211	0.938766	0.629202	0.818062	0.867007
17	0.666913	0.940321	0.634641	0.817732	0.862887
18	0.666984	0.942167	0.634146	0.814931	0.865524
19	0.666628	0.940114	0.631180	0.819216	0.867007
20	0.666992	0.939985	0.630026	0.821028	0.868490
21	0.666522	0.938706	0.631015	0.819216	0.866513
22	0.666830	0.940347	0.627554	0.819875	0.867502
23	0.666196	0.940728	0.633982	0.824324	0.868655
24	0.666058	0.940041	0.626071	0.821358	0.867996
25	0.666358	0.938078	0.629862	0.816249	0.867502
26	0.666230	0.937510	0.628873	0.819875	0.867502
27	0.665579	0.939413	0.630191	0.817897	0.864206
28	0.665914	0.938246	0.632169	0.820534	0.867172
