Epoch	Loss	AUC	Hits@1	Hits@5	Hits@10
1	0.824927	0.882135	0.609097	0.742584	0.780982
5	0.686675	0.915298	0.638596	0.808998	0.849703
10	0.675103	0.924868	0.617666	0.823006	0.864535
15	0.672303	0.927993	0.611898	0.823995	0.872446
20	0.670347	0.930897	0.605636	0.828444	0.872446
25	0.669430	0.929876	0.608767	0.827950	0.872610
30	0.668346	0.929107	0.599209	0.829268	0.874258
35	0.668037	0.930770	0.604647	0.826796	0.873270
40	0.667220	0.930896	0.594759	0.829598	0.873764
45	0.666595	0.929381	0.603164	0.830422	0.871622
50	0.666631	0.930097	0.599868	0.831905	0.873599
55	0.666511	0.932831	0.595089	0.828939	0.875247
60	0.665878	0.932249	0.597396	0.829763	0.877060
65	0.665844	0.929464	0.601846	0.823830	0.874423
70	0.666188	0.932950	0.594430	0.826137	0.878543
75	0.665715	0.933145	0.589156	0.829598	0.878049
80	0.665356	0.932426	0.594759	0.831411	0.877884
85	0.665597	0.930625	0.598385	0.828115	0.880026
90	0.665086	0.936482	0.597231	0.833883	0.882334
95	0.665099	0.936706	0.594265	0.831575	0.880850
100	0.664946	0.934925	0.594430	0.831740	0.880191
